[16:47:52.349] [INFO   ] thread main starting.
[16:47:52.354] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:47:52.356] [SEVERE ] configuration file was loaded from resources directory.
[16:47:52.709] [INFO   ] thread dealer starting.
[16:47:52.711] [INFO   ] thread playerID: 0 starting.
[16:47:52.711] [INFO   ] thread dealer starting.
[16:47:52.711] [INFO   ] thread playerID: 1 starting.
[16:47:52.714] [SEVERE ] updating countdown to 60000
[16:47:52.817] [SEVERE ] placing card 56 in slot 0
[16:47:52.919] [SEVERE ] placing card 57 in slot 2
[16:47:53.021] [SEVERE ] placing card 72 in slot 8
[16:47:53.123] [SEVERE ] placing card 67 in slot 5
[16:47:53.225] [SEVERE ] placing card 37 in slot 4
[16:47:53.328] [SEVERE ] placing card 41 in slot 10
[16:47:53.435] [SEVERE ] placing card 40 in slot 7
[16:47:53.538] [SEVERE ] placing card 36 in slot 9
[16:47:53.640] [SEVERE ] placing card 38 in slot 6
[16:47:53.742] [SEVERE ] placing card 9 in slot 1
[16:47:53.843] [SEVERE ] placing card 1 in slot 3
[16:47:53.946] [SEVERE ] placing card 6 in slot 11
[16:47:53.968] [SEVERE ] updating countdown to 58746
[16:47:53.991] [SEVERE ] updating countdown to 58723
[16:47:54.017] [SEVERE ] updating countdown to 58697
[16:47:54.041] [SEVERE ] updating countdown to 58673
[16:47:54.065] [SEVERE ] updating countdown to 58649
[16:47:54.091] [SEVERE ] updating countdown to 58623
[16:47:54.113] [SEVERE ] updating countdown to 58601
[16:47:54.139] [SEVERE ] updating countdown to 58575
[16:47:54.160] [SEVERE ] updating countdown to 58554
[16:47:54.185] [SEVERE ] updating countdown to 58529
[16:47:54.211] [SEVERE ] updating countdown to 58503
[16:47:54.237] [SEVERE ] updating countdown to 58477
[16:47:54.258] [SEVERE ] updating countdown to 58456
[16:47:54.283] [SEVERE ] updating countdown to 58431
[16:47:54.305] [SEVERE ] updating countdown to 58409
[16:47:54.329] [SEVERE ] updating countdown to 58385
[16:47:54.355] [SEVERE ] updating countdown to 58359
[16:47:54.380] [SEVERE ] updating countdown to 58334
[16:47:54.401] [SEVERE ] updating countdown to 58313
[16:47:54.426] [SEVERE ] updating countdown to 58288
[16:47:54.451] [SEVERE ] updating countdown to 58263
[16:47:54.473] [SEVERE ] updating countdown to 58241
[16:47:54.494] [SEVERE ] updating countdown to 58220
[16:47:54.519] [SEVERE ] updating countdown to 58195
[16:47:54.543] [SEVERE ] updating countdown to 58171
[16:47:54.568] [SEVERE ] updating countdown to 58146
[16:47:54.594] [SEVERE ] updating countdown to 58120
[16:47:54.620] [SEVERE ] updating countdown to 58094
[16:47:54.646] [SEVERE ] updating countdown to 58068
[16:47:54.672] [SEVERE ] updating countdown to 58042
[16:47:54.698] [SEVERE ] updating countdown to 58016
[16:47:54.720] [SEVERE ] updating countdown to 57994
[16:47:54.742] [SEVERE ] updating countdown to 57972
[16:47:54.768] [SEVERE ] updating countdown to 57946
[16:47:54.790] [SEVERE ] updating countdown to 57924
[16:47:54.816] [SEVERE ] updating countdown to 57898
[16:47:54.840] [SEVERE ] updating countdown to 57874
[16:47:54.864] [SEVERE ] updating countdown to 57850
[16:47:54.889] [SEVERE ] updating countdown to 57825
[16:47:54.913] [SEVERE ] updating countdown to 57801
[16:47:54.936] [SEVERE ] updating countdown to 57778
[16:47:54.958] [SEVERE ] updating countdown to 57756
[16:47:54.980] [SEVERE ] updating countdown to 57734
[16:47:55.005] [SEVERE ] updating countdown to 57709
[16:47:55.027] [SEVERE ] updating countdown to 57687
[16:47:55.051] [SEVERE ] updating countdown to 57663
[16:47:55.076] [SEVERE ] updating countdown to 57638
[16:47:55.097] [SEVERE ] updating countdown to 57617
[16:47:55.123] [SEVERE ] updating countdown to 57591
[16:47:55.144] [SEVERE ] updating countdown to 57570
[16:47:55.166] [SEVERE ] updating countdown to 57548
[16:47:55.190] [SEVERE ] updating countdown to 57524
[16:47:55.217] [SEVERE ] updating countdown to 57497
[16:47:55.238] [SEVERE ] updating countdown to 57476
[16:47:55.261] [SEVERE ] updating countdown to 57453
[16:47:55.284] [SEVERE ] updating countdown to 57430
[16:47:55.307] [SEVERE ] updating countdown to 57407
[16:47:55.329] [SEVERE ] updating countdown to 57385
[16:47:55.351] [SEVERE ] updating countdown to 57363
[16:47:55.373] [SEVERE ] updating countdown to 57341
[16:47:55.400] [SEVERE ] updating countdown to 57314
[16:47:55.425] [SEVERE ] updating countdown to 57289
[16:47:55.451] [SEVERE ] updating countdown to 57263
[16:47:55.477] [SEVERE ] updating countdown to 57237
[16:47:55.498] [SEVERE ] updating countdown to 57216
[16:47:55.520] [SEVERE ] updating countdown to 57194
[16:47:55.541] [SEVERE ] updating countdown to 57173
[16:47:55.564] [SEVERE ] updating countdown to 57150
[16:47:55.586] [SEVERE ] updating countdown to 57128
[16:47:55.606] [SEVERE ] updating countdown to 57108
[16:47:55.628] [SEVERE ] updating countdown to 57086
[16:47:55.651] [SEVERE ] updating countdown to 57063
[16:47:55.673] [SEVERE ] updating countdown to 57041
[16:47:55.696] [SEVERE ] updating countdown to 57018
[16:47:55.717] [SEVERE ] updating countdown to 56997
[16:47:55.739] [SEVERE ] updating countdown to 56975
[16:47:55.760] [SEVERE ] updating countdown to 56954
[16:47:55.784] [SEVERE ] updating countdown to 56930
[16:47:55.806] [SEVERE ] updating countdown to 56908
[16:47:55.827] [SEVERE ] updating countdown to 56887
[16:47:55.850] [SEVERE ] updating countdown to 56864
[16:47:55.872] [SEVERE ] updating countdown to 56842
[16:47:55.893] [SEVERE ] updating countdown to 56821
[16:47:55.914] [SEVERE ] updating countdown to 56800
[16:47:55.935] [SEVERE ] updating countdown to 56779
[16:47:55.956] [SEVERE ] updating countdown to 56758
[16:47:55.977] [SEVERE ] updating countdown to 56737
[16:47:55.998] [SEVERE ] updating countdown to 56716
[16:47:56.021] [SEVERE ] updating countdown to 56693
[16:47:56.043] [SEVERE ] updating countdown to 56671
[16:47:56.066] [SEVERE ] updating countdown to 56648
[16:47:56.088] [SEVERE ] updating countdown to 56626
[16:47:56.111] [SEVERE ] updating countdown to 56603
[16:47:56.132] [SEVERE ] updating countdown to 56582
[16:47:56.156] [SEVERE ] updating countdown to 56558
[16:47:56.178] [SEVERE ] updating countdown to 56536
[16:47:56.202] [SEVERE ] updating countdown to 56512
[16:47:56.224] [SEVERE ] updating countdown to 56490
[16:47:56.245] [SEVERE ] updating countdown to 56469
[16:47:56.269] [SEVERE ] updating countdown to 56445
[16:47:56.290] [SEVERE ] updating countdown to 56424
[16:47:56.313] [SEVERE ] updating countdown to 56401
[16:47:56.338] [SEVERE ] updating countdown to 56376
[16:47:56.364] [SEVERE ] updating countdown to 56350
[16:47:56.389] [SEVERE ] updating countdown to 56325
[16:47:56.415] [SEVERE ] updating countdown to 56300
[16:47:56.437] [SEVERE ] updating countdown to 56277
[16:47:56.460] [SEVERE ] updating countdown to 56254
[16:47:56.481] [SEVERE ] updating countdown to 56233
[16:47:56.502] [SEVERE ] updating countdown to 56212
[16:47:56.527] [SEVERE ] updating countdown to 56187
[16:47:56.548] [SEVERE ] updating countdown to 56166
[16:47:56.572] [SEVERE ] updating countdown to 56142
[16:47:56.595] [SEVERE ] updating countdown to 56119
[16:47:56.620] [SEVERE ] updating countdown to 56094
[16:47:56.644] [SEVERE ] updating countdown to 56070
[16:47:56.667] [SEVERE ] updating countdown to 56047
[16:47:56.693] [SEVERE ] updating countdown to 56021
[16:47:56.716] [SEVERE ] updating countdown to 55998
[16:47:56.738] [SEVERE ] updating countdown to 55976
[16:47:56.759] [SEVERE ] updating countdown to 55955
[16:47:56.782] [SEVERE ] updating countdown to 55932
[16:47:56.808] [SEVERE ] updating countdown to 55906
[16:47:56.834] [SEVERE ] updating countdown to 55880
[16:47:56.858] [SEVERE ] updating countdown to 55856
[16:47:56.884] [SEVERE ] updating countdown to 55830
[16:47:56.907] [SEVERE ] updating countdown to 55807
[16:47:56.929] [SEVERE ] updating countdown to 55785
[16:47:56.951] [SEVERE ] updating countdown to 55763
[16:47:56.972] [SEVERE ] updating countdown to 55742
[16:47:56.995] [SEVERE ] updating countdown to 55719
[16:47:57.018] [SEVERE ] updating countdown to 55696
[16:47:57.044] [SEVERE ] updating countdown to 55670
[16:47:57.070] [SEVERE ] updating countdown to 55644
[16:47:57.091] [SEVERE ] updating countdown to 55623
[16:47:57.115] [SEVERE ] updating countdown to 55599
[16:47:57.140] [SEVERE ] updating countdown to 55574
[16:47:57.165] [SEVERE ] updating countdown to 55549
[16:47:57.191] [SEVERE ] updating countdown to 55523
[16:47:57.217] [SEVERE ] updating countdown to 55497
[16:47:57.241] [SEVERE ] updating countdown to 55473
[16:47:57.266] [SEVERE ] updating countdown to 55448
[16:47:57.291] [SEVERE ] updating countdown to 55423
[16:47:57.313] [SEVERE ] updating countdown to 55401
[16:47:57.337] [SEVERE ] updating countdown to 55377
[16:47:57.360] [SEVERE ] updating countdown to 55354
[16:47:57.383] [SEVERE ] updating countdown to 55332
[16:47:57.403] [SEVERE ] updating countdown to 55311
[16:47:57.429] [SEVERE ] updating countdown to 55285
[16:47:57.455] [SEVERE ] updating countdown to 55259
[16:47:57.481] [SEVERE ] updating countdown to 55233
[16:47:57.507] [SEVERE ] updating countdown to 55207
[16:47:57.533] [SEVERE ] updating countdown to 55181
[16:47:57.554] [SEVERE ] updating countdown to 55160
[16:47:57.575] [SEVERE ] updating countdown to 55139
[16:47:57.597] [SEVERE ] updating countdown to 55117
[16:47:57.620] [SEVERE ] updating countdown to 55094
[16:47:57.642] [SEVERE ] updating countdown to 55072
[16:47:57.664] [SEVERE ] updating countdown to 55050
[16:47:57.688] [SEVERE ] updating countdown to 55026
[16:47:57.714] [SEVERE ] updating countdown to 55000
[16:47:57.738] [SEVERE ] updating countdown to 54976
[16:47:57.764] [SEVERE ] updating countdown to 54950
[16:47:57.790] [SEVERE ] updating countdown to 54924
[16:47:57.811] [SEVERE ] updating countdown to 54903
[16:47:57.838] [SEVERE ] updating countdown to 54876
[16:47:57.859] [SEVERE ] updating countdown to 54855
[16:47:57.881] [SEVERE ] updating countdown to 54833
[16:47:57.906] [SEVERE ] updating countdown to 54808
[16:47:57.931] [SEVERE ] updating countdown to 54783
[16:47:57.956] [SEVERE ] updating countdown to 54758
[16:47:57.980] [SEVERE ] updating countdown to 54734
[16:47:58.004] [SEVERE ] updating countdown to 54710
[16:47:58.028] [SEVERE ] updating countdown to 54686
[16:47:58.054] [SEVERE ] updating countdown to 54660
[16:47:58.077] [SEVERE ] updating countdown to 54637
[16:47:58.098] [SEVERE ] updating countdown to 54616
[16:47:58.120] [SEVERE ] updating countdown to 54594
[16:47:58.143] [SEVERE ] updating countdown to 54572
[16:47:58.169] [SEVERE ] updating countdown to 54545
[16:47:58.194] [SEVERE ] updating countdown to 54520
[16:47:58.215] [SEVERE ] updating countdown to 54499
[16:47:58.238] [SEVERE ] updating countdown to 54476
[16:47:58.260] [SEVERE ] updating countdown to 54455
[16:47:58.280] [SEVERE ] updating countdown to 54434
[16:47:58.301] [SEVERE ] updating countdown to 54413
[16:47:58.322] [SEVERE ] updating countdown to 54392
[16:47:58.344] [SEVERE ] updating countdown to 54370
[16:47:58.367] [SEVERE ] updating countdown to 54347
[16:47:58.389] [SEVERE ] updating countdown to 54325
[16:47:58.411] [SEVERE ] updating countdown to 54303
[16:47:58.433] [SEVERE ] updating countdown to 54281
[16:47:58.459] [SEVERE ] updating countdown to 54255
[16:47:58.484] [SEVERE ] updating countdown to 54230
[16:47:58.506] [SEVERE ] updating countdown to 54208
[16:47:58.528] [SEVERE ] updating countdown to 54186
[16:47:58.551] [SEVERE ] updating countdown to 54163
[16:47:58.572] [SEVERE ] updating countdown to 54142
[16:47:58.594] [SEVERE ] updating countdown to 54120
[16:47:58.617] [SEVERE ] updating countdown to 54097
[16:47:58.638] [SEVERE ] updating countdown to 54076
[16:47:58.663] [SEVERE ] updating countdown to 54051
[16:47:58.685] [SEVERE ] updating countdown to 54029
[16:47:58.710] [SEVERE ] updating countdown to 54004
