[10:05:39.092] [INFO   ] thread main starting.
[10:05:39.098] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:05:39.101] [SEVERE ] configuration file was loaded from resources directory.
[10:05:43.603] [INFO   ] thread dealer starting.
[10:05:43.604] [INFO   ] thread playerID: 0 starting.
[10:05:43.604] [INFO   ] thread playerID: 1 starting.
[10:05:43.604] [INFO   ] thread dealer starting.
[10:05:43.607] [SEVERE ] updating countdown to 60000
[10:05:43.708] [SEVERE ] placing card 52 in slot 6
[10:05:43.811] [SEVERE ] placing card 9 in slot 8
[10:05:43.916] [SEVERE ] placing card 59 in slot 0
[10:05:44.016] [SEVERE ] placing card 22 in slot 9
[10:05:44.119] [SEVERE ] placing card 51 in slot 7
[10:05:44.222] [SEVERE ] placing card 53 in slot 10
[10:05:44.323] [SEVERE ] placing card 47 in slot 1
[10:05:44.425] [SEVERE ] placing card 32 in slot 11
[10:05:44.530] [SEVERE ] placing card 30 in slot 2
[10:05:44.631] [SEVERE ] placing card 78 in slot 4
[10:05:44.737] [SEVERE ] placing card 31 in slot 3
[10:05:44.838] [SEVERE ] placing card 72 in slot 5
[10:05:44.860] [SEVERE ] updating countdown to 58747
[10:05:44.881] [SEVERE ] updating countdown to 58726
[10:05:44.904] [SEVERE ] updating countdown to 58703
[10:05:44.925] [SEVERE ] updating countdown to 58682
[10:05:44.946] [SEVERE ] updating countdown to 58661
[10:05:44.967] [SEVERE ] updating countdown to 58640
[10:05:44.989] [SEVERE ] updating countdown to 58618
[10:05:45.012] [SEVERE ] updating countdown to 58595
[10:05:45.034] [SEVERE ] updating countdown to 58573
[10:05:45.057] [SEVERE ] updating countdown to 58550
[10:05:45.079] [SEVERE ] updating countdown to 58528
[10:05:45.100] [SEVERE ] updating countdown to 58507
[10:05:45.124] [SEVERE ] updating countdown to 58483
[10:05:45.145] [SEVERE ] updating countdown to 58462
[10:05:45.167] [SEVERE ] updating countdown to 58440
[10:05:45.189] [SEVERE ] updating countdown to 58418
[10:05:45.212] [SEVERE ] updating countdown to 58395
[10:05:45.234] [SEVERE ] updating countdown to 58373
[10:05:45.259] [SEVERE ] updating countdown to 58348
[10:05:45.284] [SEVERE ] updating countdown to 58323
[10:05:45.307] [SEVERE ] updating countdown to 58300
[10:05:45.332] [SEVERE ] updating countdown to 58275
[10:05:45.355] [SEVERE ] updating countdown to 58252
[10:05:45.381] [SEVERE ] updating countdown to 58226
[10:05:45.407] [SEVERE ] updating countdown to 58200
[10:05:45.430] [SEVERE ] updating countdown to 58177
[10:05:45.453] [SEVERE ] updating countdown to 58154
[10:05:45.475] [SEVERE ] updating countdown to 58132
[10:05:45.501] [SEVERE ] updating countdown to 58106
[10:05:45.522] [SEVERE ] updating countdown to 58085
[10:05:45.544] [SEVERE ] updating countdown to 58063
[10:05:45.566] [SEVERE ] updating countdown to 58041
[10:05:45.596] [SEVERE ] updating countdown to 58011
[10:05:45.620] [SEVERE ] updating countdown to 57987
[10:05:45.641] [SEVERE ] updating countdown to 57966
