[10:10:23.848] [INFO   ] thread main starting.
[10:10:23.852] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:10:23.854] [SEVERE ] configuration file was loaded from resources directory.
[10:10:24.161] [INFO   ] thread dealer starting.
[10:10:24.162] [INFO   ] thread playerID: 0 starting.
[10:10:24.162] [INFO   ] thread dealer starting.
[10:10:24.162] [INFO   ] thread playerID: 1 starting.
[10:10:24.165] [SEVERE ] updating countdown to 60000
[10:10:24.266] [SEVERE ] placing card 54 in slot 3
[10:10:24.368] [SEVERE ] placing card 20 in slot 7
[10:10:24.470] [SEVERE ] placing card 70 in slot 6
[10:10:24.572] [SEVERE ] placing card 60 in slot 4
[10:10:24.676] [SEVERE ] placing card 76 in slot 9
[10:10:24.779] [SEVERE ] placing card 49 in slot 11
[10:10:24.882] [SEVERE ] placing card 52 in slot 10
[10:10:24.983] [SEVERE ] placing card 77 in slot 2
[10:10:25.084] [SEVERE ] placing card 33 in slot 1
[10:10:25.186] [SEVERE ] placing card 12 in slot 0
[10:10:25.287] [SEVERE ] placing card 72 in slot 5
[10:10:25.388] [SEVERE ] placing card 80 in slot 8
[10:10:25.409] [SEVERE ] updating countdown to 58755
[10:10:25.431] [SEVERE ] updating countdown to 58733
[10:10:25.452] [SEVERE ] updating countdown to 58712
[10:10:25.473] [SEVERE ] updating countdown to 58691
[10:10:25.495] [SEVERE ] updating countdown to 58669
[10:10:25.516] [SEVERE ] updating countdown to 58648
[10:10:25.537] [SEVERE ] updating countdown to 58627
[10:10:25.560] [SEVERE ] updating countdown to 58604
[10:10:25.582] [SEVERE ] updating countdown to 58582
[10:10:25.603] [SEVERE ] updating countdown to 58561
[10:10:25.625] [SEVERE ] updating countdown to 58539
[10:10:25.646] [SEVERE ] updating countdown to 58518
[10:10:25.668] [SEVERE ] updating countdown to 58496
[10:10:25.692] [SEVERE ] updating countdown to 58472
[10:10:25.713] [SEVERE ] updating countdown to 58451
[10:10:25.736] [SEVERE ] updating countdown to 58428
[10:10:25.758] [SEVERE ] updating countdown to 58406
[10:10:25.787] [SEVERE ] updating countdown to 58377
[10:10:25.809] [SEVERE ] updating countdown to 58355
[10:10:25.830] [SEVERE ] updating countdown to 58334
[10:10:25.852] [SEVERE ] updating countdown to 58312
[10:10:25.874] [SEVERE ] updating countdown to 58290
[10:10:25.895] [SEVERE ] updating countdown to 58269
[10:10:25.916] [SEVERE ] updating countdown to 58248
[10:10:25.938] [SEVERE ] updating countdown to 58226
[10:10:25.959] [SEVERE ] updating countdown to 58205
[10:10:25.980] [SEVERE ] updating countdown to 58184
[10:10:26.002] [SEVERE ] updating countdown to 58162
[10:10:26.024] [SEVERE ] updating countdown to 58140
[10:10:26.046] [SEVERE ] updating countdown to 58118
[10:10:26.067] [SEVERE ] updating countdown to 58097
[10:10:26.089] [SEVERE ] updating countdown to 58075
[10:10:26.110] [SEVERE ] updating countdown to 58054
[10:10:26.132] [SEVERE ] updating countdown to 58032
[10:10:26.154] [SEVERE ] updating countdown to 58010
[10:10:26.175] [SEVERE ] updating countdown to 57989
[10:10:26.196] [SEVERE ] updating countdown to 57968
[10:10:26.217] [SEVERE ] updating countdown to 57947
[10:10:26.238] [SEVERE ] updating countdown to 57926
[10:10:26.260] [SEVERE ] updating countdown to 57904
[10:10:26.281] [SEVERE ] updating countdown to 57883
[10:10:26.302] [SEVERE ] updating countdown to 57862
[10:10:26.323] [SEVERE ] updating countdown to 57841
[10:10:26.344] [SEVERE ] updating countdown to 57820
[10:10:26.365] [SEVERE ] updating countdown to 57799
[10:10:26.386] [SEVERE ] updating countdown to 57778
[10:10:26.407] [SEVERE ] updating countdown to 57757
[10:10:26.429] [SEVERE ] updating countdown to 57735
[10:10:26.450] [SEVERE ] updating countdown to 57714
[10:10:26.472] [SEVERE ] updating countdown to 57692
[10:10:26.498] [SEVERE ] updating countdown to 57666
[10:10:26.519] [SEVERE ] updating countdown to 57645
[10:10:26.540] [SEVERE ] updating countdown to 57624
[10:10:26.563] [SEVERE ] updating countdown to 57601
[10:10:26.584] [SEVERE ] updating countdown to 57580
[10:10:26.610] [SEVERE ] updating countdown to 57554
[10:10:26.632] [SEVERE ] updating countdown to 57532
[10:10:26.658] [SEVERE ] updating countdown to 57506
[10:10:26.679] [SEVERE ] updating countdown to 57485
[10:10:26.701] [SEVERE ] updating countdown to 57463
[10:10:26.722] [SEVERE ] updating countdown to 57442
[10:10:26.744] [SEVERE ] updating countdown to 57420
[10:10:26.766] [SEVERE ] updating countdown to 57398
[10:10:26.792] [SEVERE ] updating countdown to 57372
[10:10:26.817] [SEVERE ] updating countdown to 57347
[10:10:26.843] [SEVERE ] updating countdown to 57321
[10:10:26.866] [SEVERE ] updating countdown to 57298
[10:10:26.889] [SEVERE ] updating countdown to 57275
[10:10:26.911] [SEVERE ] updating countdown to 57253
[10:10:26.935] [SEVERE ] updating countdown to 57229
[10:10:26.955] [SEVERE ] updating countdown to 57209
[10:10:26.977] [SEVERE ] updating countdown to 57187
[10:10:26.998] [SEVERE ] updating countdown to 57166
[10:10:27.019] [SEVERE ] updating countdown to 57145
[10:10:27.045] [SEVERE ] updating countdown to 57119
[10:10:27.071] [SEVERE ] updating countdown to 57093
[10:10:27.097] [SEVERE ] updating countdown to 57067
[10:10:27.119] [SEVERE ] updating countdown to 57045
[10:10:27.140] [SEVERE ] updating countdown to 57024
[10:10:27.162] [SEVERE ] updating countdown to 57002
[10:10:27.185] [SEVERE ] updating countdown to 56979
[10:10:27.208] [SEVERE ] updating countdown to 56956
[10:10:27.233] [SEVERE ] updating countdown to 56931
[10:10:27.257] [SEVERE ] updating countdown to 56907
[10:10:27.282] [SEVERE ] updating countdown to 56882
[10:10:27.305] [SEVERE ] updating countdown to 56860
[10:10:27.326] [SEVERE ] updating countdown to 56838
[10:10:27.352] [SEVERE ] updating countdown to 56812
[10:10:27.378] [SEVERE ] updating countdown to 56786
[10:10:27.399] [SEVERE ] updating countdown to 56765
[10:10:27.423] [SEVERE ] updating countdown to 56741
[10:10:27.444] [SEVERE ] updating countdown to 56720
[10:10:27.470] [SEVERE ] updating countdown to 56694
[10:10:27.496] [SEVERE ] updating countdown to 56668
[10:10:27.517] [SEVERE ] updating countdown to 56647
[10:10:27.541] [SEVERE ] updating countdown to 56623
[10:10:27.564] [SEVERE ] updating countdown to 56600
[10:10:27.588] [SEVERE ] updating countdown to 56576
[10:10:27.610] [SEVERE ] updating countdown to 56554
[10:10:27.632] [SEVERE ] updating countdown to 56532
[10:10:27.654] [SEVERE ] updating countdown to 56510
[10:10:27.676] [SEVERE ] updating countdown to 56488
[10:10:27.699] [SEVERE ] updating countdown to 56465
[10:10:27.721] [SEVERE ] updating countdown to 56443
[10:10:27.742] [SEVERE ] updating countdown to 56422
[10:10:27.764] [SEVERE ] updating countdown to 56400
[10:10:27.786] [SEVERE ] updating countdown to 56378
