[13:21:22.065] [INFO   ] thread main starting.
[13:21:22.069] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:21:22.071] [SEVERE ] configuration file was loaded from resources directory.
[13:21:26.800] [INFO   ] thread dealer starting.
[13:21:26.801] [INFO   ] thread playerID: 0 starting.
[13:21:26.801] [INFO   ] thread dealer starting.
[13:21:26.801] [INFO   ] thread playerID: 1 starting.
[13:21:26.804] [SEVERE ] updating countdown to 60000
[13:21:26.910] [SEVERE ] placing card 75 in slot 9
[13:21:27.011] [SEVERE ] placing card 69 in slot 5
[13:21:27.113] [SEVERE ] placing card 54 in slot 7
[13:21:27.215] [SEVERE ] placing card 20 in slot 4
[13:21:27.318] [SEVERE ] placing card 57 in slot 0
[13:21:27.419] [SEVERE ] placing card 12 in slot 10
[13:21:27.525] [SEVERE ] placing card 62 in slot 1
[13:21:27.627] [SEVERE ] placing card 56 in slot 3
[13:21:27.730] [SEVERE ] placing card 0 in slot 8
[13:21:27.831] [SEVERE ] placing card 25 in slot 2
[13:21:27.932] [SEVERE ] placing card 68 in slot 11
[13:21:28.035] [SEVERE ] placing card 79 in slot 6
[13:21:28.057] [SEVERE ] updating countdown to 58747
[13:21:28.083] [SEVERE ] updating countdown to 58721
[13:21:28.106] [SEVERE ] updating countdown to 58698
[13:21:28.128] [SEVERE ] updating countdown to 58676
[13:21:28.152] [SEVERE ] updating countdown to 58652
[13:21:28.173] [SEVERE ] updating countdown to 58631
[13:21:28.200] [SEVERE ] updating countdown to 58604
[13:21:28.226] [SEVERE ] updating countdown to 58578
[13:21:28.249] [SEVERE ] updating countdown to 58555
[13:21:28.271] [SEVERE ] updating countdown to 58533
[13:21:28.295] [SEVERE ] updating countdown to 58509
[13:21:28.316] [SEVERE ] updating countdown to 58488
[13:21:28.342] [SEVERE ] updating countdown to 58462
[13:21:28.365] [SEVERE ] updating countdown to 58439
[13:21:28.387] [SEVERE ] updating countdown to 58417
[13:21:28.408] [SEVERE ] updating countdown to 58396
[13:21:28.430] [SEVERE ] updating countdown to 58374
[13:21:28.452] [SEVERE ] updating countdown to 58352
[13:21:28.473] [SEVERE ] updating countdown to 58331
[13:21:28.496] [SEVERE ] updating countdown to 58308
[13:21:28.521] [SEVERE ] updating countdown to 58283
[13:21:28.544] [SEVERE ] updating countdown to 58260
[13:21:28.566] [SEVERE ] updating countdown to 58238
[13:21:28.587] [SEVERE ] updating countdown to 58217
[13:21:28.608] [SEVERE ] updating countdown to 58196
[13:21:28.630] [SEVERE ] updating countdown to 58174
[13:21:28.654] [SEVERE ] updating countdown to 58150
[13:21:28.677] [SEVERE ] updating countdown to 58127
[13:21:28.702] [SEVERE ] updating countdown to 58102
[13:21:28.726] [SEVERE ] updating countdown to 58078
[13:21:28.750] [SEVERE ] updating countdown to 58054
[13:21:28.775] [SEVERE ] updating countdown to 58029
[13:21:28.799] [SEVERE ] updating countdown to 58005
[13:21:28.821] [SEVERE ] updating countdown to 57983
[13:21:28.843] [SEVERE ] updating countdown to 57961
[13:21:28.864] [SEVERE ] updating countdown to 57940
[13:21:28.886] [SEVERE ] updating countdown to 57918
[13:21:28.908] [SEVERE ] updating countdown to 57896
[13:21:28.929] [SEVERE ] updating countdown to 57875
[13:21:28.951] [SEVERE ] updating countdown to 57853
[13:21:28.976] [SEVERE ] updating countdown to 57828
[13:21:28.998] [SEVERE ] updating countdown to 57806
[13:21:29.024] [SEVERE ] updating countdown to 57780
[13:21:29.046] [SEVERE ] updating countdown to 57758
[13:21:29.072] [SEVERE ] updating countdown to 57732
[13:21:29.094] [SEVERE ] updating countdown to 57710
[13:21:29.119] [SEVERE ] updating countdown to 57685
[13:21:29.144] [SEVERE ] updating countdown to 57660
[13:21:29.169] [SEVERE ] updating countdown to 57635
[13:21:29.192] [SEVERE ] updating countdown to 57612
[13:21:29.215] [SEVERE ] updating countdown to 57589
[13:21:29.241] [SEVERE ] updating countdown to 57563
[13:21:29.263] [SEVERE ] updating countdown to 57541
[13:21:29.286] [SEVERE ] updating countdown to 57518
[13:21:29.308] [SEVERE ] updating countdown to 57496
[13:21:29.334] [SEVERE ] updating countdown to 57470
[13:21:29.358] [SEVERE ] updating countdown to 57446
[13:21:29.384] [SEVERE ] updating countdown to 57420
[13:21:29.405] [SEVERE ] updating countdown to 57399
[13:21:29.431] [SEVERE ] updating countdown to 57373
[13:21:29.453] [SEVERE ] updating countdown to 57351
[13:21:29.476] [SEVERE ] updating countdown to 57328
[13:21:29.498] [SEVERE ] updating countdown to 57306
[13:21:29.524] [SEVERE ] updating countdown to 57280
[13:21:29.547] [SEVERE ] updating countdown to 57257
[13:21:29.571] [SEVERE ] updating countdown to 57233
[13:21:29.597] [SEVERE ] updating countdown to 57207
[13:21:29.619] [SEVERE ] updating countdown to 57185
[13:21:29.643] [SEVERE ] updating countdown to 57161
[13:21:29.665] [SEVERE ] updating countdown to 57139
[13:21:29.689] [SEVERE ] updating countdown to 57115
[13:21:29.710] [SEVERE ] updating countdown to 57094
[13:21:29.733] [SEVERE ] updating countdown to 57071
[13:21:29.754] [SEVERE ] updating countdown to 57050
[13:21:29.775] [SEVERE ] updating countdown to 57029
[13:21:29.797] [SEVERE ] updating countdown to 57007
[13:21:29.820] [SEVERE ] updating countdown to 56984
[13:21:29.840] [SEVERE ] updating countdown to 56964
[13:21:29.863] [SEVERE ] updating countdown to 56941
[13:21:29.884] [SEVERE ] updating countdown to 56920
[13:21:29.910] [SEVERE ] updating countdown to 56894
[13:21:29.933] [SEVERE ] updating countdown to 56871
[13:21:29.955] [SEVERE ] updating countdown to 56849
[13:21:29.980] [SEVERE ] updating countdown to 56824
[13:21:30.005] [SEVERE ] updating countdown to 56799
[13:21:30.027] [SEVERE ] updating countdown to 56777
[13:21:30.052] [SEVERE ] updating countdown to 56752
[13:21:30.073] [SEVERE ] updating countdown to 56731
[13:21:30.095] [SEVERE ] updating countdown to 56709
[13:21:30.117] [SEVERE ] updating countdown to 56687
[13:21:30.140] [SEVERE ] updating countdown to 56664
[13:21:30.163] [SEVERE ] updating countdown to 56641
[13:21:30.189] [SEVERE ] updating countdown to 56615
[13:21:30.213] [SEVERE ] updating countdown to 56591
[13:21:30.235] [SEVERE ] updating countdown to 56569
[13:21:30.257] [SEVERE ] updating countdown to 56547
[13:21:30.281] [SEVERE ] updating countdown to 56523
[13:21:30.302] [SEVERE ] updating countdown to 56502
[13:21:30.327] [SEVERE ] updating countdown to 56477
[13:21:30.349] [SEVERE ] updating countdown to 56455
[13:21:30.373] [SEVERE ] updating countdown to 56431
[13:21:30.397] [SEVERE ] updating countdown to 56407
[13:21:30.420] [SEVERE ] updating countdown to 56384
[13:21:30.443] [SEVERE ] updating countdown to 56361
[13:21:30.464] [SEVERE ] updating countdown to 56340
[13:21:30.486] [SEVERE ] updating countdown to 56318
[13:21:30.511] [SEVERE ] updating countdown to 56293
[13:21:30.534] [SEVERE ] updating countdown to 56270
[13:21:30.558] [SEVERE ] updating countdown to 56246
[13:21:30.581] [SEVERE ] updating countdown to 56223
[13:21:30.607] [SEVERE ] updating countdown to 56197
[13:21:30.629] [SEVERE ] updating countdown to 56175
[13:21:30.651] [SEVERE ] updating countdown to 56153
[13:21:30.672] [SEVERE ] updating countdown to 56132
[13:21:30.698] [SEVERE ] updating countdown to 56106
[13:21:30.719] [SEVERE ] updating countdown to 56085
[13:21:30.745] [SEVERE ] updating countdown to 56059
[13:21:30.766] [SEVERE ] updating countdown to 56038
[13:21:30.791] [SEVERE ] updating countdown to 56013
[13:21:30.813] [SEVERE ] updating countdown to 55991
[13:21:30.836] [SEVERE ] updating countdown to 55968
[13:21:30.858] [SEVERE ] updating countdown to 55946
[13:21:30.884] [SEVERE ] updating countdown to 55920
[13:21:30.906] [SEVERE ] updating countdown to 55898
[13:21:30.932] [SEVERE ] updating countdown to 55872
[13:21:30.958] [SEVERE ] updating countdown to 55846
[13:21:30.983] [SEVERE ] updating countdown to 55821
[13:21:31.009] [SEVERE ] updating countdown to 55795
[13:21:31.034] [SEVERE ] updating countdown to 55770
[13:21:31.060] [SEVERE ] updating countdown to 55744
[13:21:31.085] [SEVERE ] updating countdown to 55719
[13:21:31.111] [SEVERE ] updating countdown to 55693
[13:21:31.132] [SEVERE ] updating countdown to 55672
[13:21:31.158] [SEVERE ] updating countdown to 55646
[13:21:31.184] [SEVERE ] updating countdown to 55620
[13:21:31.210] [SEVERE ] updating countdown to 55594
[13:21:31.233] [SEVERE ] updating countdown to 55571
[13:21:31.257] [SEVERE ] updating countdown to 55547
[13:21:31.278] [SEVERE ] updating countdown to 55526
[13:21:31.304] [SEVERE ] updating countdown to 55500
[13:21:31.327] [SEVERE ] updating countdown to 55477
[13:21:31.353] [SEVERE ] updating countdown to 55451
[13:21:31.374] [SEVERE ] updating countdown to 55430
[13:21:31.396] [SEVERE ] updating countdown to 55408
[13:21:31.418] [SEVERE ] updating countdown to 55386
[13:21:31.441] [SEVERE ] updating countdown to 55363
[13:21:31.466] [SEVERE ] updating countdown to 55338
[13:21:31.488] [SEVERE ] updating countdown to 55316
[13:21:31.514] [SEVERE ] updating countdown to 55290
[13:21:31.536] [SEVERE ] updating countdown to 55268
[13:21:31.561] [SEVERE ] updating countdown to 55243
[13:21:31.582] [SEVERE ] updating countdown to 55222
[13:21:31.608] [SEVERE ] updating countdown to 55196
[13:21:31.632] [SEVERE ] updating countdown to 55172
[13:21:31.654] [SEVERE ] updating countdown to 55150
[13:21:31.675] [SEVERE ] updating countdown to 55129
[13:21:31.700] [SEVERE ] updating countdown to 55104
[13:21:31.726] [SEVERE ] updating countdown to 55078
[13:21:31.752] [SEVERE ] updating countdown to 55052
[13:21:31.778] [SEVERE ] updating countdown to 55026
[13:21:31.804] [SEVERE ] updating countdown to 55000
[13:21:31.825] [SEVERE ] updating countdown to 54979
[13:21:31.848] [SEVERE ] updating countdown to 54956
[13:21:31.871] [SEVERE ] updating countdown to 54933
[13:21:31.895] [SEVERE ] updating countdown to 54909
[13:21:31.921] [SEVERE ] updating countdown to 54883
[13:21:31.947] [SEVERE ] updating countdown to 54857
[13:21:31.973] [SEVERE ] updating countdown to 54831
[13:21:31.999] [SEVERE ] updating countdown to 54805
[13:21:32.021] [SEVERE ] updating countdown to 54783
[13:21:32.047] [SEVERE ] updating countdown to 54757
[13:21:32.073] [SEVERE ] updating countdown to 54731
[13:21:32.097] [SEVERE ] updating countdown to 54707
[13:21:32.120] [SEVERE ] updating countdown to 54684
[13:21:32.142] [SEVERE ] updating countdown to 54662
[13:21:32.162] [SEVERE ] updating countdown to 54642
[13:21:32.186] [SEVERE ] updating countdown to 54618
[13:21:32.211] [SEVERE ] updating countdown to 54593
[13:21:32.232] [SEVERE ] updating countdown to 54572
[13:21:32.254] [SEVERE ] updating countdown to 54550
[13:21:32.277] [SEVERE ] updating countdown to 54527
[13:21:32.302] [SEVERE ] updating countdown to 54502
[13:21:32.328] [SEVERE ] updating countdown to 54476
[13:21:32.352] [SEVERE ] updating countdown to 54452
[13:21:32.377] [SEVERE ] updating countdown to 54427
[13:21:32.399] [SEVERE ] updating countdown to 54405
[13:21:32.421] [SEVERE ] updating countdown to 54383
[13:21:32.442] [SEVERE ] updating countdown to 54362
[13:21:32.463] [SEVERE ] updating countdown to 54341
[13:21:32.485] [SEVERE ] updating countdown to 54319
[13:21:32.507] [SEVERE ] updating countdown to 54297
[13:21:32.532] [SEVERE ] updating countdown to 54272
[13:21:32.554] [SEVERE ] updating countdown to 54250
[13:21:32.580] [SEVERE ] updating countdown to 54224
[13:21:32.603] [SEVERE ] updating countdown to 54201
[13:21:32.629] [SEVERE ] updating countdown to 54175
[13:21:32.655] [SEVERE ] updating countdown to 54149
[13:21:32.679] [SEVERE ] updating countdown to 54125
[13:21:32.702] [SEVERE ] updating countdown to 54102
[13:21:32.728] [SEVERE ] updating countdown to 54076
[13:21:32.754] [SEVERE ] updating countdown to 54050
[13:21:32.776] [SEVERE ] updating countdown to 54028
[13:21:32.802] [SEVERE ] updating countdown to 54002
[13:21:32.828] [SEVERE ] updating countdown to 53976
[13:21:32.854] [SEVERE ] updating countdown to 53950
[13:21:32.879] [SEVERE ] updating countdown to 53925
[13:21:32.901] [SEVERE ] updating countdown to 53903
[13:21:32.927] [SEVERE ] updating countdown to 53877
[13:21:32.953] [SEVERE ] updating countdown to 53851
[13:21:32.979] [SEVERE ] updating countdown to 53825
[13:21:33.002] [SEVERE ] updating countdown to 53802
[13:21:33.024] [SEVERE ] updating countdown to 53780
[13:21:33.049] [SEVERE ] updating countdown to 53755
[13:21:33.072] [SEVERE ] updating countdown to 53732
[13:21:33.094] [SEVERE ] updating countdown to 53710
[13:21:33.120] [SEVERE ] updating countdown to 53684
[13:21:33.141] [SEVERE ] updating countdown to 53663
[13:21:33.167] [SEVERE ] updating countdown to 53637
