[16:51:13.984] [INFO   ] thread main starting.
[16:51:13.989] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:51:13.991] [SEVERE ] configuration file was loaded from resources directory.
[16:51:18.695] [INFO   ] thread dealer starting.
[16:51:18.696] [INFO   ] thread playerID: 0 starting.
[16:51:18.696] [INFO   ] thread dealer starting.
[16:51:18.696] [INFO   ] thread playerID: 1 starting.
[16:51:18.700] [SEVERE ] updating countdown to 60000
[16:51:18.802] [SEVERE ] placing card 48 in slot 1
[16:51:18.907] [SEVERE ] placing card 68 in slot 6
[16:51:19.013] [SEVERE ] placing card 17 in slot 10
[16:51:19.117] [SEVERE ] placing card 62 in slot 8
[16:51:19.222] [SEVERE ] placing card 46 in slot 9
[16:51:19.328] [SEVERE ] placing card 38 in slot 0
[16:51:19.430] [SEVERE ] placing card 79 in slot 5
[16:51:19.536] [SEVERE ] placing card 4 in slot 7
[16:51:19.638] [SEVERE ] placing card 5 in slot 11
[16:51:19.744] [SEVERE ] placing card 24 in slot 2
[16:51:19.847] [SEVERE ] placing card 11 in slot 3
[16:51:19.952] [SEVERE ] placing card 56 in slot 4
[16:51:19.972] [SEVERE ] updating countdown to 58727
[16:51:19.994] [SEVERE ] updating countdown to 58705
[16:51:20.018] [SEVERE ] updating countdown to 58681
[16:51:20.044] [SEVERE ] updating countdown to 58655
[16:51:20.069] [SEVERE ] updating countdown to 58630
[16:51:20.095] [SEVERE ] updating countdown to 58604
[16:51:20.120] [SEVERE ] updating countdown to 58579
[16:51:20.142] [SEVERE ] updating countdown to 58557
[16:51:20.166] [SEVERE ] updating countdown to 58533
[16:51:20.188] [SEVERE ] updating countdown to 58511
[16:51:20.210] [SEVERE ] updating countdown to 58489
[16:51:20.235] [SEVERE ] updating countdown to 58464
[16:51:20.261] [SEVERE ] updating countdown to 58438
[16:51:20.286] [SEVERE ] updating countdown to 58413
[16:51:20.309] [SEVERE ] updating countdown to 58390
[16:51:20.333] [SEVERE ] updating countdown to 58366
[16:51:20.357] [SEVERE ] updating countdown to 58342
[16:51:20.379] [SEVERE ] updating countdown to 58320
[16:51:20.402] [SEVERE ] updating countdown to 58297
[16:51:20.424] [SEVERE ] updating countdown to 58275
[16:51:20.446] [SEVERE ] updating countdown to 58253
[16:51:20.468] [SEVERE ] updating countdown to 58231
[16:51:20.490] [SEVERE ] updating countdown to 58209
[16:51:20.512] [SEVERE ] updating countdown to 58187
[16:51:20.536] [SEVERE ] updating countdown to 58164
[16:51:20.560] [SEVERE ] updating countdown to 58139
[16:51:20.584] [SEVERE ] updating countdown to 58115
[16:51:20.606] [SEVERE ] updating countdown to 58093
[16:51:20.628] [SEVERE ] updating countdown to 58071
[16:51:20.652] [SEVERE ] updating countdown to 58047
[16:51:20.677] [SEVERE ] updating countdown to 58022
[16:51:20.698] [SEVERE ] updating countdown to 58001
[16:51:20.722] [SEVERE ] updating countdown to 57977
[16:51:20.747] [SEVERE ] updating countdown to 57952
