[16:23:18.757] [INFO   ] thread main starting.
[16:23:18.764] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:23:18.766] [SEVERE ] configuration file was loaded from resources directory.
[16:23:19.113] [INFO   ] thread dealer starting.
[16:23:19.114] [INFO   ] thread dealer starting.
[16:23:19.114] [INFO   ] thread playerID: 1 starting.
[16:23:19.114] [INFO   ] thread playerID: 0 starting.
[16:23:19.117] [SEVERE ] updating countdown to 60000
[16:23:19.219] [SEVERE ] placing card 76 in slot 9
[16:23:19.321] [SEVERE ] placing card 9 in slot 11
[16:23:19.422] [SEVERE ] placing card 34 in slot 2
[16:23:19.523] [SEVERE ] placing card 1 in slot 0
[16:23:19.628] [SEVERE ] placing card 31 in slot 1
[16:23:19.729] [SEVERE ] placing card 16 in slot 3
[16:23:19.833] [SEVERE ] placing card 41 in slot 10
[16:23:19.935] [SEVERE ] placing card 6 in slot 5
[16:23:20.036] [SEVERE ] placing card 48 in slot 4
[16:23:20.141] [SEVERE ] placing card 14 in slot 7
[16:23:20.247] [SEVERE ] placing card 66 in slot 8
[16:23:20.349] [SEVERE ] placing card 29 in slot 6
[16:23:20.370] [SEVERE ] updating countdown to 58747
[16:23:20.393] [SEVERE ] updating countdown to 58724
[16:23:20.419] [SEVERE ] updating countdown to 58698
[16:23:20.443] [SEVERE ] updating countdown to 58674
[16:23:20.468] [SEVERE ] updating countdown to 58649
[16:23:20.489] [SEVERE ] updating countdown to 58628
[16:23:20.513] [SEVERE ] updating countdown to 58604
[16:23:20.537] [SEVERE ] updating countdown to 58580
[16:23:20.560] [SEVERE ] updating countdown to 58557
[16:23:20.582] [SEVERE ] updating countdown to 58535
[16:23:20.606] [SEVERE ] updating countdown to 58511
[16:23:20.627] [SEVERE ] updating countdown to 58490
[16:23:20.650] [SEVERE ] updating countdown to 58467
[16:23:20.673] [SEVERE ] updating countdown to 58444
[16:23:20.695] [SEVERE ] updating countdown to 58422
[16:23:20.716] [SEVERE ] updating countdown to 58401
[16:23:20.738] [SEVERE ] updating countdown to 58379
[16:23:20.759] [SEVERE ] updating countdown to 58358
[16:23:20.781] [SEVERE ] updating countdown to 58336
[16:23:20.802] [SEVERE ] updating countdown to 58315
[16:23:20.831] [SEVERE ] updating countdown to 58286
[16:23:20.855] [SEVERE ] updating countdown to 58262
[16:23:20.877] [SEVERE ] updating countdown to 58240
[16:23:20.897] [SEVERE ] updating countdown to 58220
[16:23:20.919] [SEVERE ] updating countdown to 58198
[16:23:20.941] [SEVERE ] updating countdown to 58176
[16:23:20.965] [SEVERE ] updating countdown to 58152
[16:23:20.991] [SEVERE ] updating countdown to 58126
[16:23:21.016] [SEVERE ] updating countdown to 58101
[16:23:21.039] [SEVERE ] updating countdown to 58078
[16:23:21.063] [SEVERE ] updating countdown to 58054
[16:23:21.086] [SEVERE ] updating countdown to 58031
[16:23:21.109] [SEVERE ] updating countdown to 58008
[16:23:21.133] [SEVERE ] updating countdown to 57984
[16:23:21.154] [SEVERE ] updating countdown to 57963
[16:23:21.180] [SEVERE ] updating countdown to 57937
[16:23:21.204] [SEVERE ] updating countdown to 57913
[16:23:21.225] [SEVERE ] updating countdown to 57892
[16:23:21.251] [SEVERE ] updating countdown to 57866
[16:23:21.276] [SEVERE ] updating countdown to 57841
[16:23:21.302] [SEVERE ] updating countdown to 57815
[16:23:21.327] [SEVERE ] updating countdown to 57790
[16:23:21.353] [SEVERE ] updating countdown to 57764
[16:23:21.375] [SEVERE ] updating countdown to 57742
[16:23:21.399] [SEVERE ] updating countdown to 57718
[16:23:21.423] [SEVERE ] updating countdown to 57694
[16:23:21.445] [SEVERE ] updating countdown to 57672
[16:23:21.465] [SEVERE ] updating countdown to 57652
[16:23:21.490] [SEVERE ] updating countdown to 57627
[16:23:21.515] [SEVERE ] updating countdown to 57602
[16:23:21.541] [SEVERE ] updating countdown to 57576
[16:23:21.567] [SEVERE ] updating countdown to 57550
[16:23:21.593] [SEVERE ] updating countdown to 57524
[16:23:21.615] [SEVERE ] updating countdown to 57502
[16:23:21.641] [SEVERE ] updating countdown to 57476
[16:23:21.665] [SEVERE ] updating countdown to 57452
[16:23:21.690] [SEVERE ] updating countdown to 57427
[16:23:21.715] [SEVERE ] updating countdown to 57402
[16:23:21.738] [SEVERE ] updating countdown to 57379
[16:23:21.764] [SEVERE ] updating countdown to 57353
[16:23:21.786] [SEVERE ] updating countdown to 57331
