[16:44:18.907] [INFO   ] thread main starting.
[16:44:18.912] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:44:18.914] [SEVERE ] configuration file was loaded from resources directory.
[16:44:19.278] [INFO   ] thread dealer starting.
[16:44:19.279] [INFO   ] thread playerID: 0 starting.
[16:44:19.279] [INFO   ] thread playerID: 1 starting.
[16:44:19.279] [INFO   ] thread dealer starting.
[16:44:19.285] [SEVERE ] updating countdown to 60000
[16:44:19.389] [SEVERE ] placing card 44 in slot 6
[16:44:19.490] [SEVERE ] placing card 36 in slot 1
[16:44:19.591] [SEVERE ] placing card 61 in slot 4
[16:44:19.693] [SEVERE ] placing card 17 in slot 3
[16:44:19.795] [SEVERE ] placing card 6 in slot 9
[16:44:19.898] [SEVERE ] placing card 26 in slot 7
[16:44:20.002] [SEVERE ] placing card 15 in slot 8
[16:44:20.105] [SEVERE ] placing card 51 in slot 11
[16:44:20.206] [SEVERE ] placing card 59 in slot 2
[16:44:20.310] [SEVERE ] placing card 7 in slot 10
[16:44:20.412] [SEVERE ] placing card 11 in slot 5
[16:44:20.518] [SEVERE ] placing card 49 in slot 0
[16:44:20.539] [SEVERE ] updating countdown to 58745
[16:44:20.562] [SEVERE ] updating countdown to 58722
[16:44:20.590] [SEVERE ] updating countdown to 58694
[16:44:20.617] [SEVERE ] updating countdown to 58667
[16:44:20.639] [SEVERE ] updating countdown to 58645
[16:44:20.664] [SEVERE ] updating countdown to 58620
[16:44:20.687] [SEVERE ] updating countdown to 58597
[16:44:20.708] [SEVERE ] updating countdown to 58576
[16:44:20.730] [SEVERE ] updating countdown to 58554
[16:44:20.752] [SEVERE ] updating countdown to 58532
[16:44:20.773] [SEVERE ] updating countdown to 58511
[16:44:20.794] [SEVERE ] updating countdown to 58490
[16:44:20.815] [SEVERE ] updating countdown to 58469
[16:44:20.836] [SEVERE ] updating countdown to 58448
[16:44:20.858] [SEVERE ] updating countdown to 58426
[16:44:20.879] [SEVERE ] updating countdown to 58405
[16:44:20.901] [SEVERE ] updating countdown to 58383
[16:44:20.922] [SEVERE ] updating countdown to 58362
[16:44:20.944] [SEVERE ] updating countdown to 58340
[16:44:20.966] [SEVERE ] updating countdown to 58318
[16:44:20.987] [SEVERE ] updating countdown to 58297
[16:44:21.008] [SEVERE ] updating countdown to 58276
[16:44:21.029] [SEVERE ] updating countdown to 58255
[16:44:21.050] [SEVERE ] updating countdown to 58234
[16:44:21.072] [SEVERE ] updating countdown to 58212
[16:44:21.094] [SEVERE ] updating countdown to 58190
[16:44:21.115] [SEVERE ] updating countdown to 58169
[16:44:21.139] [SEVERE ] updating countdown to 58145
[16:44:21.160] [SEVERE ] updating countdown to 58124
[16:44:21.181] [SEVERE ] updating countdown to 58103
[16:44:21.202] [SEVERE ] updating countdown to 58082
[16:44:21.223] [SEVERE ] updating countdown to 58061
[16:44:21.245] [SEVERE ] updating countdown to 58039
[16:44:21.266] [SEVERE ] updating countdown to 58018
[16:44:21.287] [SEVERE ] updating countdown to 57997
[16:44:21.308] [SEVERE ] updating countdown to 57976
[16:44:21.329] [SEVERE ] updating countdown to 57955
[16:44:21.350] [SEVERE ] updating countdown to 57934
[16:44:21.371] [SEVERE ] updating countdown to 57913
[16:44:21.392] [SEVERE ] updating countdown to 57892
[16:44:21.413] [SEVERE ] updating countdown to 57871
