[14:15:07.697] [INFO   ] thread main starting.
[14:15:07.704] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:15:07.706] [SEVERE ] configuration file was loaded from resources directory.
[14:15:08.115] [INFO   ] thread dealer starting.
[14:15:08.116] [INFO   ] thread playerID: 0 starting.
[14:15:08.116] [INFO   ] thread dealer starting.
[14:15:08.116] [INFO   ] thread playerID: 1 starting.
[14:15:08.120] [SEVERE ] updating countdown to 60000
[14:15:08.224] [SEVERE ] placing card 25 in slot 9
[14:15:08.325] [SEVERE ] placing card 46 in slot 1
[14:15:08.427] [SEVERE ] placing card 17 in slot 6
[14:15:08.530] [SEVERE ] placing card 28 in slot 8
[14:15:08.633] [SEVERE ] placing card 77 in slot 0
[14:15:08.739] [SEVERE ] placing card 47 in slot 3
[14:15:08.840] [SEVERE ] placing card 31 in slot 7
[14:15:08.941] [SEVERE ] placing card 24 in slot 2
[14:15:09.045] [SEVERE ] placing card 0 in slot 11
[14:15:09.147] [SEVERE ] placing card 65 in slot 4
[14:15:09.251] [SEVERE ] placing card 41 in slot 10
[14:15:09.354] [SEVERE ] placing card 50 in slot 5
[14:15:09.378] [SEVERE ] updating countdown to 60000
[14:15:09.400] [SEVERE ] updating countdown to 60000
[14:15:09.424] [SEVERE ] updating countdown to 60000
[14:15:09.446] [SEVERE ] updating countdown to 60000
[14:15:09.468] [SEVERE ] updating countdown to 60000
[14:15:09.493] [SEVERE ] updating countdown to 60000
[14:15:09.515] [SEVERE ] updating countdown to 60000
[14:15:09.541] [SEVERE ] updating countdown to 60000
[14:15:09.567] [SEVERE ] updating countdown to 60000
[14:15:09.590] [SEVERE ] updating countdown to 60000
[14:15:09.612] [SEVERE ] updating countdown to 60000
[14:15:09.635] [SEVERE ] updating countdown to 60000
[14:15:09.656] [SEVERE ] updating countdown to 60000
[14:15:09.678] [SEVERE ] updating countdown to 60000
[14:15:09.699] [SEVERE ] updating countdown to 60000
