[17:00:44.153] [INFO   ] thread main starting.
[17:00:44.158] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:00:44.160] [SEVERE ] configuration file was loaded from resources directory.
[17:00:44.527] [INFO   ] thread dealer starting.
[17:00:44.528] [INFO   ] thread dealer starting.
[17:00:44.528] [INFO   ] thread playerID: 0 starting.
[17:00:44.528] [INFO   ] thread playerID: 1 starting.
[17:00:44.531] [SEVERE ] updating countdown to 60000
[17:00:44.635] [SEVERE ] placing card 10 in slot 5
[17:00:44.739] [SEVERE ] placing card 7 in slot 11
[17:00:44.841] [SEVERE ] placing card 9 in slot 8
[17:00:44.948] [SEVERE ] placing card 43 in slot 10
[17:00:45.051] [SEVERE ] placing card 60 in slot 2
[17:00:45.152] [SEVERE ] placing card 6 in slot 3
[17:00:45.253] [SEVERE ] placing card 45 in slot 6
[17:00:45.359] [SEVERE ] placing card 23 in slot 7
[17:00:45.460] [SEVERE ] placing card 47 in slot 1
[17:00:45.567] [SEVERE ] placing card 1 in slot 9
[17:00:45.668] [SEVERE ] placing card 56 in slot 4
[17:00:45.771] [SEVERE ] placing card 62 in slot 0
[17:00:45.792] [SEVERE ] updating countdown to 58739
[17:00:45.815] [SEVERE ] updating countdown to 58716
[17:00:45.839] [SEVERE ] updating countdown to 58692
[17:00:45.863] [SEVERE ] updating countdown to 58668
[17:00:45.886] [SEVERE ] updating countdown to 58645
[17:00:45.907] [SEVERE ] updating countdown to 58624
[17:00:45.929] [SEVERE ] updating countdown to 58602
[17:00:45.951] [SEVERE ] updating countdown to 58580
[17:00:45.972] [SEVERE ] updating countdown to 58559
[17:00:45.994] [SEVERE ] updating countdown to 58537
[17:00:46.015] [SEVERE ] updating countdown to 58516
[17:00:46.036] [SEVERE ] updating countdown to 58495
[17:00:46.058] [SEVERE ] updating countdown to 58473
[17:00:46.080] [SEVERE ] updating countdown to 58451
[17:00:46.103] [SEVERE ] updating countdown to 58429
[17:00:46.125] [SEVERE ] updating countdown to 58406
[17:00:46.148] [SEVERE ] updating countdown to 58383
[17:00:46.169] [SEVERE ] updating countdown to 58362
[17:00:46.190] [SEVERE ] updating countdown to 58341
[17:00:46.214] [SEVERE ] updating countdown to 58317
[17:00:46.235] [SEVERE ] updating countdown to 58296
[17:00:46.259] [SEVERE ] updating countdown to 58272
[17:00:46.280] [SEVERE ] updating countdown to 58251
[17:00:46.304] [SEVERE ] updating countdown to 58227
[17:00:46.326] [SEVERE ] updating countdown to 58205
[17:00:46.348] [SEVERE ] updating countdown to 58183
[17:00:46.370] [SEVERE ] updating countdown to 58161
[17:00:46.391] [SEVERE ] updating countdown to 58140
[17:00:46.413] [SEVERE ] updating countdown to 58118
[17:00:46.435] [SEVERE ] updating countdown to 58096
[17:00:46.456] [SEVERE ] updating countdown to 58075
[17:00:46.477] [SEVERE ] updating countdown to 58054
[17:00:46.503] [SEVERE ] updating countdown to 58028
[17:00:46.525] [SEVERE ] updating countdown to 58006
[17:00:46.547] [SEVERE ] updating countdown to 57984
[17:00:46.570] [SEVERE ] updating countdown to 57961
[17:00:46.591] [SEVERE ] updating countdown to 57940
[17:00:46.616] [SEVERE ] updating countdown to 57915
[17:00:46.638] [SEVERE ] updating countdown to 57893
[17:00:46.661] [SEVERE ] updating countdown to 57870
[17:00:46.687] [SEVERE ] updating countdown to 57844
[17:00:46.713] [SEVERE ] updating countdown to 57818
[17:00:46.734] [SEVERE ] updating countdown to 57797
[17:00:46.759] [SEVERE ] updating countdown to 57772
[17:00:46.780] [SEVERE ] updating countdown to 57751
[17:00:46.804] [SEVERE ] updating countdown to 57727
[17:00:46.827] [SEVERE ] updating countdown to 57704
[17:00:46.850] [SEVERE ] updating countdown to 57681
[17:00:46.876] [SEVERE ] updating countdown to 57655
[17:00:46.897] [SEVERE ] updating countdown to 57634
[17:00:46.918] [SEVERE ] updating countdown to 57613
[17:00:46.939] [SEVERE ] updating countdown to 57592
[17:00:46.965] [SEVERE ] updating countdown to 57566
[17:00:46.990] [SEVERE ] updating countdown to 57541
[17:00:47.011] [SEVERE ] updating countdown to 57520
[17:00:47.034] [SEVERE ] updating countdown to 57497
[17:00:47.055] [SEVERE ] updating countdown to 57476
[17:00:47.077] [SEVERE ] updating countdown to 57454
[17:00:47.100] [SEVERE ] updating countdown to 57431
[17:00:47.121] [SEVERE ] updating countdown to 57410
[17:00:47.142] [SEVERE ] updating countdown to 57389
[17:00:47.163] [SEVERE ] updating countdown to 57368
[17:00:47.186] [SEVERE ] updating countdown to 57345
[17:00:47.207] [SEVERE ] updating countdown to 57324
[17:00:47.231] [SEVERE ] updating countdown to 57300
[17:00:47.256] [SEVERE ] updating countdown to 57275
[17:00:47.282] [SEVERE ] updating countdown to 57249
[17:00:47.308] [SEVERE ] updating countdown to 57223
[17:00:47.329] [SEVERE ] updating countdown to 57202
[17:00:47.352] [SEVERE ] updating countdown to 57179
[17:00:47.375] [SEVERE ] updating countdown to 57156
[17:00:47.396] [SEVERE ] updating countdown to 57135
[17:00:47.418] [SEVERE ] updating countdown to 57113
[17:00:47.445] [SEVERE ] updating countdown to 57086
[17:00:47.466] [SEVERE ] updating countdown to 57065
[17:00:47.488] [SEVERE ] updating countdown to 57043
[17:00:47.512] [SEVERE ] updating countdown to 57019
[17:00:47.537] [SEVERE ] updating countdown to 56994
[17:00:47.559] [SEVERE ] updating countdown to 56972
[17:00:47.583] [SEVERE ] updating countdown to 56948
[17:00:47.606] [SEVERE ] updating countdown to 56925
[17:00:47.630] [SEVERE ] updating countdown to 56901
[17:00:47.653] [SEVERE ] updating countdown to 56878
[17:00:47.676] [SEVERE ] updating countdown to 56855
[17:00:47.698] [SEVERE ] updating countdown to 56834
[17:00:47.719] [SEVERE ] updating countdown to 56812
[17:00:47.742] [SEVERE ] updating countdown to 56789
[17:00:47.765] [SEVERE ] updating countdown to 56766
[17:00:47.787] [SEVERE ] updating countdown to 56744
[17:00:47.808] [SEVERE ] updating countdown to 56723
[17:00:47.829] [SEVERE ] updating countdown to 56702
[17:00:47.850] [SEVERE ] updating countdown to 56681
[17:00:47.871] [SEVERE ] updating countdown to 56660
[17:00:47.894] [SEVERE ] updating countdown to 56637
[17:00:47.916] [SEVERE ] updating countdown to 56615
[17:00:47.938] [SEVERE ] updating countdown to 56593
[17:00:47.960] [SEVERE ] updating countdown to 56571
[17:00:47.985] [SEVERE ] updating countdown to 56546
[17:00:48.013] [SEVERE ] updating countdown to 56518
[17:00:48.035] [SEVERE ] updating countdown to 56496
[17:00:48.061] [SEVERE ] updating countdown to 56470
[17:00:48.087] [SEVERE ] updating countdown to 56444
[17:00:48.113] [SEVERE ] updating countdown to 56418
[17:00:48.134] [SEVERE ] updating countdown to 56397
[17:00:48.159] [SEVERE ] updating countdown to 56372
[17:00:48.180] [SEVERE ] updating countdown to 56351
[17:00:48.206] [SEVERE ] updating countdown to 56325
[17:00:48.232] [SEVERE ] updating countdown to 56299
[17:00:48.257] [SEVERE ] updating countdown to 56274
[17:00:48.283] [SEVERE ] updating countdown to 56248
[17:00:48.305] [SEVERE ] updating countdown to 56226
[17:00:48.328] [SEVERE ] updating countdown to 56204
[17:00:48.351] [SEVERE ] updating countdown to 56180
[17:00:48.378] [SEVERE ] updating countdown to 56153
[17:00:48.401] [SEVERE ] updating countdown to 56130
[17:00:48.427] [SEVERE ] updating countdown to 56104
[17:00:48.449] [SEVERE ] updating countdown to 56082
[17:00:48.470] [SEVERE ] updating countdown to 56061
[17:00:48.496] [SEVERE ] updating countdown to 56035
[17:00:48.522] [SEVERE ] updating countdown to 56009
[17:00:48.548] [SEVERE ] updating countdown to 55983
[17:00:48.569] [SEVERE ] updating countdown to 55962
[17:00:48.595] [SEVERE ] updating countdown to 55936
[17:00:48.619] [SEVERE ] updating countdown to 55912
