[17:07:20.670] [INFO   ] thread main starting.
[17:07:20.676] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:07:20.677] [SEVERE ] configuration file was loaded from resources directory.
[17:07:21.034] [INFO   ] thread dealer starting.
[17:07:21.035] [INFO   ] thread playerID: 0 starting.
[17:07:21.035] [INFO   ] thread dealer starting.
[17:07:21.035] [INFO   ] thread playerID: 1 starting.
[17:07:21.038] [SEVERE ] updating countdown to 60000
[17:07:21.148] [SEVERE ] placing card 2 in slot 3
[17:07:21.249] [SEVERE ] placing card 13 in slot 0
[17:07:21.350] [SEVERE ] placing card 65 in slot 10
[17:07:21.454] [SEVERE ] placing card 33 in slot 9
[17:07:21.556] [SEVERE ] placing card 71 in slot 8
[17:07:21.660] [SEVERE ] placing card 21 in slot 11
[17:07:21.764] [SEVERE ] placing card 17 in slot 7
[17:07:21.865] [SEVERE ] placing card 1 in slot 6
[17:07:21.966] [SEVERE ] placing card 59 in slot 4
[17:07:22.070] [SEVERE ] placing card 66 in slot 5
[17:07:22.172] [SEVERE ] placing card 24 in slot 1
[17:07:22.275] [SEVERE ] placing card 32 in slot 2
[17:07:22.298] [SEVERE ] updating countdown to 58740
[17:07:22.320] [SEVERE ] updating countdown to 58719
[17:07:22.341] [SEVERE ] updating countdown to 58697
[17:07:22.364] [SEVERE ] updating countdown to 58674
[17:07:22.387] [SEVERE ] updating countdown to 58651
[17:07:22.412] [SEVERE ] updating countdown to 58626
[17:07:22.437] [SEVERE ] updating countdown to 58601
[17:07:22.459] [SEVERE ] updating countdown to 58579
[17:07:22.482] [SEVERE ] updating countdown to 58556
[17:07:22.504] [SEVERE ] updating countdown to 58534
[17:07:22.525] [SEVERE ] updating countdown to 58513
[17:07:22.549] [SEVERE ] updating countdown to 58489
[17:07:22.570] [SEVERE ] updating countdown to 58468
[17:07:22.595] [SEVERE ] updating countdown to 58443
[17:07:22.616] [SEVERE ] updating countdown to 58422
[17:07:22.638] [SEVERE ] updating countdown to 58400
[17:07:22.659] [SEVERE ] updating countdown to 58379
[17:07:22.681] [SEVERE ] updating countdown to 58357
[17:07:22.702] [SEVERE ] updating countdown to 58336
[17:07:22.724] [SEVERE ] updating countdown to 58314
[17:07:22.749] [SEVERE ] updating countdown to 58290
[17:07:22.772] [SEVERE ] updating countdown to 58266
[17:07:22.796] [SEVERE ] updating countdown to 58242
[17:07:22.819] [SEVERE ] updating countdown to 58219
[17:07:22.844] [SEVERE ] updating countdown to 58194
[17:07:22.871] [SEVERE ] updating countdown to 58167
[17:07:22.892] [SEVERE ] updating countdown to 58146
[17:07:22.915] [SEVERE ] updating countdown to 58123
[17:07:22.938] [SEVERE ] updating countdown to 58100
[17:07:22.960] [SEVERE ] updating countdown to 58078
[17:07:22.981] [SEVERE ] updating countdown to 58057
[17:07:23.008] [SEVERE ] updating countdown to 58030
[17:07:23.032] [SEVERE ] updating countdown to 58006
[17:07:23.055] [SEVERE ] updating countdown to 57983
[17:07:23.076] [SEVERE ] updating countdown to 57962
[17:07:23.100] [SEVERE ] updating countdown to 57939
[17:07:23.122] [SEVERE ] updating countdown to 57916
[17:07:23.145] [SEVERE ] updating countdown to 57893
