[18:36:40.527] [INFO   ] thread main starting.
[18:36:40.534] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:36:40.535] [SEVERE ] configuration file was loaded from resources directory.
[18:36:45.779] [INFO   ] thread dealer starting.
[18:36:45.780] [INFO   ] thread playerID: 0 starting.
[18:36:45.780] [INFO   ] thread dealer starting.
[18:36:45.780] [INFO   ] thread playerID: 1 starting.
[18:36:45.785] [SEVERE ] updating countdown to 60000
[18:36:45.888] [SEVERE ] placing card 78 in slot 9
[18:36:45.995] [SEVERE ] placing card 32 in slot 4
[18:36:46.101] [SEVERE ] placing card 64 in slot 7
[18:36:46.202] [SEVERE ] placing card 55 in slot 11
[18:36:46.304] [SEVERE ] placing card 19 in slot 2
[18:36:46.407] [SEVERE ] placing card 73 in slot 3
[18:36:46.512] [SEVERE ] placing card 0 in slot 5
[18:36:46.614] [SEVERE ] placing card 48 in slot 6
[18:36:46.718] [SEVERE ] placing card 29 in slot 8
[18:36:46.820] [SEVERE ] placing card 45 in slot 1
[18:36:46.924] [SEVERE ] placing card 46 in slot 10
[18:36:47.030] [SEVERE ] placing card 69 in slot 0
[18:36:47.051] [SEVERE ] updating countdown to 58734
[18:36:47.072] [SEVERE ] updating countdown to 58713
[18:36:47.093] [SEVERE ] updating countdown to 58692
[18:36:47.118] [SEVERE ] updating countdown to 58667
[18:36:47.143] [SEVERE ] updating countdown to 58642
[18:36:47.166] [SEVERE ] updating countdown to 58619
[18:36:47.190] [SEVERE ] updating countdown to 58595
[18:36:47.212] [SEVERE ] updating countdown to 58573
[18:36:47.238] [SEVERE ] updating countdown to 58547
[18:36:47.260] [SEVERE ] updating countdown to 58525
[18:36:47.286] [SEVERE ] updating countdown to 58499
[18:36:47.312] [SEVERE ] updating countdown to 58473
[18:36:47.338] [SEVERE ] updating countdown to 58447
[18:36:47.364] [SEVERE ] updating countdown to 58421
[18:36:47.386] [SEVERE ] updating countdown to 58399
[18:36:47.413] [SEVERE ] updating countdown to 58372
[18:36:47.436] [SEVERE ] updating countdown to 58349
[18:36:47.462] [SEVERE ] updating countdown to 58323
[18:36:47.483] [SEVERE ] updating countdown to 58302
[18:36:47.510] [SEVERE ] updating countdown to 58275
[18:36:47.537] [SEVERE ] updating countdown to 58248
[18:36:47.563] [SEVERE ] updating countdown to 58222
[18:36:47.589] [SEVERE ] updating countdown to 58196
[18:36:47.615] [SEVERE ] updating countdown to 58170
[18:36:47.638] [SEVERE ] updating countdown to 58147
[18:36:47.664] [SEVERE ] updating countdown to 58121
[18:36:47.685] [SEVERE ] updating countdown to 58100
[18:36:47.710] [SEVERE ] updating countdown to 58075
[18:36:47.731] [SEVERE ] updating countdown to 58054
[18:36:47.753] [SEVERE ] updating countdown to 58032
[18:36:47.778] [SEVERE ] updating countdown to 58007
[18:36:47.802] [SEVERE ] updating countdown to 57983
[18:36:47.823] [SEVERE ] updating countdown to 57962
[18:36:47.844] [SEVERE ] updating countdown to 57941
[18:36:47.870] [SEVERE ] updating countdown to 57915
[18:36:47.892] [SEVERE ] updating countdown to 57893
[18:36:47.914] [SEVERE ] updating countdown to 57871
[18:36:47.935] [SEVERE ] updating countdown to 57850
[18:36:47.957] [SEVERE ] updating countdown to 57828
[18:36:47.978] [SEVERE ] updating countdown to 57807
[18:36:47.999] [SEVERE ] updating countdown to 57786
[18:36:48.021] [SEVERE ] updating countdown to 57764
[18:36:48.042] [SEVERE ] updating countdown to 57743
[18:36:48.063] [SEVERE ] updating countdown to 57722
[18:36:48.085] [SEVERE ] updating countdown to 57700
[18:36:48.106] [SEVERE ] updating countdown to 57679
[18:36:48.128] [SEVERE ] updating countdown to 57657
[18:36:48.149] [SEVERE ] updating countdown to 57636
[18:36:48.171] [SEVERE ] updating countdown to 57614
[18:36:48.193] [SEVERE ] updating countdown to 57592
[18:36:48.214] [SEVERE ] updating countdown to 57571
[18:36:48.238] [SEVERE ] updating countdown to 57547
[18:36:48.259] [SEVERE ] updating countdown to 57526
[18:36:48.280] [SEVERE ] updating countdown to 57505
[18:36:48.303] [SEVERE ] updating countdown to 57482
[18:36:48.324] [SEVERE ] updating countdown to 57461
[18:36:48.346] [SEVERE ] updating countdown to 57439
[18:36:48.367] [SEVERE ] updating countdown to 57418
[18:36:48.389] [SEVERE ] updating countdown to 57397
[18:36:48.409] [SEVERE ] updating countdown to 57376
[18:36:48.431] [SEVERE ] updating countdown to 57354
[18:36:48.452] [SEVERE ] updating countdown to 57333
[18:36:48.474] [SEVERE ] updating countdown to 57311
[18:36:48.497] [SEVERE ] updating countdown to 57288
[18:36:48.519] [SEVERE ] updating countdown to 57266
[18:36:48.543] [SEVERE ] updating countdown to 57242
[18:36:48.564] [SEVERE ] updating countdown to 57221
[18:36:48.586] [SEVERE ] updating countdown to 57199
[18:36:48.608] [SEVERE ] updating countdown to 57177
[18:36:48.629] [SEVERE ] updating countdown to 57156
[18:36:48.651] [SEVERE ] updating countdown to 57134
[18:36:48.673] [SEVERE ] updating countdown to 57112
[18:36:48.695] [SEVERE ] updating countdown to 57090
[18:36:48.716] [SEVERE ] updating countdown to 57069
[18:36:48.737] [SEVERE ] updating countdown to 57048
[18:36:48.759] [SEVERE ] updating countdown to 57026
[18:36:48.780] [SEVERE ] updating countdown to 57005
[18:36:48.801] [SEVERE ] updating countdown to 56984
[18:36:48.822] [SEVERE ] updating countdown to 56963
[18:36:48.843] [SEVERE ] updating countdown to 56942
[18:36:48.866] [SEVERE ] updating countdown to 56919
[18:36:48.887] [SEVERE ] updating countdown to 56898
[18:36:48.908] [SEVERE ] updating countdown to 56877
[18:36:48.929] [SEVERE ] updating countdown to 56856
[18:36:48.950] [SEVERE ] updating countdown to 56835
[18:36:48.972] [SEVERE ] updating countdown to 56813
[18:36:48.993] [SEVERE ] updating countdown to 56792
[18:36:49.015] [SEVERE ] updating countdown to 56770
[18:36:49.037] [SEVERE ] updating countdown to 56748
[18:36:49.059] [SEVERE ] updating countdown to 56726
[18:36:49.080] [SEVERE ] updating countdown to 56705
[18:36:49.101] [SEVERE ] updating countdown to 56684
[18:36:49.123] [SEVERE ] updating countdown to 56662
[18:36:49.145] [SEVERE ] updating countdown to 56640
[18:36:49.168] [SEVERE ] updating countdown to 56617
[18:36:49.189] [SEVERE ] updating countdown to 56596
[18:36:49.210] [SEVERE ] updating countdown to 56575
[18:36:49.232] [SEVERE ] updating countdown to 56553
[18:36:49.255] [SEVERE ] updating countdown to 56530
[18:36:49.277] [SEVERE ] updating countdown to 56508
[18:36:49.298] [SEVERE ] updating countdown to 56487
[18:36:49.319] [SEVERE ] updating countdown to 56466
[18:36:49.340] [SEVERE ] updating countdown to 56445
[18:36:49.361] [SEVERE ] updating countdown to 56424
[18:36:49.382] [SEVERE ] updating countdown to 56403
[18:36:49.403] [SEVERE ] updating countdown to 56382
[18:36:49.424] [SEVERE ] updating countdown to 56361
[18:36:49.445] [SEVERE ] updating countdown to 56340
[18:36:49.467] [SEVERE ] updating countdown to 56318
[18:36:49.488] [SEVERE ] updating countdown to 56297
[18:36:49.509] [SEVERE ] updating countdown to 56276
[18:36:49.531] [SEVERE ] updating countdown to 56254
[18:36:49.552] [SEVERE ] updating countdown to 56233
[18:36:49.574] [SEVERE ] updating countdown to 56211
[18:36:49.595] [SEVERE ] updating countdown to 56190
[18:36:49.618] [SEVERE ] updating countdown to 56167
[18:36:49.640] [SEVERE ] updating countdown to 56146
[18:36:49.661] [SEVERE ] updating countdown to 56124
[18:36:49.682] [SEVERE ] updating countdown to 56103
[18:36:49.703] [SEVERE ] updating countdown to 56082
[18:36:49.724] [SEVERE ] updating countdown to 56061
[18:36:49.745] [SEVERE ] updating countdown to 56040
[18:36:49.767] [SEVERE ] updating countdown to 56018
[18:36:49.789] [SEVERE ] updating countdown to 55996
[18:36:49.812] [SEVERE ] updating countdown to 55973
[18:36:49.835] [SEVERE ] updating countdown to 55950
[18:36:49.857] [SEVERE ] updating countdown to 55928
[18:36:49.878] [SEVERE ] updating countdown to 55907
[18:36:49.900] [SEVERE ] updating countdown to 55885
[18:36:49.920] [SEVERE ] updating countdown to 55865
[18:36:49.942] [SEVERE ] updating countdown to 55843
[18:36:49.964] [SEVERE ] updating countdown to 55821
[18:36:49.985] [SEVERE ] updating countdown to 55800
[18:36:50.006] [SEVERE ] updating countdown to 55779
[18:36:50.029] [SEVERE ] updating countdown to 55756
[18:36:50.050] [SEVERE ] updating countdown to 55735
[18:36:50.072] [SEVERE ] updating countdown to 55713
[18:36:50.093] [SEVERE ] updating countdown to 55692
[18:36:50.114] [SEVERE ] updating countdown to 55671
[18:36:50.136] [SEVERE ] updating countdown to 55649
[18:36:50.158] [SEVERE ] updating countdown to 55627
[18:36:50.179] [SEVERE ] updating countdown to 55606
[18:36:50.200] [SEVERE ] updating countdown to 55585
[18:36:50.221] [SEVERE ] updating countdown to 55564
[18:36:50.242] [SEVERE ] updating countdown to 55543
[18:36:50.264] [SEVERE ] updating countdown to 55521
[18:36:50.285] [SEVERE ] updating countdown to 55500
[18:36:50.306] [SEVERE ] updating countdown to 55479
[18:36:50.331] [SEVERE ] updating countdown to 55454
[18:36:50.352] [SEVERE ] updating countdown to 55433
[18:36:50.374] [SEVERE ] updating countdown to 55411
[18:36:50.395] [SEVERE ] updating countdown to 55390
[18:36:50.417] [SEVERE ] updating countdown to 55368
[18:36:50.438] [SEVERE ] updating countdown to 55347
[18:36:50.460] [SEVERE ] updating countdown to 55325
[18:36:50.482] [SEVERE ] updating countdown to 55303
[18:36:50.503] [SEVERE ] updating countdown to 55282
[18:36:50.524] [SEVERE ] updating countdown to 55261
[18:36:50.545] [SEVERE ] updating countdown to 55240
[18:36:50.567] [SEVERE ] updating countdown to 55218
[18:36:50.588] [SEVERE ] updating countdown to 55197
[18:36:50.609] [SEVERE ] updating countdown to 55176
[18:36:50.630] [SEVERE ] updating countdown to 55155
[18:36:50.652] [SEVERE ] updating countdown to 55133
[18:36:50.673] [SEVERE ] updating countdown to 55112
[18:36:50.699] [SEVERE ] updating countdown to 55086
[18:36:50.721] [SEVERE ] updating countdown to 55064
