[10:58:10.804] [INFO   ] thread main starting.
[10:58:10.809] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:58:10.810] [SEVERE ] configuration file was loaded from resources directory.
[10:58:11.147] [INFO   ] thread dealer starting.
[10:58:11.148] [INFO   ] thread playerID: 0 starting.
[10:58:11.148] [INFO   ] thread dealer starting.
[10:58:11.148] [INFO   ] thread playerID: 1 starting.
[10:58:11.151] [SEVERE ] updating countdown to 60000
[10:58:11.253] [SEVERE ] placing card 28 in slot 0
[10:58:11.357] [SEVERE ] placing card 31 in slot 4
[10:58:11.458] [SEVERE ] placing card 65 in slot 10
[10:58:11.562] [SEVERE ] placing card 10 in slot 8
[10:58:11.663] [SEVERE ] placing card 29 in slot 5
[10:58:11.765] [SEVERE ] placing card 53 in slot 3
[10:58:11.872] [SEVERE ] placing card 59 in slot 6
[10:58:11.973] [SEVERE ] placing card 62 in slot 11
[10:58:12.075] [SEVERE ] placing card 12 in slot 7
[10:58:12.177] [SEVERE ] placing card 37 in slot 2
[10:58:12.280] [SEVERE ] placing card 47 in slot 1
[10:58:12.381] [SEVERE ] placing card 18 in slot 9
[10:58:12.402] [SEVERE ] updating countdown to 58749
[10:58:12.427] [SEVERE ] updating countdown to 58724
[10:58:12.449] [SEVERE ] updating countdown to 58702
[10:58:12.470] [SEVERE ] updating countdown to 58681
[10:58:12.494] [SEVERE ] updating countdown to 58657
[10:58:12.516] [SEVERE ] updating countdown to 58635
[10:58:12.540] [SEVERE ] updating countdown to 58611
[10:58:12.562] [SEVERE ] updating countdown to 58589
[10:58:12.585] [SEVERE ] updating countdown to 58566
[10:58:12.606] [SEVERE ] updating countdown to 58545
[10:58:12.630] [SEVERE ] updating countdown to 58521
[10:58:12.652] [SEVERE ] updating countdown to 58499
[10:58:12.675] [SEVERE ] updating countdown to 58476
[10:58:12.699] [SEVERE ] updating countdown to 58452
[10:58:12.723] [SEVERE ] updating countdown to 58428
[10:58:12.749] [SEVERE ] updating countdown to 58402
[10:58:12.770] [SEVERE ] updating countdown to 58381
[10:58:12.792] [SEVERE ] updating countdown to 58359
[10:58:12.813] [SEVERE ] updating countdown to 58338
[10:58:12.835] [SEVERE ] updating countdown to 58316
[10:58:12.856] [SEVERE ] updating countdown to 58295
[10:58:12.879] [SEVERE ] updating countdown to 58272
[10:58:12.901] [SEVERE ] updating countdown to 58250
[10:58:12.928] [SEVERE ] updating countdown to 58223
[10:58:12.949] [SEVERE ] updating countdown to 58202
[10:58:12.973] [SEVERE ] updating countdown to 58178
[10:58:12.994] [SEVERE ] updating countdown to 58157
[10:58:13.018] [SEVERE ] updating countdown to 58133
[10:58:13.044] [SEVERE ] updating countdown to 58107
[10:58:13.069] [SEVERE ] updating countdown to 58082
[10:58:13.091] [SEVERE ] updating countdown to 58060
[10:58:13.115] [SEVERE ] updating countdown to 58036
[10:58:13.144] [SEVERE ] updating countdown to 58007
[10:58:13.167] [SEVERE ] updating countdown to 57984
[10:58:13.191] [SEVERE ] updating countdown to 57960
[10:58:13.214] [SEVERE ] updating countdown to 57937
[10:58:13.237] [SEVERE ] updating countdown to 57914
[10:58:13.259] [SEVERE ] updating countdown to 57892
[10:58:13.283] [SEVERE ] updating countdown to 57869
[10:58:13.304] [SEVERE ] updating countdown to 57847
[10:58:13.326] [SEVERE ] updating countdown to 57825
[10:58:13.347] [SEVERE ] updating countdown to 57804
[10:58:13.371] [SEVERE ] updating countdown to 57780
[10:58:13.393] [SEVERE ] updating countdown to 57758
[10:58:13.416] [SEVERE ] updating countdown to 57735
[10:58:13.439] [SEVERE ] updating countdown to 57712
[10:58:13.460] [SEVERE ] updating countdown to 57691
[10:58:13.483] [SEVERE ] updating countdown to 57668
[10:58:13.504] [SEVERE ] updating countdown to 57647
[10:58:13.526] [SEVERE ] updating countdown to 57625
[10:58:13.548] [SEVERE ] updating countdown to 57603
[10:58:13.569] [SEVERE ] updating countdown to 57582
[10:58:13.590] [SEVERE ] updating countdown to 57561
[10:58:13.611] [SEVERE ] updating countdown to 57540
[10:58:13.634] [SEVERE ] updating countdown to 57517
[10:58:13.655] [SEVERE ] updating countdown to 57496
[10:58:13.677] [SEVERE ] updating countdown to 57474
[10:58:13.699] [SEVERE ] updating countdown to 57452
[10:58:13.720] [SEVERE ] updating countdown to 57431
[10:58:13.742] [SEVERE ] updating countdown to 57409
[10:58:13.764] [SEVERE ] updating countdown to 57387
[10:58:13.787] [SEVERE ] updating countdown to 57364
[10:58:13.812] [SEVERE ] updating countdown to 57339
[10:58:13.839] [SEVERE ] updating countdown to 57312
