[11:31:05.924] [INFO   ] thread main starting.
[11:31:05.928] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:31:05.930] [SEVERE ] configuration file was loaded from resources directory.
[11:31:06.231] [INFO   ] thread dealer starting.
[11:31:06.232] [INFO   ] thread playerID: 0 starting.
[11:31:06.233] [INFO   ] thread dealer starting.
[11:31:06.232] [INFO   ] thread playerID: 1 starting.
[11:31:06.236] [SEVERE ] updating countdown to 60000
[11:31:06.338] [SEVERE ] placing card 23 in slot 0
[11:31:06.439] [SEVERE ] placing card 0 in slot 6
[11:31:06.540] [SEVERE ] placing card 65 in slot 3
[11:31:06.642] [SEVERE ] placing card 68 in slot 4
[11:31:06.743] [SEVERE ] placing card 56 in slot 5
[11:31:06.845] [SEVERE ] placing card 24 in slot 9
[11:31:06.951] [SEVERE ] placing card 67 in slot 11
[11:31:07.059] [SEVERE ] placing card 58 in slot 7
[11:31:07.160] [SEVERE ] placing card 73 in slot 2
[11:31:07.261] [SEVERE ] placing card 18 in slot 8
[11:31:07.365] [SEVERE ] placing card 78 in slot 10
[11:31:07.471] [SEVERE ] placing card 72 in slot 1
[11:31:07.497] [SEVERE ] updating countdown to 58738
[11:31:07.524] [SEVERE ] updating countdown to 58711
[11:31:07.551] [SEVERE ] updating countdown to 58684
[11:31:07.579] [SEVERE ] updating countdown to 58656
[11:31:07.605] [SEVERE ] updating countdown to 58630
[11:31:07.628] [SEVERE ] updating countdown to 58607
[11:31:07.651] [SEVERE ] updating countdown to 58584
[11:31:07.676] [SEVERE ] updating countdown to 58559
[11:31:07.700] [SEVERE ] updating countdown to 58535
[11:31:07.722] [SEVERE ] updating countdown to 58513
[11:31:07.744] [SEVERE ] updating countdown to 58491
[11:31:07.769] [SEVERE ] updating countdown to 58466
[11:31:07.794] [SEVERE ] updating countdown to 58441
[11:31:07.815] [SEVERE ] updating countdown to 58420
[11:31:07.841] [SEVERE ] updating countdown to 58394
[11:31:07.862] [SEVERE ] updating countdown to 58373
[11:31:07.884] [SEVERE ] updating countdown to 58351
[11:31:07.909] [SEVERE ] updating countdown to 58326
[11:31:07.930] [SEVERE ] updating countdown to 58305
[11:31:07.953] [SEVERE ] updating countdown to 58282
[11:31:07.974] [SEVERE ] updating countdown to 58261
[11:31:08.000] [SEVERE ] updating countdown to 58235
[11:31:08.025] [SEVERE ] updating countdown to 58210
[11:31:08.047] [SEVERE ] updating countdown to 58188
[11:31:08.069] [SEVERE ] updating countdown to 58166
[11:31:08.092] [SEVERE ] updating countdown to 58143
[11:31:08.116] [SEVERE ] updating countdown to 58119
[11:31:08.137] [SEVERE ] updating countdown to 58098
[11:31:08.158] [SEVERE ] updating countdown to 58077
[11:31:08.179] [SEVERE ] updating countdown to 58056
[11:31:08.201] [SEVERE ] updating countdown to 58034
[11:31:08.226] [SEVERE ] updating countdown to 58009
[11:31:08.252] [SEVERE ] updating countdown to 57983
[11:31:08.275] [SEVERE ] updating countdown to 57961
[11:31:08.296] [SEVERE ] updating countdown to 57939
[11:31:08.320] [SEVERE ] updating countdown to 57915
[11:31:08.345] [SEVERE ] updating countdown to 57890
[11:31:08.367] [SEVERE ] updating countdown to 57868
[11:31:08.388] [SEVERE ] updating countdown to 57847
[11:31:08.412] [SEVERE ] updating countdown to 57823
[11:31:08.438] [SEVERE ] updating countdown to 57797
[11:31:08.459] [SEVERE ] updating countdown to 57776
[11:31:08.483] [SEVERE ] updating countdown to 57752
[11:31:08.505] [SEVERE ] updating countdown to 57730
[11:31:08.527] [SEVERE ] updating countdown to 57708
[11:31:08.548] [SEVERE ] updating countdown to 57687
[11:31:08.570] [SEVERE ] updating countdown to 57665
[11:31:08.592] [SEVERE ] updating countdown to 57643
[11:31:08.613] [SEVERE ] updating countdown to 57622
[11:31:08.635] [SEVERE ] updating countdown to 57600
[11:31:08.657] [SEVERE ] updating countdown to 57578
[11:31:08.679] [SEVERE ] updating countdown to 57556
[11:31:08.704] [SEVERE ] updating countdown to 57531
[11:31:08.725] [SEVERE ] updating countdown to 57510
[11:31:08.748] [SEVERE ] updating countdown to 57487
[11:31:08.771] [SEVERE ] updating countdown to 57464
[11:31:08.798] [SEVERE ] updating countdown to 57437
[11:31:08.820] [SEVERE ] updating countdown to 57415
[11:31:08.846] [SEVERE ] updating countdown to 57389
[11:31:08.872] [SEVERE ] updating countdown to 57363
[11:31:08.897] [SEVERE ] updating countdown to 57338
[11:31:08.918] [SEVERE ] updating countdown to 57317
[11:31:08.940] [SEVERE ] updating countdown to 57295
[11:31:08.962] [SEVERE ] updating countdown to 57273
[11:31:08.988] [SEVERE ] updating countdown to 57247
[11:31:09.009] [SEVERE ] updating countdown to 57226
[11:31:09.036] [SEVERE ] updating countdown to 57199
[11:31:09.058] [SEVERE ] updating countdown to 57177
[11:31:09.084] [SEVERE ] updating countdown to 57151
[11:31:09.108] [SEVERE ] updating countdown to 57127
[11:31:09.133] [SEVERE ] updating countdown to 57102
[11:31:09.156] [SEVERE ] updating countdown to 57079
[11:31:09.182] [SEVERE ] updating countdown to 57053
[11:31:09.204] [SEVERE ] updating countdown to 57031
[11:31:09.225] [SEVERE ] updating countdown to 57010
[11:31:09.246] [SEVERE ] updating countdown to 56989
[11:31:09.267] [SEVERE ] updating countdown to 56968
[11:31:09.287] [SEVERE ] updating countdown to 56948
[11:31:09.309] [SEVERE ] updating countdown to 56926
[11:31:09.329] [SEVERE ] updating countdown to 56906
[11:31:09.350] [SEVERE ] updating countdown to 56885
[11:31:09.372] [SEVERE ] updating countdown to 56863
[11:31:09.393] [SEVERE ] updating countdown to 56842
[11:31:09.415] [SEVERE ] updating countdown to 56820
[11:31:09.438] [SEVERE ] updating countdown to 56797
[11:31:09.464] [SEVERE ] updating countdown to 56771
[11:31:09.487] [SEVERE ] updating countdown to 56748
[11:31:09.509] [SEVERE ] updating countdown to 56726
[11:31:09.530] [SEVERE ] updating countdown to 56705
[11:31:09.550] [SEVERE ] updating countdown to 56685
[11:31:09.578] [SEVERE ] updating countdown to 56657
[11:31:09.602] [SEVERE ] updating countdown to 56633
[11:31:09.624] [SEVERE ] updating countdown to 56611
[11:31:09.646] [SEVERE ] updating countdown to 56590
[11:31:09.667] [SEVERE ] updating countdown to 56568
[11:31:09.691] [SEVERE ] updating countdown to 56544
[11:31:09.716] [SEVERE ] updating countdown to 56519
[11:31:09.742] [SEVERE ] updating countdown to 56493
[11:31:09.768] [SEVERE ] updating countdown to 56467
[11:31:09.791] [SEVERE ] updating countdown to 56444
[11:31:09.815] [SEVERE ] updating countdown to 56420
[11:31:09.837] [SEVERE ] updating countdown to 56398
[11:31:09.859] [SEVERE ] updating countdown to 56376
[11:31:09.882] [SEVERE ] updating countdown to 56353
[11:31:09.904] [SEVERE ] updating countdown to 56331
[11:31:09.930] [SEVERE ] updating countdown to 56305
[11:31:09.955] [SEVERE ] updating countdown to 56280
[11:31:09.979] [SEVERE ] updating countdown to 56256
[11:31:10.004] [SEVERE ] updating countdown to 56232
[11:31:10.026] [SEVERE ] updating countdown to 56209
[11:31:10.048] [SEVERE ] updating countdown to 56187
[11:31:10.070] [SEVERE ] updating countdown to 56165
[11:31:10.091] [SEVERE ] updating countdown to 56144
[11:31:10.112] [SEVERE ] updating countdown to 56123
[11:31:10.134] [SEVERE ] updating countdown to 56101
[11:31:10.155] [SEVERE ] updating countdown to 56080
[11:31:10.180] [SEVERE ] updating countdown to 56055
[11:31:10.204] [SEVERE ] updating countdown to 56031
[11:31:10.229] [SEVERE ] updating countdown to 56006
[11:31:10.252] [SEVERE ] updating countdown to 55983
[11:31:10.275] [SEVERE ] updating countdown to 55960
[11:31:10.297] [SEVERE ] updating countdown to 55938
[11:31:10.322] [SEVERE ] updating countdown to 55913
[11:31:10.344] [SEVERE ] updating countdown to 55891
[11:31:10.369] [SEVERE ] updating countdown to 55866
[11:31:10.394] [SEVERE ] updating countdown to 55841
[11:31:10.419] [SEVERE ] updating countdown to 55816
[11:31:10.441] [SEVERE ] updating countdown to 55794
[11:31:10.463] [SEVERE ] updating countdown to 55772
[11:31:10.488] [SEVERE ] updating countdown to 55747
[11:31:10.511] [SEVERE ] updating countdown to 55724
[11:31:10.537] [SEVERE ] updating countdown to 55698
[11:31:10.560] [SEVERE ] updating countdown to 55675
[11:31:10.586] [SEVERE ] updating countdown to 55649
[11:31:10.610] [SEVERE ] updating countdown to 55625
[11:31:10.634] [SEVERE ] updating countdown to 55601
[11:31:10.654] [SEVERE ] updating countdown to 55581
[11:31:10.680] [SEVERE ] updating countdown to 55555
[11:31:10.706] [SEVERE ] updating countdown to 55529
[11:31:10.732] [SEVERE ] updating countdown to 55503
[11:31:10.755] [SEVERE ] updating countdown to 55480
[11:31:10.776] [SEVERE ] updating countdown to 55459
[11:31:10.799] [SEVERE ] updating countdown to 55436
[11:31:10.823] [SEVERE ] updating countdown to 55412
[11:31:10.845] [SEVERE ] updating countdown to 55390
[11:31:10.870] [SEVERE ] updating countdown to 55365
[11:31:10.893] [SEVERE ] updating countdown to 55342
[11:31:10.919] [SEVERE ] updating countdown to 55316
[11:31:10.945] [SEVERE ] updating countdown to 55290
[11:31:10.971] [SEVERE ] updating countdown to 55264
[11:31:10.995] [SEVERE ] updating countdown to 55240
[11:31:11.021] [SEVERE ] updating countdown to 55214
[11:31:11.043] [SEVERE ] updating countdown to 55192
[11:31:11.064] [SEVERE ] updating countdown to 55171
[11:31:11.086] [SEVERE ] updating countdown to 55149
[11:31:11.110] [SEVERE ] updating countdown to 55125
[11:31:11.133] [SEVERE ] updating countdown to 55102
[11:31:11.157] [SEVERE ] updating countdown to 55078
[11:31:11.179] [SEVERE ] updating countdown to 55056
[11:31:11.199] [SEVERE ] updating countdown to 55036
[11:31:11.222] [SEVERE ] updating countdown to 55013
[11:31:11.244] [SEVERE ] updating countdown to 54991
[11:31:11.266] [SEVERE ] updating countdown to 54969
[11:31:11.290] [SEVERE ] updating countdown to 54945
[11:31:11.313] [SEVERE ] updating countdown to 54922
[11:31:11.337] [SEVERE ] updating countdown to 54898
[11:31:11.357] [SEVERE ] updating countdown to 54878
[11:31:11.379] [SEVERE ] updating countdown to 54856
[11:31:11.399] [SEVERE ] updating countdown to 54836
[11:31:11.422] [SEVERE ] updating countdown to 54813
[11:31:11.443] [SEVERE ] updating countdown to 54792
[11:31:11.465] [SEVERE ] updating countdown to 54770
