[16:15:14.349] [INFO   ] thread main starting.
[16:15:14.355] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:15:14.357] [SEVERE ] configuration file was loaded from resources directory.
[16:15:18.889] [INFO   ] thread dealer starting.
[16:15:18.890] [INFO   ] thread playerID: 0 starting.
[16:15:18.890] [INFO   ] thread dealer starting.
[16:15:18.890] [INFO   ] thread playerID: 1 starting.
[16:15:18.893] [SEVERE ] updating countdown to 60000
[16:15:18.996] [SEVERE ] placing card 62 in slot 6
[16:15:19.098] [SEVERE ] placing card 9 in slot 5
[16:15:19.199] [SEVERE ] placing card 16 in slot 2
[16:15:19.303] [SEVERE ] placing card 80 in slot 3
[16:15:19.407] [SEVERE ] placing card 45 in slot 10
[16:15:19.512] [SEVERE ] placing card 32 in slot 11
[16:15:19.618] [SEVERE ] placing card 13 in slot 4
[16:15:19.724] [SEVERE ] placing card 39 in slot 0
[16:15:19.830] [SEVERE ] placing card 24 in slot 9
[16:15:19.934] [SEVERE ] placing card 22 in slot 7
[16:15:20.039] [SEVERE ] placing card 18 in slot 1
[16:15:20.141] [SEVERE ] placing card 5 in slot 8
[16:15:20.163] [SEVERE ] updating countdown to 58730
[16:15:20.189] [SEVERE ] updating countdown to 58704
[16:15:20.212] [SEVERE ] updating countdown to 58681
[16:15:20.235] [SEVERE ] updating countdown to 58658
[16:15:20.262] [SEVERE ] updating countdown to 58631
[16:15:20.284] [SEVERE ] updating countdown to 58609
[16:15:20.306] [SEVERE ] updating countdown to 58587
[16:15:20.332] [SEVERE ] updating countdown to 58561
[16:15:20.355] [SEVERE ] updating countdown to 58538
[16:15:20.378] [SEVERE ] updating countdown to 58515
[16:15:20.403] [SEVERE ] updating countdown to 58490
[16:15:20.425] [SEVERE ] updating countdown to 58468
[16:15:20.450] [SEVERE ] updating countdown to 58443
[16:15:20.471] [SEVERE ] updating countdown to 58422
[16:15:20.493] [SEVERE ] updating countdown to 58400
[16:15:20.514] [SEVERE ] updating countdown to 58379
[16:15:20.537] [SEVERE ] updating countdown to 58356
[16:15:20.558] [SEVERE ] updating countdown to 58335
[16:15:20.579] [SEVERE ] updating countdown to 58314
[16:15:20.601] [SEVERE ] updating countdown to 58292
[16:15:20.623] [SEVERE ] updating countdown to 58270
[16:15:20.645] [SEVERE ] updating countdown to 58248
[16:15:20.667] [SEVERE ] updating countdown to 58226
[16:15:20.689] [SEVERE ] updating countdown to 58204
[16:15:20.711] [SEVERE ] updating countdown to 58182
[16:15:20.733] [SEVERE ] updating countdown to 58160
[16:15:20.754] [SEVERE ] updating countdown to 58139
[16:15:20.776] [SEVERE ] updating countdown to 58117
[16:15:20.799] [SEVERE ] updating countdown to 58094
[16:15:20.820] [SEVERE ] updating countdown to 58073
[16:15:20.844] [SEVERE ] updating countdown to 58049
[16:15:20.871] [SEVERE ] updating countdown to 58022
[16:15:20.897] [SEVERE ] updating countdown to 57996
[16:15:20.924] [SEVERE ] updating countdown to 57970
[16:15:20.946] [SEVERE ] updating countdown to 57947
[16:15:20.972] [SEVERE ] updating countdown to 57921
[16:15:20.993] [SEVERE ] updating countdown to 57900
[16:15:21.017] [SEVERE ] updating countdown to 57876
[16:15:21.039] [SEVERE ] updating countdown to 57854
[16:15:21.062] [SEVERE ] updating countdown to 57831
[16:15:21.085] [SEVERE ] updating countdown to 57808
[16:15:21.106] [SEVERE ] updating countdown to 57787
[16:15:21.129] [SEVERE ] updating countdown to 57764
[16:15:21.156] [SEVERE ] updating countdown to 57737
[16:15:21.177] [SEVERE ] updating countdown to 57716
[16:15:21.198] [SEVERE ] updating countdown to 57695
[16:15:21.222] [SEVERE ] updating countdown to 57671
[16:15:21.247] [SEVERE ] updating countdown to 57646
[16:15:21.268] [SEVERE ] updating countdown to 57625
[16:15:21.289] [SEVERE ] updating countdown to 57604
[16:15:21.311] [SEVERE ] updating countdown to 57582
[16:15:21.333] [SEVERE ] updating countdown to 57560
[16:15:21.355] [SEVERE ] updating countdown to 57538
[16:15:21.381] [SEVERE ] updating countdown to 57512
[16:15:21.405] [SEVERE ] updating countdown to 57488
[16:15:21.431] [SEVERE ] updating countdown to 57462
[16:15:21.455] [SEVERE ] updating countdown to 57438
[16:15:21.482] [SEVERE ] updating countdown to 57411
[16:15:21.508] [SEVERE ] updating countdown to 57385
[16:15:21.532] [SEVERE ] updating countdown to 57361
[16:15:21.556] [SEVERE ] updating countdown to 57337
[16:15:21.582] [SEVERE ] updating countdown to 57311
[16:15:21.606] [SEVERE ] updating countdown to 57287
[16:15:21.630] [SEVERE ] updating countdown to 57263
[16:15:21.653] [SEVERE ] updating countdown to 57240
[16:15:21.674] [SEVERE ] updating countdown to 57219
[16:15:21.698] [SEVERE ] updating countdown to 57195
[16:15:21.720] [SEVERE ] updating countdown to 57173
[16:15:21.743] [SEVERE ] updating countdown to 57150
[16:15:21.766] [SEVERE ] updating countdown to 57127
[16:15:21.790] [SEVERE ] updating countdown to 57103
[16:15:21.815] [SEVERE ] updating countdown to 57078
[16:15:21.836] [SEVERE ] updating countdown to 57057
[16:15:21.858] [SEVERE ] updating countdown to 57035
[16:15:21.880] [SEVERE ] updating countdown to 57013
[16:15:21.901] [SEVERE ] updating countdown to 56992
[16:15:21.924] [SEVERE ] updating countdown to 56969
[16:15:21.948] [SEVERE ] updating countdown to 56945
[16:15:21.972] [SEVERE ] updating countdown to 56921
[16:15:21.996] [SEVERE ] updating countdown to 56897
[16:15:22.022] [SEVERE ] updating countdown to 56871
[16:15:22.046] [SEVERE ] updating countdown to 56847
[16:15:22.069] [SEVERE ] updating countdown to 56824
[16:15:22.095] [SEVERE ] updating countdown to 56798
[16:15:22.121] [SEVERE ] updating countdown to 56772
[16:15:22.147] [SEVERE ] updating countdown to 56746
[16:15:22.170] [SEVERE ] updating countdown to 56723
[16:15:22.196] [SEVERE ] updating countdown to 56697
[16:15:22.217] [SEVERE ] updating countdown to 56676
[16:15:22.239] [SEVERE ] updating countdown to 56654
[16:15:22.262] [SEVERE ] updating countdown to 56631
[16:15:22.287] [SEVERE ] updating countdown to 56606
[16:15:22.311] [SEVERE ] updating countdown to 56582
[16:15:22.337] [SEVERE ] updating countdown to 56556
[16:15:22.363] [SEVERE ] updating countdown to 56530
[16:15:22.387] [SEVERE ] updating countdown to 56506
[16:15:22.412] [SEVERE ] updating countdown to 56481
[16:15:22.434] [SEVERE ] updating countdown to 56459
[16:15:22.460] [SEVERE ] updating countdown to 56433
[16:15:22.481] [SEVERE ] updating countdown to 56412
[16:15:22.502] [SEVERE ] updating countdown to 56391
[16:15:22.525] [SEVERE ] updating countdown to 56368
