[11:14:55.720] [INFO   ] thread main starting.
[11:14:55.724] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:14:55.725] [SEVERE ] configuration file was loaded from resources directory.
[11:14:56.058] [INFO   ] thread dealer starting.
[11:14:56.059] [INFO   ] thread dealer starting.
[11:14:56.059] [INFO   ] thread playerID: 0 starting.
[11:14:56.059] [INFO   ] thread playerID: 1 starting.
[11:14:56.062] [SEVERE ] updating countdown to 60000
[11:14:56.164] [SEVERE ] placing card 33 in slot 10
[11:14:56.271] [SEVERE ] placing card 1 in slot 0
[11:14:56.373] [SEVERE ] placing card 15 in slot 9
[11:14:56.474] [SEVERE ] placing card 28 in slot 5
[11:14:56.581] [SEVERE ] placing card 20 in slot 6
[11:14:56.687] [SEVERE ] placing card 65 in slot 3
[11:14:56.788] [SEVERE ] placing card 2 in slot 1
[11:14:56.889] [SEVERE ] placing card 0 in slot 8
[11:14:56.991] [SEVERE ] placing card 51 in slot 11
[11:14:57.093] [SEVERE ] placing card 74 in slot 4
[11:14:57.195] [SEVERE ] placing card 19 in slot 7
[11:14:57.302] [SEVERE ] placing card 55 in slot 2
[11:14:57.323] [SEVERE ] updating countdown to 58739
[11:14:57.349] [SEVERE ] updating countdown to 58713
[11:14:57.374] [SEVERE ] updating countdown to 58688
[11:14:57.396] [SEVERE ] updating countdown to 58666
[11:14:57.418] [SEVERE ] updating countdown to 58644
[11:14:57.443] [SEVERE ] updating countdown to 58619
[11:14:57.467] [SEVERE ] updating countdown to 58595
[11:14:57.489] [SEVERE ] updating countdown to 58573
[11:14:57.511] [SEVERE ] updating countdown to 58551
[11:14:57.533] [SEVERE ] updating countdown to 58529
[11:14:57.554] [SEVERE ] updating countdown to 58508
[11:14:57.576] [SEVERE ] updating countdown to 58486
[11:14:57.601] [SEVERE ] updating countdown to 58461
[11:14:57.625] [SEVERE ] updating countdown to 58437
[11:14:57.647] [SEVERE ] updating countdown to 58415
[11:14:57.671] [SEVERE ] updating countdown to 58391
[11:14:57.693] [SEVERE ] updating countdown to 58369
[11:14:57.717] [SEVERE ] updating countdown to 58345
[11:14:57.741] [SEVERE ] updating countdown to 58321
[11:14:57.762] [SEVERE ] updating countdown to 58300
[11:14:57.787] [SEVERE ] updating countdown to 58275
[11:14:57.810] [SEVERE ] updating countdown to 58253
[11:14:57.832] [SEVERE ] updating countdown to 58230
[11:14:57.855] [SEVERE ] updating countdown to 58207
[11:14:57.876] [SEVERE ] updating countdown to 58186
[11:14:57.897] [SEVERE ] updating countdown to 58165
[11:14:57.918] [SEVERE ] updating countdown to 58144
[11:14:57.940] [SEVERE ] updating countdown to 58122
[11:14:57.961] [SEVERE ] updating countdown to 58101
[11:14:57.982] [SEVERE ] updating countdown to 58080
[11:14:58.003] [SEVERE ] updating countdown to 58059
[11:14:58.025] [SEVERE ] updating countdown to 58037
[11:14:58.046] [SEVERE ] updating countdown to 58016
[11:14:58.067] [SEVERE ] updating countdown to 57995
[11:14:58.088] [SEVERE ] updating countdown to 57974
[11:14:58.109] [SEVERE ] updating countdown to 57953
[11:14:58.130] [SEVERE ] updating countdown to 57932
[11:14:58.151] [SEVERE ] updating countdown to 57911
[11:14:58.172] [SEVERE ] updating countdown to 57890
[11:14:58.195] [SEVERE ] updating countdown to 57867
[11:14:58.219] [SEVERE ] updating countdown to 57843
[11:14:58.246] [SEVERE ] updating countdown to 57816
[11:14:58.267] [SEVERE ] updating countdown to 57795
[11:14:58.288] [SEVERE ] updating countdown to 57774
[11:14:58.309] [SEVERE ] updating countdown to 57753
[11:14:58.332] [SEVERE ] updating countdown to 57730
[11:14:58.353] [SEVERE ] updating countdown to 57709
[11:14:58.375] [SEVERE ] updating countdown to 57687
[11:14:58.396] [SEVERE ] updating countdown to 57666
[11:14:58.417] [SEVERE ] updating countdown to 57645
[11:14:58.439] [SEVERE ] updating countdown to 57623
[11:14:58.460] [SEVERE ] updating countdown to 57602
[11:14:58.481] [SEVERE ] updating countdown to 57581
[11:14:58.502] [SEVERE ] updating countdown to 57560
[11:14:58.528] [SEVERE ] updating countdown to 57534
[11:14:58.550] [SEVERE ] updating countdown to 57512
[11:14:58.572] [SEVERE ] updating countdown to 57490
[11:14:58.598] [SEVERE ] updating countdown to 57464
[11:14:58.621] [SEVERE ] updating countdown to 57441
[11:14:58.642] [SEVERE ] updating countdown to 57420
[11:14:58.663] [SEVERE ] updating countdown to 57399
[11:14:58.684] [SEVERE ] updating countdown to 57378
[11:14:58.706] [SEVERE ] updating countdown to 57356
[11:14:58.726] [SEVERE ] updating countdown to 57336
[11:14:58.747] [SEVERE ] updating countdown to 57315
[11:14:58.770] [SEVERE ] updating countdown to 57292
[11:14:58.794] [SEVERE ] updating countdown to 57268
[11:14:58.817] [SEVERE ] updating countdown to 57245
[11:14:58.842] [SEVERE ] updating countdown to 57220
[11:14:58.865] [SEVERE ] updating countdown to 57197
[11:14:58.886] [SEVERE ] updating countdown to 57176
[11:14:58.908] [SEVERE ] updating countdown to 57154
[11:14:58.931] [SEVERE ] updating countdown to 57131
[11:14:58.952] [SEVERE ] updating countdown to 57110
[11:14:58.977] [SEVERE ] updating countdown to 57085
[11:14:58.998] [SEVERE ] updating countdown to 57064
[11:14:59.019] [SEVERE ] updating countdown to 57043
[11:14:59.040] [SEVERE ] updating countdown to 57022
[11:14:59.061] [SEVERE ] updating countdown to 57001
[11:14:59.082] [SEVERE ] updating countdown to 56980
[11:14:59.103] [SEVERE ] updating countdown to 56959
[11:14:59.124] [SEVERE ] updating countdown to 56938
[11:14:59.144] [SEVERE ] updating countdown to 56918
[11:14:59.167] [SEVERE ] updating countdown to 56895
[11:14:59.189] [SEVERE ] updating countdown to 56873
[11:14:59.215] [SEVERE ] updating countdown to 56847
[11:14:59.236] [SEVERE ] updating countdown to 56826
[11:14:59.262] [SEVERE ] updating countdown to 56800
[11:14:59.286] [SEVERE ] updating countdown to 56776
[11:14:59.311] [SEVERE ] updating countdown to 56751
[11:14:59.337] [SEVERE ] updating countdown to 56725
[11:14:59.362] [SEVERE ] updating countdown to 56700
[11:14:59.386] [SEVERE ] updating countdown to 56676
[11:14:59.410] [SEVERE ] updating countdown to 56652
[11:14:59.433] [SEVERE ] updating countdown to 56629
[11:14:59.456] [SEVERE ] updating countdown to 56606
[11:14:59.479] [SEVERE ] updating countdown to 56583
[11:14:59.503] [SEVERE ] updating countdown to 56559
[11:14:59.527] [SEVERE ] updating countdown to 56535
[11:14:59.552] [SEVERE ] updating countdown to 56510
[11:14:59.574] [SEVERE ] updating countdown to 56488
[11:14:59.600] [SEVERE ] updating countdown to 56462
[11:14:59.622] [SEVERE ] updating countdown to 56440
[11:14:59.643] [SEVERE ] updating countdown to 56419
[11:14:59.664] [SEVERE ] updating countdown to 56398
[11:14:59.686] [SEVERE ] updating countdown to 56376
[11:14:59.712] [SEVERE ] updating countdown to 56350
[11:14:59.738] [SEVERE ] updating countdown to 56324
[11:14:59.759] [SEVERE ] updating countdown to 56303
[11:14:59.782] [SEVERE ] updating countdown to 56280
[11:14:59.805] [SEVERE ] updating countdown to 56257
[11:14:59.827] [SEVERE ] updating countdown to 56235
[11:14:59.849] [SEVERE ] updating countdown to 56213
[11:14:59.870] [SEVERE ] updating countdown to 56192
[11:14:59.894] [SEVERE ] updating countdown to 56168
[11:14:59.915] [SEVERE ] updating countdown to 56147
[11:14:59.941] [SEVERE ] updating countdown to 56121
[11:14:59.967] [SEVERE ] updating countdown to 56095
[11:14:59.993] [SEVERE ] updating countdown to 56069
[11:15:00.019] [SEVERE ] updating countdown to 56043
[11:15:00.045] [SEVERE ] updating countdown to 56017
[11:15:00.070] [SEVERE ] updating countdown to 55992
[11:15:00.094] [SEVERE ] updating countdown to 55968
[11:15:00.119] [SEVERE ] updating countdown to 55943
[11:15:00.145] [SEVERE ] updating countdown to 55917
[11:15:00.166] [SEVERE ] updating countdown to 55896
[11:15:00.187] [SEVERE ] updating countdown to 55875
[11:15:00.212] [SEVERE ] updating countdown to 55850
[11:15:00.238] [SEVERE ] updating countdown to 55824
[11:15:00.264] [SEVERE ] updating countdown to 55798
[11:15:00.286] [SEVERE ] updating countdown to 55776
[11:15:00.312] [SEVERE ] updating countdown to 55750
[11:15:00.336] [SEVERE ] updating countdown to 55726
[11:15:00.359] [SEVERE ] updating countdown to 55704
[11:15:00.385] [SEVERE ] updating countdown to 55677
[11:15:00.409] [SEVERE ] updating countdown to 55653
[11:15:00.435] [SEVERE ] updating countdown to 55627
[11:15:00.457] [SEVERE ] updating countdown to 55605
[11:15:00.479] [SEVERE ] updating countdown to 55583
[11:15:00.505] [SEVERE ] updating countdown to 55557
[11:15:00.528] [SEVERE ] updating countdown to 55534
[11:15:00.550] [SEVERE ] updating countdown to 55512
[11:15:00.572] [SEVERE ] updating countdown to 55490
[11:15:00.598] [SEVERE ] updating countdown to 55464
[11:15:00.620] [SEVERE ] updating countdown to 55442
[11:15:00.645] [SEVERE ] updating countdown to 55417
[11:15:00.666] [SEVERE ] updating countdown to 55396
