[16:43:47.344] [INFO   ] thread main starting.
[16:43:47.351] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:43:47.352] [SEVERE ] configuration file was loaded from resources directory.
[16:43:47.748] [INFO   ] thread dealer starting.
[16:43:47.749] [INFO   ] thread playerID: 0 starting.
[16:43:47.749] [INFO   ] thread dealer starting.
[16:43:47.749] [INFO   ] thread playerID: 1 starting.
[16:43:47.753] [SEVERE ] updating countdown to 60000
[16:43:47.855] [SEVERE ] placing card 69 in slot 1
[16:43:47.956] [SEVERE ] placing card 63 in slot 9
[16:43:48.062] [SEVERE ] placing card 37 in slot 10
[16:43:48.166] [SEVERE ] placing card 21 in slot 2
[16:43:48.268] [SEVERE ] placing card 10 in slot 6
[16:43:48.374] [SEVERE ] placing card 6 in slot 5
[16:43:48.476] [SEVERE ] placing card 0 in slot 4
[16:43:48.579] [SEVERE ] placing card 33 in slot 8
[16:43:48.683] [SEVERE ] placing card 51 in slot 0
[16:43:48.789] [SEVERE ] placing card 44 in slot 11
[16:43:48.890] [SEVERE ] placing card 25 in slot 7
[16:43:48.996] [SEVERE ] placing card 78 in slot 3
[16:43:49.017] [SEVERE ] updating countdown to 58737
[16:43:49.040] [SEVERE ] updating countdown to 58713
[16:43:49.063] [SEVERE ] updating countdown to 58690
[16:43:49.088] [SEVERE ] updating countdown to 58666
[16:43:49.111] [SEVERE ] updating countdown to 58642
[16:43:49.133] [SEVERE ] updating countdown to 58620
[16:43:49.156] [SEVERE ] updating countdown to 58597
[16:43:49.182] [SEVERE ] updating countdown to 58571
[16:43:49.208] [SEVERE ] updating countdown to 58545
[16:43:49.234] [SEVERE ] updating countdown to 58519
[16:43:49.259] [SEVERE ] updating countdown to 58494
[16:43:49.280] [SEVERE ] updating countdown to 58473
[16:43:49.302] [SEVERE ] updating countdown to 58452
[16:43:49.324] [SEVERE ] updating countdown to 58429
[16:43:49.346] [SEVERE ] updating countdown to 58407
[16:43:49.371] [SEVERE ] updating countdown to 58382
[16:43:49.391] [SEVERE ] updating countdown to 58362
[16:43:49.413] [SEVERE ] updating countdown to 58340
[16:43:49.433] [SEVERE ] updating countdown to 58320
[16:43:49.460] [SEVERE ] updating countdown to 58293
[16:43:49.487] [SEVERE ] updating countdown to 58266
