[13:09:34.990] [INFO   ] thread main starting.
[13:09:34.995] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:09:34.996] [SEVERE ] configuration file was loaded from resources directory.
[13:09:35.298] [INFO   ] thread dealer starting.
[13:09:35.299] [INFO   ] thread playerID: 0 starting.
[13:09:35.299] [INFO   ] thread dealer starting.
[13:09:35.299] [INFO   ] thread playerID: 1 starting.
[13:09:35.302] [SEVERE ] updating countdown to 60000
[13:09:35.408] [SEVERE ] placing card 71 in slot 5
[13:09:35.511] [SEVERE ] placing card 68 in slot 9
[13:09:35.615] [SEVERE ] placing card 65 in slot 11
[13:09:35.716] [SEVERE ] placing card 56 in slot 4
[13:09:35.819] [SEVERE ] placing card 28 in slot 6
[13:09:35.925] [SEVERE ] placing card 45 in slot 1
[13:09:36.031] [SEVERE ] placing card 4 in slot 8
[13:09:36.132] [SEVERE ] placing card 10 in slot 2
[13:09:36.237] [SEVERE ] placing card 74 in slot 3
[13:09:36.339] [SEVERE ] placing card 49 in slot 10
[13:09:36.444] [SEVERE ] placing card 52 in slot 7
[13:09:36.548] [SEVERE ] placing card 29 in slot 0
[13:09:36.573] [SEVERE ] updating countdown to 58729
[13:09:36.594] [SEVERE ] updating countdown to 58708
[13:09:36.627] [SEVERE ] updating countdown to 58675
[13:09:36.649] [SEVERE ] updating countdown to 58653
[13:09:36.670] [SEVERE ] updating countdown to 58632
[13:09:36.691] [SEVERE ] updating countdown to 58611
[13:09:36.716] [SEVERE ] updating countdown to 58586
[13:09:36.738] [SEVERE ] updating countdown to 58564
[13:09:36.761] [SEVERE ] updating countdown to 58541
[13:09:36.782] [SEVERE ] updating countdown to 58520
[13:09:36.806] [SEVERE ] updating countdown to 58496
[13:09:36.828] [SEVERE ] updating countdown to 58474
[13:09:36.850] [SEVERE ] updating countdown to 58452
[13:09:36.874] [SEVERE ] updating countdown to 58428
[13:09:36.895] [SEVERE ] updating countdown to 58407
[13:09:36.916] [SEVERE ] updating countdown to 58386
[13:09:36.940] [SEVERE ] updating countdown to 58362
[13:09:36.962] [SEVERE ] updating countdown to 58340
[13:09:36.983] [SEVERE ] updating countdown to 58319
[13:09:37.004] [SEVERE ] updating countdown to 58298
[13:09:37.025] [SEVERE ] updating countdown to 58277
[13:09:37.046] [SEVERE ] updating countdown to 58256
[13:09:37.068] [SEVERE ] updating countdown to 58234
[13:09:37.089] [SEVERE ] updating countdown to 58213
[13:09:37.110] [SEVERE ] updating countdown to 58192
[13:09:37.131] [SEVERE ] updating countdown to 58171
[13:09:37.152] [SEVERE ] updating countdown to 58150
[13:09:37.173] [SEVERE ] updating countdown to 58129
[13:09:37.194] [SEVERE ] updating countdown to 58108
[13:09:37.219] [SEVERE ] updating countdown to 58083
[13:09:37.240] [SEVERE ] updating countdown to 58062
[13:09:37.263] [SEVERE ] updating countdown to 58039
[13:09:37.284] [SEVERE ] updating countdown to 58018
[13:09:37.307] [SEVERE ] updating countdown to 57996
[13:09:37.329] [SEVERE ] updating countdown to 57973
[13:09:37.351] [SEVERE ] updating countdown to 57951
[13:09:37.377] [SEVERE ] updating countdown to 57925
[13:09:37.401] [SEVERE ] updating countdown to 57901
[13:09:37.424] [SEVERE ] updating countdown to 57878
[13:09:37.447] [SEVERE ] updating countdown to 57855
[13:09:37.469] [SEVERE ] updating countdown to 57833
[13:09:37.490] [SEVERE ] updating countdown to 57812
[13:09:37.511] [SEVERE ] updating countdown to 57791
[13:09:37.532] [SEVERE ] updating countdown to 57770
[13:09:37.554] [SEVERE ] updating countdown to 57748
[13:09:37.579] [SEVERE ] updating countdown to 57723
[13:09:37.601] [SEVERE ] updating countdown to 57701
[13:09:37.626] [SEVERE ] updating countdown to 57676
[13:09:37.652] [SEVERE ] updating countdown to 57650
[13:09:37.673] [SEVERE ] updating countdown to 57629
[13:09:37.697] [SEVERE ] updating countdown to 57605
[13:09:37.721] [SEVERE ] updating countdown to 57581
[13:09:37.742] [SEVERE ] updating countdown to 57560
[13:09:37.764] [SEVERE ] updating countdown to 57538
[13:09:37.790] [SEVERE ] updating countdown to 57512
[13:09:37.816] [SEVERE ] updating countdown to 57486
[13:09:37.837] [SEVERE ] updating countdown to 57465
[13:09:37.860] [SEVERE ] updating countdown to 57442
[13:09:37.883] [SEVERE ] updating countdown to 57419
[13:09:37.904] [SEVERE ] updating countdown to 57398
[13:09:37.929] [SEVERE ] updating countdown to 57373
[13:09:37.956] [SEVERE ] updating countdown to 57346
[13:09:37.977] [SEVERE ] updating countdown to 57325
[13:09:38.000] [SEVERE ] updating countdown to 57302
[13:09:38.023] [SEVERE ] updating countdown to 57279
[13:09:38.046] [SEVERE ] updating countdown to 57256
[13:09:38.073] [SEVERE ] updating countdown to 57229
[13:09:38.094] [SEVERE ] updating countdown to 57208
[13:09:38.116] [SEVERE ] updating countdown to 57186
[13:09:38.139] [SEVERE ] updating countdown to 57163
[13:09:38.160] [SEVERE ] updating countdown to 57142
[13:09:38.181] [SEVERE ] updating countdown to 57121
[13:09:38.203] [SEVERE ] updating countdown to 57099
[13:09:38.224] [SEVERE ] updating countdown to 57078
[13:09:38.245] [SEVERE ] updating countdown to 57057
[13:09:38.266] [SEVERE ] updating countdown to 57036
[13:09:38.287] [SEVERE ] updating countdown to 57015
[13:09:38.308] [SEVERE ] updating countdown to 56994
[13:09:38.333] [SEVERE ] updating countdown to 56969
[13:09:38.360] [SEVERE ] updating countdown to 56942
[13:09:38.382] [SEVERE ] updating countdown to 56920
[13:09:38.404] [SEVERE ] updating countdown to 56898
[13:09:38.425] [SEVERE ] updating countdown to 56877
[13:09:38.446] [SEVERE ] updating countdown to 56856
[13:09:38.468] [SEVERE ] updating countdown to 56834
[13:09:38.490] [SEVERE ] updating countdown to 56812
[13:09:38.516] [SEVERE ] updating countdown to 56786
[13:09:38.537] [SEVERE ] updating countdown to 56765
[13:09:38.563] [SEVERE ] updating countdown to 56739
[13:09:38.585] [SEVERE ] updating countdown to 56717
[13:09:38.606] [SEVERE ] updating countdown to 56696
[13:09:38.627] [SEVERE ] updating countdown to 56675
[13:09:38.649] [SEVERE ] updating countdown to 56653
[13:09:38.670] [SEVERE ] updating countdown to 56632
[13:09:38.691] [SEVERE ] updating countdown to 56611
[13:09:38.712] [SEVERE ] updating countdown to 56590
[13:09:38.737] [SEVERE ] updating countdown to 56565
[13:09:38.762] [SEVERE ] updating countdown to 56540
[13:09:38.783] [SEVERE ] updating countdown to 56519
[13:09:38.805] [SEVERE ] updating countdown to 56497
[13:09:38.826] [SEVERE ] updating countdown to 56476
[13:09:38.847] [SEVERE ] updating countdown to 56455
[13:09:38.872] [SEVERE ] updating countdown to 56430
[13:09:38.894] [SEVERE ] updating countdown to 56408
[13:09:38.920] [SEVERE ] updating countdown to 56382
[13:09:38.945] [SEVERE ] updating countdown to 56357
[13:09:38.971] [SEVERE ] updating countdown to 56331
[13:09:38.996] [SEVERE ] updating countdown to 56306
[13:09:39.019] [SEVERE ] updating countdown to 56283
[13:09:39.045] [SEVERE ] updating countdown to 56257
[13:09:39.068] [SEVERE ] updating countdown to 56234
[13:09:39.094] [SEVERE ] updating countdown to 56208
[13:09:39.118] [SEVERE ] updating countdown to 56184
[13:09:39.143] [SEVERE ] updating countdown to 56159
[13:09:39.169] [SEVERE ] updating countdown to 56133
[13:09:39.192] [SEVERE ] updating countdown to 56110
[13:09:39.215] [SEVERE ] updating countdown to 56087
[13:09:39.240] [SEVERE ] updating countdown to 56062
