[10:56:24.410] [INFO   ] thread main starting.
[10:56:24.414] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:56:24.416] [SEVERE ] configuration file was loaded from resources directory.
[10:56:29.068] [INFO   ] thread dealer starting.
[10:56:29.069] [INFO   ] thread dealer starting.
[10:56:29.069] [INFO   ] thread playerID: 1 starting.
[10:56:29.069] [INFO   ] thread playerID: 0 starting.
[10:56:29.071] [SEVERE ] updating countdown to 60000
[10:56:29.175] [SEVERE ] placing card 72 in slot 7
[10:56:29.282] [SEVERE ] placing card 67 in slot 10
[10:56:29.388] [SEVERE ] placing card 77 in slot 8
[10:56:29.490] [SEVERE ] placing card 51 in slot 9
[10:56:29.594] [SEVERE ] placing card 5 in slot 6
[10:56:29.696] [SEVERE ] placing card 37 in slot 3
[10:56:29.798] [SEVERE ] placing card 69 in slot 0
[10:56:29.899] [SEVERE ] placing card 58 in slot 11
[10:56:30.001] [SEVERE ] placing card 16 in slot 4
[10:56:30.103] [SEVERE ] placing card 11 in slot 1
[10:56:30.206] [SEVERE ] placing card 50 in slot 2
[10:56:30.308] [SEVERE ] placing card 25 in slot 5
[10:56:30.330] [SEVERE ] updating countdown to 58741
[10:56:30.356] [SEVERE ] updating countdown to 58715
[10:56:30.380] [SEVERE ] updating countdown to 58691
[10:56:30.403] [SEVERE ] updating countdown to 58668
[10:56:30.426] [SEVERE ] updating countdown to 58645
[10:56:30.449] [SEVERE ] updating countdown to 58622
[10:56:30.471] [SEVERE ] updating countdown to 58600
[10:56:30.493] [SEVERE ] updating countdown to 58578
[10:56:30.516] [SEVERE ] updating countdown to 58555
[10:56:30.538] [SEVERE ] updating countdown to 58533
[10:56:30.560] [SEVERE ] updating countdown to 58511
[10:56:30.581] [SEVERE ] updating countdown to 58490
[10:56:30.602] [SEVERE ] updating countdown to 58469
[10:56:30.623] [SEVERE ] updating countdown to 58448
[10:56:30.644] [SEVERE ] updating countdown to 58427
[10:56:30.665] [SEVERE ] updating countdown to 58406
[10:56:30.686] [SEVERE ] updating countdown to 58385
[10:56:30.708] [SEVERE ] updating countdown to 58363
[10:56:30.735] [SEVERE ] updating countdown to 58336
[10:56:30.756] [SEVERE ] updating countdown to 58315
[10:56:30.779] [SEVERE ] updating countdown to 58292
[10:56:30.806] [SEVERE ] updating countdown to 58265
[10:56:30.828] [SEVERE ] updating countdown to 58243
[10:56:30.855] [SEVERE ] updating countdown to 58216
[10:56:30.878] [SEVERE ] updating countdown to 58193
[10:56:30.904] [SEVERE ] updating countdown to 58167
[10:56:30.925] [SEVERE ] updating countdown to 58146
[10:56:30.948] [SEVERE ] updating countdown to 58123
[10:56:30.968] [SEVERE ] updating countdown to 58103
[10:56:30.990] [SEVERE ] updating countdown to 58081
[10:56:31.014] [SEVERE ] updating countdown to 58057
[10:56:31.035] [SEVERE ] updating countdown to 58036
[10:56:31.057] [SEVERE ] updating countdown to 58014
[10:56:31.079] [SEVERE ] updating countdown to 57992
[10:56:31.100] [SEVERE ] updating countdown to 57971
[10:56:31.122] [SEVERE ] updating countdown to 57949
[10:56:31.146] [SEVERE ] updating countdown to 57925
[10:56:31.170] [SEVERE ] updating countdown to 57901
[10:56:31.196] [SEVERE ] updating countdown to 57875
[10:56:31.219] [SEVERE ] updating countdown to 57852
[10:56:31.240] [SEVERE ] updating countdown to 57831
[10:56:31.262] [SEVERE ] updating countdown to 57809
[10:56:31.283] [SEVERE ] updating countdown to 57788
[10:56:31.304] [SEVERE ] updating countdown to 57767
[10:56:31.325] [SEVERE ] updating countdown to 57746
[10:56:31.346] [SEVERE ] updating countdown to 57725
[10:56:31.368] [SEVERE ] updating countdown to 57703
[10:56:31.390] [SEVERE ] updating countdown to 57681
[10:56:31.411] [SEVERE ] updating countdown to 57660
[10:56:31.433] [SEVERE ] updating countdown to 57638
[10:56:31.455] [SEVERE ] updating countdown to 57616
[10:56:31.477] [SEVERE ] updating countdown to 57594
[10:56:31.501] [SEVERE ] updating countdown to 57570
[10:56:31.526] [SEVERE ] updating countdown to 57545
[10:56:31.552] [SEVERE ] updating countdown to 57519
[10:56:31.574] [SEVERE ] updating countdown to 57497
[10:56:31.595] [SEVERE ] updating countdown to 57476
[10:56:31.616] [SEVERE ] updating countdown to 57455
[10:56:31.637] [SEVERE ] updating countdown to 57434
[10:56:31.658] [SEVERE ] updating countdown to 57413
[10:56:31.679] [SEVERE ] updating countdown to 57392
[10:56:31.700] [SEVERE ] updating countdown to 57371
[10:56:31.721] [SEVERE ] updating countdown to 57350
[10:56:31.742] [SEVERE ] updating countdown to 57329
[10:56:31.764] [SEVERE ] updating countdown to 57307
[10:56:31.786] [SEVERE ] updating countdown to 57285
[10:56:31.807] [SEVERE ] updating countdown to 57264
[10:56:31.828] [SEVERE ] updating countdown to 57243
[10:56:31.849] [SEVERE ] updating countdown to 57222
[10:56:31.875] [SEVERE ] updating countdown to 57196
[10:56:31.900] [SEVERE ] updating countdown to 57171
[10:56:31.923] [SEVERE ] updating countdown to 57148
[10:56:31.944] [SEVERE ] updating countdown to 57127
[10:56:31.966] [SEVERE ] updating countdown to 57105
[10:56:31.989] [SEVERE ] updating countdown to 57082
[10:56:32.015] [SEVERE ] updating countdown to 57056
[10:56:32.036] [SEVERE ] updating countdown to 57035
[10:56:32.062] [SEVERE ] updating countdown to 57009
[10:56:32.088] [SEVERE ] updating countdown to 56983
[10:56:32.114] [SEVERE ] updating countdown to 56957
[10:56:32.140] [SEVERE ] updating countdown to 56931
[10:56:32.161] [SEVERE ] updating countdown to 56910
[10:56:32.185] [SEVERE ] updating countdown to 56886
[10:56:32.212] [SEVERE ] updating countdown to 56859
[10:56:32.238] [SEVERE ] updating countdown to 56833
[10:56:32.264] [SEVERE ] updating countdown to 56807
[10:56:32.286] [SEVERE ] updating countdown to 56785
[10:56:32.310] [SEVERE ] updating countdown to 56761
[10:56:32.334] [SEVERE ] updating countdown to 56737
[10:56:32.357] [SEVERE ] updating countdown to 56714
[10:56:32.378] [SEVERE ] updating countdown to 56693
[10:56:32.401] [SEVERE ] updating countdown to 56670
[10:56:32.428] [SEVERE ] updating countdown to 56643
[10:56:32.450] [SEVERE ] updating countdown to 56621
[10:56:32.476] [SEVERE ] updating countdown to 56595
[10:56:32.500] [SEVERE ] updating countdown to 56571
[10:56:32.522] [SEVERE ] updating countdown to 56549
[10:56:32.548] [SEVERE ] updating countdown to 56523
[10:56:32.571] [SEVERE ] updating countdown to 56500
[10:56:32.598] [SEVERE ] updating countdown to 56473
[10:56:32.619] [SEVERE ] updating countdown to 56452
[10:56:32.643] [SEVERE ] updating countdown to 56428
[10:56:32.667] [SEVERE ] updating countdown to 56404
[10:56:32.688] [SEVERE ] updating countdown to 56383
[10:56:32.709] [SEVERE ] updating countdown to 56362
[10:56:32.733] [SEVERE ] updating countdown to 56338
[10:56:32.759] [SEVERE ] updating countdown to 56312
[10:56:32.780] [SEVERE ] updating countdown to 56291
[10:56:32.801] [SEVERE ] updating countdown to 56270
[10:56:32.825] [SEVERE ] updating countdown to 56246
[10:56:32.851] [SEVERE ] updating countdown to 56220
[10:56:32.875] [SEVERE ] updating countdown to 56196
[10:56:32.897] [SEVERE ] updating countdown to 56174
[10:56:32.919] [SEVERE ] updating countdown to 56152
[10:56:32.941] [SEVERE ] updating countdown to 56130
[10:56:32.963] [SEVERE ] updating countdown to 56108
[10:56:32.984] [SEVERE ] updating countdown to 56087
[10:56:33.005] [SEVERE ] updating countdown to 56066
[10:56:33.029] [SEVERE ] updating countdown to 56042
[10:56:33.055] [SEVERE ] updating countdown to 56016
[10:56:33.081] [SEVERE ] updating countdown to 55991
[10:56:33.102] [SEVERE ] updating countdown to 55969
[10:56:33.127] [SEVERE ] updating countdown to 55944
[10:56:33.153] [SEVERE ] updating countdown to 55918
[10:56:33.173] [SEVERE ] updating countdown to 55898
[10:56:33.198] [SEVERE ] updating countdown to 55873
[10:56:33.221] [SEVERE ] updating countdown to 55850
[10:56:33.243] [SEVERE ] updating countdown to 55828
[10:56:33.268] [SEVERE ] updating countdown to 55803
[10:56:33.292] [SEVERE ] updating countdown to 55779
[10:56:33.313] [SEVERE ] updating countdown to 55758
[10:56:33.338] [SEVERE ] updating countdown to 55733
[10:56:33.364] [SEVERE ] updating countdown to 55707
[10:56:33.386] [SEVERE ] updating countdown to 55685
[10:56:33.412] [SEVERE ] updating countdown to 55659
[10:56:33.434] [SEVERE ] updating countdown to 55637
[10:56:33.460] [SEVERE ] updating countdown to 55611
[10:56:33.481] [SEVERE ] updating countdown to 55590
[10:56:33.503] [SEVERE ] updating countdown to 55568
[10:56:33.529] [SEVERE ] updating countdown to 55542
[10:56:33.553] [SEVERE ] updating countdown to 55518
[10:56:33.574] [SEVERE ] updating countdown to 55497
[10:56:33.596] [SEVERE ] updating countdown to 55475
[10:56:33.617] [SEVERE ] updating countdown to 55454
[10:56:33.643] [SEVERE ] updating countdown to 55428
[10:56:33.669] [SEVERE ] updating countdown to 55402
[10:56:33.695] [SEVERE ] updating countdown to 55376
[10:56:33.721] [SEVERE ] updating countdown to 55350
[10:56:33.745] [SEVERE ] updating countdown to 55326
[10:56:33.767] [SEVERE ] updating countdown to 55304
[10:56:33.789] [SEVERE ] updating countdown to 55282
[10:56:33.810] [SEVERE ] updating countdown to 55261
[10:56:33.835] [SEVERE ] updating countdown to 55236
[10:56:33.862] [SEVERE ] updating countdown to 55209
[10:56:33.883] [SEVERE ] updating countdown to 55188
[10:56:33.907] [SEVERE ] updating countdown to 55164
[10:56:33.934] [SEVERE ] updating countdown to 55137
[10:56:33.956] [SEVERE ] updating countdown to 55115
[10:56:33.978] [SEVERE ] updating countdown to 55093
[10:56:34.000] [SEVERE ] updating countdown to 55071
[10:56:34.021] [SEVERE ] updating countdown to 55050
[10:56:34.046] [SEVERE ] updating countdown to 55025
[10:56:34.071] [SEVERE ] updating countdown to 55000
[10:56:34.097] [SEVERE ] updating countdown to 54974
[10:56:34.123] [SEVERE ] updating countdown to 54948
[10:56:34.144] [SEVERE ] updating countdown to 54927
[10:56:34.166] [SEVERE ] updating countdown to 54905
[10:56:34.188] [SEVERE ] updating countdown to 54883
[10:56:34.209] [SEVERE ] updating countdown to 54862
[10:56:34.231] [SEVERE ] updating countdown to 54840
[10:56:34.255] [SEVERE ] updating countdown to 54816
[10:56:34.277] [SEVERE ] updating countdown to 54794
[10:56:34.298] [SEVERE ] updating countdown to 54773
[10:56:34.319] [SEVERE ] updating countdown to 54752
[10:56:34.344] [SEVERE ] updating countdown to 54727
[10:56:34.365] [SEVERE ] updating countdown to 54706
[10:56:34.387] [SEVERE ] updating countdown to 54684
[10:56:34.413] [SEVERE ] updating countdown to 54658
[10:56:34.434] [SEVERE ] updating countdown to 54637
[10:56:34.456] [SEVERE ] updating countdown to 54615
[10:56:34.477] [SEVERE ] updating countdown to 54594
[10:56:34.500] [SEVERE ] updating countdown to 54571
[10:56:34.524] [SEVERE ] updating countdown to 54547
[10:56:34.546] [SEVERE ] updating countdown to 54525
[10:56:34.571] [SEVERE ] updating countdown to 54500
[10:56:34.594] [SEVERE ] updating countdown to 54477
[10:56:34.619] [SEVERE ] updating countdown to 54452
[10:56:34.645] [SEVERE ] updating countdown to 54426
[10:56:34.666] [SEVERE ] updating countdown to 54405
[10:56:34.688] [SEVERE ] updating countdown to 54383
[10:56:34.712] [SEVERE ] updating countdown to 54359
[10:56:34.733] [SEVERE ] updating countdown to 54338
[10:56:34.755] [SEVERE ] updating countdown to 54316
[10:56:34.781] [SEVERE ] updating countdown to 54290
[10:56:34.802] [SEVERE ] updating countdown to 54269
[10:56:34.828] [SEVERE ] updating countdown to 54243
[10:56:34.854] [SEVERE ] updating countdown to 54217
[10:56:34.875] [SEVERE ] updating countdown to 54196
[10:56:34.897] [SEVERE ] updating countdown to 54174
[10:56:34.918] [SEVERE ] updating countdown to 54153
[10:56:34.943] [SEVERE ] updating countdown to 54128
[10:56:34.964] [SEVERE ] updating countdown to 54107
[10:56:34.986] [SEVERE ] updating countdown to 54086
[10:56:35.009] [SEVERE ] updating countdown to 54062
