[09:13:14.132] [INFO   ] thread main starting.
[09:13:14.138] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:13:14.139] [SEVERE ] configuration file was loaded from resources directory.
[09:13:14.627] [INFO   ] thread dealer starting.
[09:13:14.628] [INFO   ] thread playerID: 0 starting.
[09:13:14.628] [INFO   ] thread dealer starting.
[09:13:14.628] [INFO   ] thread playerID: 1 starting.
[09:13:14.735] [SEVERE ] placing card 44 in slot 0
[09:13:14.838] [SEVERE ] placing card 23 in slot 6
[09:13:14.944] [SEVERE ] placing card 75 in slot 11
[09:13:15.051] [SEVERE ] placing card 16 in slot 5
[09:13:15.155] [SEVERE ] placing card 32 in slot 4
[09:13:15.263] [SEVERE ] placing card 64 in slot 8
[09:13:15.366] [SEVERE ] placing card 8 in slot 9
[09:13:15.467] [SEVERE ] placing card 38 in slot 10
[09:13:15.571] [SEVERE ] placing card 19 in slot 1
[09:13:15.675] [SEVERE ] placing card 13 in slot 3
[09:13:15.777] [SEVERE ] placing card 34 in slot 7
[09:13:15.882] [SEVERE ] placing card 63 in slot 2
[09:13:15.887] [SEVERE ] updating countdown to 60000
[09:13:15.895] [SEVERE ] updating countdown to 60000
[09:13:15.899] [SEVERE ] updating countdown to 60000
[09:13:15.904] [SEVERE ] updating countdown to 60000
[09:13:15.908] [SEVERE ] updating countdown to 60000
[09:13:15.912] [SEVERE ] updating countdown to 60000
[09:13:15.918] [SEVERE ] updating countdown to 60000
[09:13:15.922] [SEVERE ] updating countdown to 60000
[09:13:15.926] [SEVERE ] updating countdown to 60000
[09:13:15.930] [SEVERE ] updating countdown to 60000
[09:13:15.934] [SEVERE ] updating countdown to 60000
[09:13:15.939] [SEVERE ] updating countdown to 60000
[09:13:15.943] [SEVERE ] updating countdown to 60000
[09:13:15.947] [SEVERE ] updating countdown to 60000
[09:13:15.951] [SEVERE ] updating countdown to 60000
[09:13:15.955] [SEVERE ] updating countdown to 60000
[09:13:15.958] [SEVERE ] updating countdown to 60000
[09:13:15.962] [SEVERE ] updating countdown to 60000
[09:13:15.966] [SEVERE ] updating countdown to 60000
[09:13:15.970] [SEVERE ] updating countdown to 60000
[09:13:15.974] [SEVERE ] updating countdown to 60000
[09:13:15.978] [SEVERE ] updating countdown to 60000
[09:13:15.982] [SEVERE ] updating countdown to 60000
[09:13:15.986] [SEVERE ] updating countdown to 60000
[09:13:15.990] [SEVERE ] updating countdown to 60000
[09:13:15.994] [SEVERE ] updating countdown to 60000
[09:13:15.997] [SEVERE ] updating countdown to 60000
[09:13:16.002] [SEVERE ] updating countdown to 60000
[09:13:16.006] [SEVERE ] updating countdown to 60000
[09:13:16.010] [SEVERE ] updating countdown to 60000
[09:13:16.014] [SEVERE ] updating countdown to 60000
[09:13:16.018] [SEVERE ] updating countdown to 60000
[09:13:16.022] [SEVERE ] updating countdown to 60000
[09:13:16.026] [SEVERE ] updating countdown to 60000
[09:13:16.030] [SEVERE ] updating countdown to 60000
[09:13:16.034] [SEVERE ] updating countdown to 60000
[09:13:16.037] [SEVERE ] updating countdown to 60000
[09:13:16.041] [SEVERE ] updating countdown to 60000
[09:13:16.044] [SEVERE ] updating countdown to 60000
[09:13:16.049] [SEVERE ] updating countdown to 60000
[09:13:16.053] [SEVERE ] updating countdown to 60000
[09:13:16.057] [SEVERE ] updating countdown to 60000
[09:13:16.061] [SEVERE ] updating countdown to 60000
[09:13:16.065] [SEVERE ] updating countdown to 60000
[09:13:16.068] [SEVERE ] updating countdown to 60000
[09:13:16.072] [SEVERE ] updating countdown to 60000
[09:13:16.075] [SEVERE ] updating countdown to 60000
[09:13:16.080] [SEVERE ] updating countdown to 60000
[09:13:16.084] [SEVERE ] updating countdown to 60000
[09:13:16.087] [SEVERE ] updating countdown to 60000
[09:13:16.090] [SEVERE ] updating countdown to 60000
[09:13:16.095] [SEVERE ] updating countdown to 60000
[09:13:16.099] [SEVERE ] updating countdown to 60000
[09:13:16.103] [SEVERE ] updating countdown to 60000
[09:13:16.107] [SEVERE ] updating countdown to 60000
[09:13:16.111] [SEVERE ] updating countdown to 60000
[09:13:16.120] [SEVERE ] updating countdown to 60000
[09:13:16.124] [SEVERE ] updating countdown to 60000
[09:13:16.128] [SEVERE ] updating countdown to 60000
[09:13:16.133] [SEVERE ] updating countdown to 60000
