[12:01:16.497] [INFO   ] thread main starting.
[12:01:16.502] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:01:16.503] [SEVERE ] configuration file was loaded from resources directory.
[12:01:16.837] [INFO   ] thread dealer starting.
[12:01:16.838] [INFO   ] thread playerID: 0 starting.
[12:01:16.838] [INFO   ] thread dealer starting.
[12:01:16.838] [INFO   ] thread playerID: 1 starting.
[12:01:16.841] [SEVERE ] updating countdown to 60000
[12:01:16.944] [SEVERE ] placing card 72 in slot 4
[12:01:17.046] [SEVERE ] placing card 69 in slot 5
[12:01:17.147] [SEVERE ] placing card 4 in slot 11
[12:01:17.249] [SEVERE ] placing card 20 in slot 10
[12:01:17.351] [SEVERE ] placing card 78 in slot 7
[12:01:17.453] [SEVERE ] placing card 52 in slot 1
[12:01:17.557] [SEVERE ] placing card 44 in slot 9
[12:01:17.659] [SEVERE ] placing card 67 in slot 3
[12:01:17.763] [SEVERE ] placing card 59 in slot 6
[12:01:17.864] [SEVERE ] placing card 54 in slot 8
[12:01:17.968] [SEVERE ] placing card 43 in slot 0
[12:01:18.072] [SEVERE ] placing card 60 in slot 2
[12:01:18.093] [SEVERE ] updating countdown to 58748
[12:01:18.117] [SEVERE ] updating countdown to 58724
[12:01:18.139] [SEVERE ] updating countdown to 58702
[12:01:18.161] [SEVERE ] updating countdown to 58680
[12:01:18.185] [SEVERE ] updating countdown to 58656
[12:01:18.212] [SEVERE ] updating countdown to 58630
[12:01:18.234] [SEVERE ] updating countdown to 58607
[12:01:18.260] [SEVERE ] updating countdown to 58581
[12:01:18.286] [SEVERE ] updating countdown to 58555
[12:01:18.313] [SEVERE ] updating countdown to 58529
[12:01:18.334] [SEVERE ] updating countdown to 58507
[12:01:18.361] [SEVERE ] updating countdown to 58481
[12:01:18.382] [SEVERE ] updating countdown to 58459
[12:01:18.406] [SEVERE ] updating countdown to 58435
[12:01:18.428] [SEVERE ] updating countdown to 58413
[12:01:18.454] [SEVERE ] updating countdown to 58388
[12:01:18.475] [SEVERE ] updating countdown to 58366
[12:01:18.496] [SEVERE ] updating countdown to 58345
[12:01:18.523] [SEVERE ] updating countdown to 58318
[12:01:18.545] [SEVERE ] updating countdown to 58296
[12:01:18.567] [SEVERE ] updating countdown to 58274
[12:01:18.589] [SEVERE ] updating countdown to 58252
[12:01:18.614] [SEVERE ] updating countdown to 58227
[12:01:18.637] [SEVERE ] updating countdown to 58204
[12:01:18.663] [SEVERE ] updating countdown to 58178
[12:01:18.685] [SEVERE ] updating countdown to 58156
[12:01:18.710] [SEVERE ] updating countdown to 58131
[12:01:18.734] [SEVERE ] updating countdown to 58107
[12:01:18.760] [SEVERE ] updating countdown to 58081
[12:01:18.782] [SEVERE ] updating countdown to 58059
[12:01:18.806] [SEVERE ] updating countdown to 58035
[12:01:18.830] [SEVERE ] updating countdown to 58011
[12:01:18.851] [SEVERE ] updating countdown to 57990
[12:01:18.873] [SEVERE ] updating countdown to 57968
[12:01:18.894] [SEVERE ] updating countdown to 57947
[12:01:18.916] [SEVERE ] updating countdown to 57926
[12:01:18.937] [SEVERE ] updating countdown to 57904
[12:01:18.958] [SEVERE ] updating countdown to 57883
[12:01:18.980] [SEVERE ] updating countdown to 57861
[12:01:19.002] [SEVERE ] updating countdown to 57839
[12:01:19.023] [SEVERE ] updating countdown to 57818
[12:01:19.049] [SEVERE ] updating countdown to 57792
[12:01:19.071] [SEVERE ] updating countdown to 57770
[12:01:19.094] [SEVERE ] updating countdown to 57747
[12:01:19.115] [SEVERE ] updating countdown to 57726
[12:01:19.138] [SEVERE ] updating countdown to 57703
[12:01:19.161] [SEVERE ] updating countdown to 57680
[12:01:19.187] [SEVERE ] updating countdown to 57654
[12:01:19.209] [SEVERE ] updating countdown to 57632
[12:01:19.230] [SEVERE ] updating countdown to 57611
[12:01:19.252] [SEVERE ] updating countdown to 57589
[12:01:19.277] [SEVERE ] updating countdown to 57564
