[10:47:31.843] [INFO   ] thread main starting.
[10:47:31.848] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:47:31.849] [SEVERE ] configuration file was loaded from resources directory.
[10:47:32.245] [INFO   ] thread dealer starting.
[10:47:32.246] [INFO   ] thread playerID: 0 starting.
[10:47:32.246] [INFO   ] thread playerID: 1 starting.
[10:47:32.246] [INFO   ] thread dealer starting.
[10:47:32.250] [SEVERE ] updating countdown to 60000
[10:47:32.357] [SEVERE ] placing card 24 in slot 2
[10:47:32.458] [SEVERE ] placing card 19 in slot 10
[10:47:32.560] [SEVERE ] placing card 25 in slot 7
[10:47:32.664] [SEVERE ] placing card 2 in slot 1
[10:47:32.766] [SEVERE ] placing card 20 in slot 3
[10:47:32.869] [SEVERE ] placing card 7 in slot 6
[10:47:32.970] [SEVERE ] placing card 56 in slot 9
[10:47:33.071] [SEVERE ] placing card 17 in slot 0
[10:47:33.172] [SEVERE ] placing card 54 in slot 8
[10:47:33.273] [SEVERE ] placing card 14 in slot 5
[10:47:33.375] [SEVERE ] placing card 36 in slot 11
[10:47:33.477] [SEVERE ] placing card 57 in slot 4
[10:47:33.500] [SEVERE ] updating countdown to 58750
[10:47:33.521] [SEVERE ] updating countdown to 58729
[10:47:33.543] [SEVERE ] updating countdown to 58707
[10:47:33.564] [SEVERE ] updating countdown to 58686
[10:47:33.587] [SEVERE ] updating countdown to 58663
[10:47:33.609] [SEVERE ] updating countdown to 58641
[10:47:33.632] [SEVERE ] updating countdown to 58618
[10:47:33.656] [SEVERE ] updating countdown to 58594
[10:47:33.681] [SEVERE ] updating countdown to 58569
[10:47:33.702] [SEVERE ] updating countdown to 58548
[10:47:33.727] [SEVERE ] updating countdown to 58523
[10:47:33.752] [SEVERE ] updating countdown to 58498
[10:47:33.774] [SEVERE ] updating countdown to 58476
[10:47:33.799] [SEVERE ] updating countdown to 58451
[10:47:33.822] [SEVERE ] updating countdown to 58428
[10:47:33.843] [SEVERE ] updating countdown to 58407
[10:47:33.867] [SEVERE ] updating countdown to 58383
[10:47:33.889] [SEVERE ] updating countdown to 58361
[10:47:33.910] [SEVERE ] updating countdown to 58340
[10:47:33.932] [SEVERE ] updating countdown to 58318
[10:47:33.954] [SEVERE ] updating countdown to 58296
[10:47:33.978] [SEVERE ] updating countdown to 58272
[10:47:34.003] [SEVERE ] updating countdown to 58247
[10:47:34.025] [SEVERE ] updating countdown to 58225
[10:47:34.051] [SEVERE ] updating countdown to 58199
[10:47:34.073] [SEVERE ] updating countdown to 58177
[10:47:34.094] [SEVERE ] updating countdown to 58156
[10:47:34.115] [SEVERE ] updating countdown to 58135
[10:47:34.138] [SEVERE ] updating countdown to 58112
[10:47:34.161] [SEVERE ] updating countdown to 58089
[10:47:34.185] [SEVERE ] updating countdown to 58065
[10:47:34.207] [SEVERE ] updating countdown to 58043
[10:47:34.235] [SEVERE ] updating countdown to 58015
[10:47:34.257] [SEVERE ] updating countdown to 57993
[10:47:34.282] [SEVERE ] updating countdown to 57968
[10:47:34.304] [SEVERE ] updating countdown to 57946
[10:47:34.330] [SEVERE ] updating countdown to 57920
[10:47:34.352] [SEVERE ] updating countdown to 57898
[10:47:34.377] [SEVERE ] updating countdown to 57873
[10:47:34.400] [SEVERE ] updating countdown to 57850
[10:47:34.426] [SEVERE ] updating countdown to 57824
[10:47:34.449] [SEVERE ] updating countdown to 57801
[10:47:34.475] [SEVERE ] updating countdown to 57775
[10:47:34.496] [SEVERE ] updating countdown to 57754
[10:47:34.522] [SEVERE ] updating countdown to 57728
[10:47:34.547] [SEVERE ] updating countdown to 57703
[10:47:34.573] [SEVERE ] updating countdown to 57677
[10:47:34.594] [SEVERE ] updating countdown to 57656
[10:47:34.620] [SEVERE ] updating countdown to 57630
[10:47:34.641] [SEVERE ] updating countdown to 57609
[10:47:34.662] [SEVERE ] updating countdown to 57588
[10:47:34.686] [SEVERE ] updating countdown to 57564
[10:47:34.708] [SEVERE ] updating countdown to 57542
[10:47:34.732] [SEVERE ] updating countdown to 57518
[10:47:34.753] [SEVERE ] updating countdown to 57497
[10:47:34.776] [SEVERE ] updating countdown to 57474
[10:47:34.797] [SEVERE ] updating countdown to 57453
[10:47:34.819] [SEVERE ] updating countdown to 57431
[10:47:34.846] [SEVERE ] updating countdown to 57404
[10:47:34.868] [SEVERE ] updating countdown to 57382
