[13:19:41.707] [INFO   ] thread main starting.
[13:19:41.712] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:19:41.717] [SEVERE ] configuration file was loaded from resources directory.
[13:19:42.016] [INFO   ] thread dealer starting.
[13:19:42.017] [INFO   ] thread dealer starting.
[13:19:42.017] [INFO   ] thread playerID: 1 starting.
[13:19:42.017] [INFO   ] thread playerID: 0 starting.
[13:19:42.020] [SEVERE ] updating countdown to 60000
[13:19:42.122] [SEVERE ] placing card 57 in slot 7
[13:19:42.224] [SEVERE ] placing card 43 in slot 3
[13:19:42.331] [SEVERE ] placing card 19 in slot 9
[13:19:42.433] [SEVERE ] placing card 15 in slot 6
[13:19:42.536] [SEVERE ] placing card 47 in slot 0
[13:19:42.637] [SEVERE ] placing card 13 in slot 2
[13:19:42.743] [SEVERE ] placing card 75 in slot 11
[13:19:42.850] [SEVERE ] placing card 28 in slot 5
[13:19:42.954] [SEVERE ] placing card 71 in slot 4
[13:19:43.056] [SEVERE ] placing card 56 in slot 1
[13:19:43.163] [SEVERE ] placing card 11 in slot 10
[13:19:43.264] [SEVERE ] placing card 65 in slot 8
[13:19:43.287] [SEVERE ] updating countdown to 58733
[13:19:43.309] [SEVERE ] updating countdown to 58711
[13:19:43.336] [SEVERE ] updating countdown to 58684
[13:19:43.358] [SEVERE ] updating countdown to 58662
[13:19:43.383] [SEVERE ] updating countdown to 58637
[13:19:43.406] [SEVERE ] updating countdown to 58614
[13:19:43.428] [SEVERE ] updating countdown to 58592
[13:19:43.450] [SEVERE ] updating countdown to 58570
[13:19:43.472] [SEVERE ] updating countdown to 58548
[13:19:43.495] [SEVERE ] updating countdown to 58525
[13:19:43.520] [SEVERE ] updating countdown to 58500
[13:19:43.543] [SEVERE ] updating countdown to 58477
[13:19:43.567] [SEVERE ] updating countdown to 58453
[13:19:43.591] [SEVERE ] updating countdown to 58429
[13:19:43.612] [SEVERE ] updating countdown to 58408
[13:19:43.634] [SEVERE ] updating countdown to 58386
[13:19:43.655] [SEVERE ] updating countdown to 58365
[13:19:43.677] [SEVERE ] updating countdown to 58343
[13:19:43.698] [SEVERE ] updating countdown to 58322
[13:19:43.721] [SEVERE ] updating countdown to 58299
[13:19:43.742] [SEVERE ] updating countdown to 58278
[13:19:43.764] [SEVERE ] updating countdown to 58256
[13:19:43.786] [SEVERE ] updating countdown to 58234
[13:19:43.807] [SEVERE ] updating countdown to 58213
[13:19:43.828] [SEVERE ] updating countdown to 58192
[13:19:43.849] [SEVERE ] updating countdown to 58171
[13:19:43.870] [SEVERE ] updating countdown to 58150
[13:19:43.891] [SEVERE ] updating countdown to 58129
[13:19:43.912] [SEVERE ] updating countdown to 58108
[13:19:43.933] [SEVERE ] updating countdown to 58087
[13:19:43.954] [SEVERE ] updating countdown to 58066
[13:19:43.977] [SEVERE ] updating countdown to 58043
[13:19:43.998] [SEVERE ] updating countdown to 58022
[13:19:44.020] [SEVERE ] updating countdown to 58000
[13:19:44.041] [SEVERE ] updating countdown to 57979
[13:19:44.063] [SEVERE ] updating countdown to 57957
[13:19:44.085] [SEVERE ] updating countdown to 57935
[13:19:44.106] [SEVERE ] updating countdown to 57914
[13:19:44.127] [SEVERE ] updating countdown to 57893
[13:19:44.149] [SEVERE ] updating countdown to 57871
[13:19:44.175] [SEVERE ] updating countdown to 57845
[13:19:44.198] [SEVERE ] updating countdown to 57822
[13:19:44.224] [SEVERE ] updating countdown to 57796
[13:19:44.248] [SEVERE ] updating countdown to 57772
[13:19:44.273] [SEVERE ] updating countdown to 57747
[13:19:44.297] [SEVERE ] updating countdown to 57723
[13:19:44.323] [SEVERE ] updating countdown to 57697
[13:19:44.349] [SEVERE ] updating countdown to 57671
[13:19:44.372] [SEVERE ] updating countdown to 57648
[13:19:44.396] [SEVERE ] updating countdown to 57624
[13:19:44.420] [SEVERE ] updating countdown to 57600
[13:19:44.442] [SEVERE ] updating countdown to 57578
[13:19:44.468] [SEVERE ] updating countdown to 57552
[13:19:44.494] [SEVERE ] updating countdown to 57526
[13:19:44.520] [SEVERE ] updating countdown to 57500
[13:19:44.546] [SEVERE ] updating countdown to 57474
