[10:14:38.977] [INFO   ] thread main starting.
[10:14:38.982] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:14:38.984] [SEVERE ] configuration file was loaded from resources directory.
[10:14:39.285] [INFO   ] thread dealer starting.
[10:14:39.286] [INFO   ] thread dealer starting.
[10:14:39.286] [INFO   ] thread playerID: 1 starting.
[10:14:39.286] [INFO   ] thread playerID: 0 starting.
[10:14:39.289] [SEVERE ] updating countdown to 60000
[10:14:39.391] [SEVERE ] placing card 60 in slot 4
[10:14:39.494] [SEVERE ] placing card 74 in slot 8
[10:14:39.596] [SEVERE ] placing card 24 in slot 2
[10:14:39.697] [SEVERE ] placing card 15 in slot 3
[10:14:39.800] [SEVERE ] placing card 19 in slot 0
[10:14:39.901] [SEVERE ] placing card 58 in slot 7
[10:14:40.003] [SEVERE ] placing card 4 in slot 11
[10:14:40.105] [SEVERE ] placing card 5 in slot 6
[10:14:40.207] [SEVERE ] placing card 3 in slot 5
[10:14:40.309] [SEVERE ] placing card 1 in slot 1
[10:14:40.410] [SEVERE ] placing card 73 in slot 9
[10:14:40.513] [SEVERE ] placing card 27 in slot 10
[10:14:40.535] [SEVERE ] updating countdown to 58753
[10:14:40.556] [SEVERE ] updating countdown to 58732
[10:14:40.580] [SEVERE ] updating countdown to 58708
[10:14:40.602] [SEVERE ] updating countdown to 58686
[10:14:40.623] [SEVERE ] updating countdown to 58665
[10:14:40.646] [SEVERE ] updating countdown to 58642
[10:14:40.667] [SEVERE ] updating countdown to 58621
[10:14:40.688] [SEVERE ] updating countdown to 58600
[10:14:40.709] [SEVERE ] updating countdown to 58579
[10:14:40.731] [SEVERE ] updating countdown to 58557
[10:14:40.752] [SEVERE ] updating countdown to 58536
[10:14:40.776] [SEVERE ] updating countdown to 58512
[10:14:40.800] [SEVERE ] updating countdown to 58488
[10:14:40.821] [SEVERE ] updating countdown to 58467
[10:14:40.842] [SEVERE ] updating countdown to 58446
[10:14:40.866] [SEVERE ] updating countdown to 58422
[10:14:40.887] [SEVERE ] updating countdown to 58401
[10:14:40.908] [SEVERE ] updating countdown to 58380
[10:14:40.930] [SEVERE ] updating countdown to 58358
[10:14:40.950] [SEVERE ] updating countdown to 58338
[10:14:40.971] [SEVERE ] updating countdown to 58317
[10:14:40.992] [SEVERE ] updating countdown to 58296
[10:14:41.013] [SEVERE ] updating countdown to 58275
[10:14:41.034] [SEVERE ] updating countdown to 58254
[10:14:41.055] [SEVERE ] updating countdown to 58233
[10:14:41.076] [SEVERE ] updating countdown to 58212
[10:14:41.097] [SEVERE ] updating countdown to 58191
[10:14:41.118] [SEVERE ] updating countdown to 58170
[10:14:41.139] [SEVERE ] updating countdown to 58149
[10:14:41.161] [SEVERE ] updating countdown to 58127
[10:14:41.183] [SEVERE ] updating countdown to 58105
[10:14:41.203] [SEVERE ] updating countdown to 58085
[10:14:41.224] [SEVERE ] updating countdown to 58064
[10:14:41.246] [SEVERE ] updating countdown to 58042
[10:14:41.267] [SEVERE ] updating countdown to 58021
[10:14:41.288] [SEVERE ] updating countdown to 58000
[10:14:41.310] [SEVERE ] updating countdown to 57978
[10:14:41.332] [SEVERE ] updating countdown to 57956
[10:14:41.354] [SEVERE ] updating countdown to 57934
[10:14:41.375] [SEVERE ] updating countdown to 57913
[10:14:41.397] [SEVERE ] updating countdown to 57891
[10:14:41.419] [SEVERE ] updating countdown to 57869
[10:14:41.440] [SEVERE ] updating countdown to 57848
[10:14:41.462] [SEVERE ] updating countdown to 57826
[10:14:41.484] [SEVERE ] updating countdown to 57804
[10:14:41.505] [SEVERE ] updating countdown to 57783
[10:14:41.526] [SEVERE ] updating countdown to 57762
[10:14:41.548] [SEVERE ] updating countdown to 57740
[10:14:41.570] [SEVERE ] updating countdown to 57718
[10:14:41.591] [SEVERE ] updating countdown to 57697
[10:14:41.613] [SEVERE ] updating countdown to 57675
[10:14:41.634] [SEVERE ] updating countdown to 57654
[10:14:41.656] [SEVERE ] updating countdown to 57632
[10:14:41.677] [SEVERE ] updating countdown to 57611
[10:14:41.698] [SEVERE ] updating countdown to 57590
[10:14:41.719] [SEVERE ] updating countdown to 57569
[10:14:41.741] [SEVERE ] updating countdown to 57548
[10:14:41.763] [SEVERE ] updating countdown to 57525
[10:14:41.783] [SEVERE ] updating countdown to 57505
[10:14:41.804] [SEVERE ] updating countdown to 57484
[10:14:41.825] [SEVERE ] updating countdown to 57463
[10:14:41.848] [SEVERE ] updating countdown to 57441
[10:14:41.870] [SEVERE ] updating countdown to 57418
[10:14:41.892] [SEVERE ] updating countdown to 57396
[10:14:41.914] [SEVERE ] updating countdown to 57374
[10:14:41.936] [SEVERE ] updating countdown to 57352
[10:14:41.957] [SEVERE ] updating countdown to 57331
[10:14:41.979] [SEVERE ] updating countdown to 57309
[10:14:42.000] [SEVERE ] updating countdown to 57288
[10:14:42.021] [SEVERE ] updating countdown to 57267
[10:14:42.047] [SEVERE ] updating countdown to 57241
[10:14:42.069] [SEVERE ] updating countdown to 57219
[10:14:42.095] [SEVERE ] updating countdown to 57193
[10:14:42.119] [SEVERE ] updating countdown to 57169
[10:14:42.145] [SEVERE ] updating countdown to 57143
[10:14:42.168] [SEVERE ] updating countdown to 57120
[10:14:42.194] [SEVERE ] updating countdown to 57094
[10:14:42.215] [SEVERE ] updating countdown to 57073
[10:14:42.241] [SEVERE ] updating countdown to 57047
[10:14:42.265] [SEVERE ] updating countdown to 57023
[10:14:42.287] [SEVERE ] updating countdown to 57001
[10:14:42.308] [SEVERE ] updating countdown to 56980
[10:14:42.329] [SEVERE ] updating countdown to 56959
[10:14:42.351] [SEVERE ] updating countdown to 56937
[10:14:42.372] [SEVERE ] updating countdown to 56916
[10:14:42.400] [SEVERE ] updating countdown to 56888
[10:14:42.434] [SEVERE ] updating countdown to 56854
[10:14:42.456] [SEVERE ] updating countdown to 56832
[10:14:42.480] [SEVERE ] updating countdown to 56808
[10:14:42.503] [SEVERE ] updating countdown to 56785
[10:14:42.529] [SEVERE ] updating countdown to 56759
[10:14:42.555] [SEVERE ] updating countdown to 56733
[10:14:42.580] [SEVERE ] updating countdown to 56708
[10:14:42.606] [SEVERE ] updating countdown to 56682
[10:14:42.628] [SEVERE ] updating countdown to 56660
[10:14:42.650] [SEVERE ] updating countdown to 56638
[10:14:42.672] [SEVERE ] updating countdown to 56616
[10:14:42.697] [SEVERE ] updating countdown to 56591
[10:14:42.722] [SEVERE ] updating countdown to 56566
[10:14:42.748] [SEVERE ] updating countdown to 56540
[10:14:42.769] [SEVERE ] updating countdown to 56519
[10:14:42.795] [SEVERE ] updating countdown to 56493
[10:14:42.817] [SEVERE ] updating countdown to 56471
[10:14:42.838] [SEVERE ] updating countdown to 56450
[10:14:42.860] [SEVERE ] updating countdown to 56428
[10:14:42.886] [SEVERE ] updating countdown to 56402
[10:14:42.912] [SEVERE ] updating countdown to 56376
[10:14:42.937] [SEVERE ] updating countdown to 56351
[10:14:42.960] [SEVERE ] updating countdown to 56328
[10:14:42.982] [SEVERE ] updating countdown to 56306
[10:14:43.004] [SEVERE ] updating countdown to 56284
[10:14:43.032] [SEVERE ] updating countdown to 56257
[10:14:43.063] [SEVERE ] updating countdown to 56225
[10:14:43.085] [SEVERE ] updating countdown to 56203
[10:14:43.109] [SEVERE ] updating countdown to 56179
[10:14:43.135] [SEVERE ] updating countdown to 56153
[10:14:43.156] [SEVERE ] updating countdown to 56132
[10:14:43.178] [SEVERE ] updating countdown to 56110
[10:14:43.200] [SEVERE ] updating countdown to 56088
[10:14:43.221] [SEVERE ] updating countdown to 56067
[10:14:43.247] [SEVERE ] updating countdown to 56041
[10:14:43.269] [SEVERE ] updating countdown to 56019
[10:14:43.291] [SEVERE ] updating countdown to 55997
[10:14:43.315] [SEVERE ] updating countdown to 55973
[10:14:43.338] [SEVERE ] updating countdown to 55950
[10:14:43.362] [SEVERE ] updating countdown to 55926
[10:14:43.384] [SEVERE ] updating countdown to 55904
[10:14:43.407] [SEVERE ] updating countdown to 55881
[10:14:43.428] [SEVERE ] updating countdown to 55860
[10:14:43.454] [SEVERE ] updating countdown to 55834
[10:14:43.477] [SEVERE ] updating countdown to 55811
[10:14:43.497] [SEVERE ] updating countdown to 55791
[10:14:43.518] [SEVERE ] updating countdown to 55770
[10:14:43.539] [SEVERE ] updating countdown to 55749
[10:14:43.560] [SEVERE ] updating countdown to 55728
[10:14:43.582] [SEVERE ] updating countdown to 55706
[10:14:43.603] [SEVERE ] updating countdown to 55685
[10:14:43.624] [SEVERE ] updating countdown to 55664
[10:14:43.645] [SEVERE ] updating countdown to 55643
[10:14:43.669] [SEVERE ] updating countdown to 55619
[10:14:43.691] [SEVERE ] updating countdown to 55597
[10:14:43.715] [SEVERE ] updating countdown to 55573
[10:14:43.738] [SEVERE ] updating countdown to 55550
[10:14:43.763] [SEVERE ] updating countdown to 55525
[10:14:43.789] [SEVERE ] updating countdown to 55499
[10:14:43.811] [SEVERE ] updating countdown to 55477
[10:14:43.837] [SEVERE ] updating countdown to 55451
[10:14:43.861] [SEVERE ] updating countdown to 55427
[10:14:43.882] [SEVERE ] updating countdown to 55406
[10:14:43.903] [SEVERE ] updating countdown to 55385
[10:14:43.925] [SEVERE ] updating countdown to 55364
[10:14:43.946] [SEVERE ] updating countdown to 55342
[10:14:43.968] [SEVERE ] updating countdown to 55320
[10:14:43.990] [SEVERE ] updating countdown to 55298
[10:14:44.015] [SEVERE ] updating countdown to 55273
[10:14:44.036] [SEVERE ] updating countdown to 55252
[10:14:44.059] [SEVERE ] updating countdown to 55229
[10:14:44.081] [SEVERE ] updating countdown to 55207
[10:14:44.106] [SEVERE ] updating countdown to 55182
[10:14:44.128] [SEVERE ] updating countdown to 55160
[10:14:44.154] [SEVERE ] updating countdown to 55134
[10:14:44.180] [SEVERE ] updating countdown to 55108
[10:14:44.203] [SEVERE ] updating countdown to 55085
[10:14:44.225] [SEVERE ] updating countdown to 55063
[10:14:44.249] [SEVERE ] updating countdown to 55039
[10:14:44.275] [SEVERE ] updating countdown to 55013
[10:14:44.299] [SEVERE ] updating countdown to 54989
[10:14:44.323] [SEVERE ] updating countdown to 54965
[10:14:44.345] [SEVERE ] updating countdown to 54943
[10:14:44.370] [SEVERE ] updating countdown to 54918
[10:14:44.396] [SEVERE ] updating countdown to 54892
[10:14:44.422] [SEVERE ] updating countdown to 54866
[10:14:44.448] [SEVERE ] updating countdown to 54840
[10:14:44.473] [SEVERE ] updating countdown to 54815
[10:14:44.498] [SEVERE ] updating countdown to 54790
[10:14:44.522] [SEVERE ] updating countdown to 54766
[10:14:44.544] [SEVERE ] updating countdown to 54744
[10:14:44.566] [SEVERE ] updating countdown to 54722
[10:14:44.589] [SEVERE ] updating countdown to 54699
[10:14:44.610] [SEVERE ] updating countdown to 54678
[10:14:44.631] [SEVERE ] updating countdown to 54657
[10:14:44.653] [SEVERE ] updating countdown to 54635
[10:14:44.675] [SEVERE ] updating countdown to 54613
[10:14:44.696] [SEVERE ] updating countdown to 54592
[10:14:44.722] [SEVERE ] updating countdown to 54566
[10:14:44.743] [SEVERE ] updating countdown to 54545
[10:14:44.765] [SEVERE ] updating countdown to 54523
[10:14:44.788] [SEVERE ] updating countdown to 54500
[10:14:44.810] [SEVERE ] updating countdown to 54478
[10:14:44.832] [SEVERE ] updating countdown to 54456
[10:14:44.853] [SEVERE ] updating countdown to 54435
[10:14:44.878] [SEVERE ] updating countdown to 54410
[10:14:44.899] [SEVERE ] updating countdown to 54389
[10:14:44.921] [SEVERE ] updating countdown to 54367
[10:14:44.942] [SEVERE ] updating countdown to 54346
[10:14:44.964] [SEVERE ] updating countdown to 54324
[10:14:44.987] [SEVERE ] updating countdown to 54301
[10:14:45.008] [SEVERE ] updating countdown to 54280
[10:14:45.030] [SEVERE ] updating countdown to 54258
[10:14:45.050] [SEVERE ] updating countdown to 54238
[10:14:45.072] [SEVERE ] updating countdown to 54216
[10:14:45.094] [SEVERE ] updating countdown to 54194
[10:14:45.119] [SEVERE ] updating countdown to 54169
[10:14:45.141] [SEVERE ] updating countdown to 54147
[10:14:45.164] [SEVERE ] updating countdown to 54124
[10:14:45.185] [SEVERE ] updating countdown to 54103
[10:14:45.206] [SEVERE ] updating countdown to 54082
[10:14:45.227] [SEVERE ] updating countdown to 54061
[10:14:45.249] [SEVERE ] updating countdown to 54039
[10:14:45.271] [SEVERE ] updating countdown to 54017
[10:14:45.296] [SEVERE ] updating countdown to 53992
[10:14:45.322] [SEVERE ] updating countdown to 53966
[10:14:45.348] [SEVERE ] updating countdown to 53940
[10:14:45.371] [SEVERE ] updating countdown to 53917
[10:14:45.395] [SEVERE ] updating countdown to 53893
[10:14:45.417] [SEVERE ] updating countdown to 53871
[10:14:45.440] [SEVERE ] updating countdown to 53848
[10:14:45.463] [SEVERE ] updating countdown to 53825
[10:14:45.489] [SEVERE ] updating countdown to 53799
[10:14:45.510] [SEVERE ] updating countdown to 53778
[10:14:45.532] [SEVERE ] updating countdown to 53757
[10:14:45.557] [SEVERE ] updating countdown to 53731
[10:14:45.579] [SEVERE ] updating countdown to 53709
[10:14:45.599] [SEVERE ] updating countdown to 53689
[10:14:45.619] [SEVERE ] updating countdown to 53669
[10:14:45.640] [SEVERE ] updating countdown to 53648
[10:14:45.662] [SEVERE ] updating countdown to 53626
[10:14:45.684] [SEVERE ] updating countdown to 53604
[10:14:45.707] [SEVERE ] updating countdown to 53581
[10:14:45.733] [SEVERE ] updating countdown to 53555
[10:14:45.754] [SEVERE ] updating countdown to 53534
[10:14:45.775] [SEVERE ] updating countdown to 53513
[10:14:45.797] [SEVERE ] updating countdown to 53491
[10:14:45.819] [SEVERE ] updating countdown to 53469
[10:14:45.842] [SEVERE ] updating countdown to 53446
[10:14:45.866] [SEVERE ] updating countdown to 53422
[10:14:45.888] [SEVERE ] updating countdown to 53400
[10:14:45.910] [SEVERE ] updating countdown to 53378
[10:14:45.932] [SEVERE ] updating countdown to 53356
[10:14:45.953] [SEVERE ] updating countdown to 53335
[10:14:45.974] [SEVERE ] updating countdown to 53314
[10:14:45.996] [SEVERE ] updating countdown to 53292
[10:14:46.017] [SEVERE ] updating countdown to 53271
[10:14:46.039] [SEVERE ] updating countdown to 53249
[10:14:46.061] [SEVERE ] updating countdown to 53227
[10:14:46.082] [SEVERE ] updating countdown to 53206
[10:14:46.104] [SEVERE ] updating countdown to 53184
[10:14:46.124] [SEVERE ] updating countdown to 53164
[10:14:46.145] [SEVERE ] updating countdown to 53143
[10:14:46.167] [SEVERE ] updating countdown to 53121
[10:14:46.188] [SEVERE ] updating countdown to 53100
[10:14:46.209] [SEVERE ] updating countdown to 53079
[10:14:46.231] [SEVERE ] updating countdown to 53057
[10:14:46.252] [SEVERE ] updating countdown to 53036
[10:14:46.273] [SEVERE ] updating countdown to 53015
[10:14:46.295] [SEVERE ] updating countdown to 52993
[10:14:46.316] [SEVERE ] updating countdown to 52972
[10:14:46.338] [SEVERE ] updating countdown to 52951
[10:14:46.359] [SEVERE ] updating countdown to 52929
[10:14:46.379] [SEVERE ] updating countdown to 52909
[10:14:46.401] [SEVERE ] updating countdown to 52887
[10:14:46.423] [SEVERE ] updating countdown to 52865
[10:14:46.444] [SEVERE ] updating countdown to 52844
[10:14:46.464] [SEVERE ] updating countdown to 52824
[10:14:46.485] [SEVERE ] updating countdown to 52803
[10:14:46.506] [SEVERE ] updating countdown to 52782
[10:14:46.527] [SEVERE ] updating countdown to 52761
[10:14:46.549] [SEVERE ] updating countdown to 52739
[10:14:46.571] [SEVERE ] updating countdown to 52717
[10:14:46.593] [SEVERE ] updating countdown to 52695
[10:14:46.614] [SEVERE ] updating countdown to 52674
[10:14:46.635] [SEVERE ] updating countdown to 52653
[10:14:46.656] [SEVERE ] updating countdown to 52632
[10:14:46.677] [SEVERE ] updating countdown to 52611
[10:14:46.700] [SEVERE ] updating countdown to 52588
[10:14:46.722] [SEVERE ] updating countdown to 52566
[10:14:46.742] [SEVERE ] updating countdown to 52546
[10:14:46.763] [SEVERE ] updating countdown to 52525
[10:14:46.786] [SEVERE ] updating countdown to 52502
[10:14:46.806] [SEVERE ] updating countdown to 52482
[10:14:46.827] [SEVERE ] updating countdown to 52461
[10:14:46.848] [SEVERE ] updating countdown to 52440
[10:14:46.869] [SEVERE ] updating countdown to 52419
[10:14:46.890] [SEVERE ] updating countdown to 52398
[10:14:46.911] [SEVERE ] updating countdown to 52377
[10:14:46.932] [SEVERE ] updating countdown to 52356
[10:14:46.953] [SEVERE ] updating countdown to 52335
[10:14:46.974] [SEVERE ] updating countdown to 52314
[10:14:46.995] [SEVERE ] updating countdown to 52293
[10:14:47.016] [SEVERE ] updating countdown to 52272
[10:14:47.038] [SEVERE ] updating countdown to 52250
[10:14:47.060] [SEVERE ] updating countdown to 52228
[10:14:47.082] [SEVERE ] updating countdown to 52206
[10:14:47.103] [SEVERE ] updating countdown to 52185
[10:14:47.125] [SEVERE ] updating countdown to 52163
[10:14:47.147] [SEVERE ] updating countdown to 52141
[10:14:47.168] [SEVERE ] updating countdown to 52120
[10:14:47.190] [SEVERE ] updating countdown to 52098
[10:14:47.211] [SEVERE ] updating countdown to 52077
[10:14:47.233] [SEVERE ] updating countdown to 52055
[10:14:47.255] [SEVERE ] updating countdown to 52033
[10:14:47.276] [SEVERE ] updating countdown to 52012
[10:14:47.297] [SEVERE ] updating countdown to 51991
[10:14:47.318] [SEVERE ] updating countdown to 51970
[10:14:47.339] [SEVERE ] updating countdown to 51949
[10:14:47.361] [SEVERE ] updating countdown to 51927
[10:14:47.381] [SEVERE ] updating countdown to 51907
[10:14:47.404] [SEVERE ] updating countdown to 51884
[10:14:47.425] [SEVERE ] updating countdown to 51863
[10:14:47.445] [SEVERE ] updating countdown to 51843
[10:14:47.467] [SEVERE ] updating countdown to 51821
[10:14:47.489] [SEVERE ] updating countdown to 51799
[10:14:47.509] [SEVERE ] updating countdown to 51779
[10:14:47.530] [SEVERE ] updating countdown to 51758
[10:14:47.551] [SEVERE ] updating countdown to 51737
[10:14:47.572] [SEVERE ] updating countdown to 51716
[10:14:47.598] [SEVERE ] updating countdown to 51690
[10:14:47.620] [SEVERE ] updating countdown to 51668
[10:14:47.642] [SEVERE ] updating countdown to 51646
[10:14:47.667] [SEVERE ] updating countdown to 51621
[10:14:47.691] [SEVERE ] updating countdown to 51597
[10:14:47.712] [SEVERE ] updating countdown to 51576
[10:14:47.734] [SEVERE ] updating countdown to 51554
[10:14:47.756] [SEVERE ] updating countdown to 51532
[10:14:47.777] [SEVERE ] updating countdown to 51511
[10:14:47.798] [SEVERE ] updating countdown to 51490
[10:14:47.820] [SEVERE ] updating countdown to 51468
[10:14:47.840] [SEVERE ] updating countdown to 51448
[10:14:47.861] [SEVERE ] updating countdown to 51427
[10:14:47.884] [SEVERE ] updating countdown to 51404
[10:14:47.906] [SEVERE ] updating countdown to 51382
[10:14:47.926] [SEVERE ] updating countdown to 51362
[10:14:47.948] [SEVERE ] updating countdown to 51340
[10:14:47.968] [SEVERE ] updating countdown to 51320
[10:14:47.990] [SEVERE ] updating countdown to 51298
[10:14:48.012] [SEVERE ] updating countdown to 51276
[10:14:48.034] [SEVERE ] updating countdown to 51254
[10:14:48.054] [SEVERE ] updating countdown to 51234
[10:14:48.075] [SEVERE ] updating countdown to 51213
[10:14:48.097] [SEVERE ] updating countdown to 51191
[10:14:48.123] [SEVERE ] updating countdown to 51165
[10:14:48.145] [SEVERE ] updating countdown to 51143
[10:14:48.170] [SEVERE ] updating countdown to 51118
[10:14:48.190] [SEVERE ] updating countdown to 51098
[10:14:48.212] [SEVERE ] updating countdown to 51076
[10:14:48.233] [SEVERE ] updating countdown to 51055
[10:14:48.253] [SEVERE ] updating countdown to 51035
[10:14:48.275] [SEVERE ] updating countdown to 51013
[10:14:48.295] [SEVERE ] updating countdown to 50993
[10:14:48.316] [SEVERE ] updating countdown to 50972
[10:14:48.337] [SEVERE ] updating countdown to 50951
[10:14:48.358] [SEVERE ] updating countdown to 50930
[10:14:48.379] [SEVERE ] updating countdown to 50909
[10:14:48.400] [SEVERE ] updating countdown to 50888
[10:14:48.421] [SEVERE ] updating countdown to 50867
[10:14:48.442] [SEVERE ] updating countdown to 50846
[10:14:48.464] [SEVERE ] updating countdown to 50824
[10:14:48.484] [SEVERE ] updating countdown to 50804
[10:14:48.506] [SEVERE ] updating countdown to 50782
[10:14:48.526] [SEVERE ] updating countdown to 50762
[10:14:48.547] [SEVERE ] updating countdown to 50741
[10:14:48.568] [SEVERE ] updating countdown to 50720
[10:14:48.590] [SEVERE ] updating countdown to 50698
[10:14:48.611] [SEVERE ] updating countdown to 50677
[10:14:48.632] [SEVERE ] updating countdown to 50656
[10:14:48.653] [SEVERE ] updating countdown to 50635
[10:14:48.675] [SEVERE ] updating countdown to 50613
