[09:59:23.436] [INFO   ] thread main starting.
[09:59:23.442] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:59:23.444] [SEVERE ] configuration file was loaded from resources directory.
[09:59:28.787] [INFO   ] thread dealer starting.
[09:59:28.787] [INFO   ] thread playerID: 0 starting.
[09:59:28.787] [INFO   ] thread dealer starting.
[09:59:28.787] [INFO   ] thread playerID: 1 starting.
[09:59:28.791] [SEVERE ] updating countdown to 60000
[09:59:28.894] [SEVERE ] placing card 32 in slot 7
[09:59:28.997] [SEVERE ] placing card 14 in slot 9
[09:59:29.098] [SEVERE ] placing card 18 in slot 11
[09:59:29.200] [SEVERE ] placing card 5 in slot 4
[09:59:29.302] [SEVERE ] placing card 38 in slot 0
[09:59:29.405] [SEVERE ] placing card 79 in slot 1
[09:59:29.507] [SEVERE ] placing card 71 in slot 3
[09:59:29.609] [SEVERE ] placing card 56 in slot 6
[09:59:29.712] [SEVERE ] placing card 76 in slot 2
[09:59:29.814] [SEVERE ] placing card 73 in slot 8
[09:59:29.916] [SEVERE ] placing card 42 in slot 10
[09:59:30.018] [SEVERE ] placing card 44 in slot 5
[09:59:30.039] [SEVERE ] updating countdown to 58752
[09:59:30.063] [SEVERE ] updating countdown to 58728
[09:59:30.086] [SEVERE ] updating countdown to 58705
[09:59:30.109] [SEVERE ] updating countdown to 58682
[09:59:30.132] [SEVERE ] updating countdown to 58659
[09:59:30.154] [SEVERE ] updating countdown to 58637
[09:59:30.176] [SEVERE ] updating countdown to 58615
[09:59:30.198] [SEVERE ] updating countdown to 58593
[09:59:30.219] [SEVERE ] updating countdown to 58572
[09:59:30.241] [SEVERE ] updating countdown to 58550
[09:59:30.263] [SEVERE ] updating countdown to 58528
[09:59:30.285] [SEVERE ] updating countdown to 58506
[09:59:30.307] [SEVERE ] updating countdown to 58484
[09:59:30.328] [SEVERE ] updating countdown to 58463
[09:59:30.350] [SEVERE ] updating countdown to 58441
[09:59:30.372] [SEVERE ] updating countdown to 58419
[09:59:30.394] [SEVERE ] updating countdown to 58397
[09:59:30.419] [SEVERE ] updating countdown to 58372
[09:59:30.441] [SEVERE ] updating countdown to 58350
[09:59:30.467] [SEVERE ] updating countdown to 58324
[09:59:30.490] [SEVERE ] updating countdown to 58301
[09:59:30.514] [SEVERE ] updating countdown to 58277
[09:59:30.535] [SEVERE ] updating countdown to 58256
[09:59:30.556] [SEVERE ] updating countdown to 58235
[09:59:30.582] [SEVERE ] updating countdown to 58209
[09:59:30.604] [SEVERE ] updating countdown to 58187
[09:59:30.630] [SEVERE ] updating countdown to 58161
[09:59:30.651] [SEVERE ] updating countdown to 58140
[09:59:30.677] [SEVERE ] updating countdown to 58114
[09:59:30.699] [SEVERE ] updating countdown to 58092
[09:59:30.720] [SEVERE ] updating countdown to 58071
[09:59:30.745] [SEVERE ] updating countdown to 58046
[09:59:30.771] [SEVERE ] updating countdown to 58020
[09:59:30.793] [SEVERE ] updating countdown to 57998
[09:59:30.817] [SEVERE ] updating countdown to 57974
[09:59:30.839] [SEVERE ] updating countdown to 57952
[09:59:30.861] [SEVERE ] updating countdown to 57930
[09:59:30.886] [SEVERE ] updating countdown to 57905
[09:59:30.908] [SEVERE ] updating countdown to 57883
[09:59:30.934] [SEVERE ] updating countdown to 57857
[09:59:30.959] [SEVERE ] updating countdown to 57832
[09:59:30.981] [SEVERE ] updating countdown to 57810
[09:59:31.003] [SEVERE ] updating countdown to 57788
[09:59:31.029] [SEVERE ] updating countdown to 57762
[09:59:31.050] [SEVERE ] updating countdown to 57741
[09:59:31.075] [SEVERE ] updating countdown to 57716
[09:59:31.097] [SEVERE ] updating countdown to 57694
[09:59:31.119] [SEVERE ] updating countdown to 57672
[09:59:31.145] [SEVERE ] updating countdown to 57646
[09:59:31.167] [SEVERE ] updating countdown to 57624
[09:59:31.190] [SEVERE ] updating countdown to 57601
[09:59:31.215] [SEVERE ] updating countdown to 57576
[09:59:31.238] [SEVERE ] updating countdown to 57553
[09:59:31.259] [SEVERE ] updating countdown to 57532
[09:59:31.281] [SEVERE ] updating countdown to 57510
[09:59:31.307] [SEVERE ] updating countdown to 57484
