[16:03:05.441] [INFO   ] thread main starting.
[16:03:05.447] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:03:05.449] [SEVERE ] configuration file was loaded from resources directory.
[16:03:10.587] [INFO   ] thread dealer starting.
[16:03:10.588] [INFO   ] thread dealer starting.
[16:03:10.588] [INFO   ] thread playerID: 1 starting.
[16:03:10.588] [INFO   ] thread playerID: 0 starting.
[16:03:10.591] [SEVERE ] updating countdown to 60000
[16:03:10.693] [SEVERE ] placing card 27 in slot 8
[16:03:10.796] [SEVERE ] placing card 74 in slot 1
[16:03:10.899] [SEVERE ] placing card 45 in slot 4
[16:03:11.002] [SEVERE ] placing card 16 in slot 0
[16:03:11.106] [SEVERE ] placing card 79 in slot 7
[16:03:11.209] [SEVERE ] placing card 73 in slot 10
[16:03:11.312] [SEVERE ] placing card 8 in slot 2
[16:03:11.412] [SEVERE ] placing card 60 in slot 9
[16:03:11.514] [SEVERE ] placing card 31 in slot 5
[16:03:11.615] [SEVERE ] placing card 20 in slot 11
[16:03:11.718] [SEVERE ] placing card 5 in slot 3
[16:03:11.822] [SEVERE ] placing card 71 in slot 6
[16:03:11.844] [SEVERE ] updating countdown to 58747
[16:03:11.867] [SEVERE ] updating countdown to 58724
[16:03:11.889] [SEVERE ] updating countdown to 58702
[16:03:11.914] [SEVERE ] updating countdown to 58677
[16:03:11.937] [SEVERE ] updating countdown to 58654
[16:03:11.958] [SEVERE ] updating countdown to 58633
[16:03:11.980] [SEVERE ] updating countdown to 58611
[16:03:12.002] [SEVERE ] updating countdown to 58589
[16:03:12.027] [SEVERE ] updating countdown to 58564
[16:03:12.049] [SEVERE ] updating countdown to 58542
[16:03:12.073] [SEVERE ] updating countdown to 58518
[16:03:12.097] [SEVERE ] updating countdown to 58494
[16:03:12.124] [SEVERE ] updating countdown to 58467
[16:03:12.148] [SEVERE ] updating countdown to 58443
[16:03:12.174] [SEVERE ] updating countdown to 58417
[16:03:12.197] [SEVERE ] updating countdown to 58394
[16:03:12.223] [SEVERE ] updating countdown to 58368
[16:03:12.247] [SEVERE ] updating countdown to 58344
[16:03:12.269] [SEVERE ] updating countdown to 58322
[16:03:12.291] [SEVERE ] updating countdown to 58300
[16:03:12.316] [SEVERE ] updating countdown to 58275
[16:03:12.342] [SEVERE ] updating countdown to 58249
[16:03:12.368] [SEVERE ] updating countdown to 58223
[16:03:12.390] [SEVERE ] updating countdown to 58201
[16:03:12.415] [SEVERE ] updating countdown to 58176
[16:03:12.442] [SEVERE ] updating countdown to 58149
[16:03:12.468] [SEVERE ] updating countdown to 58123
[16:03:12.491] [SEVERE ] updating countdown to 58100
[16:03:12.515] [SEVERE ] updating countdown to 58077
[16:03:12.539] [SEVERE ] updating countdown to 58052
[16:03:12.564] [SEVERE ] updating countdown to 58027
[16:03:12.589] [SEVERE ] updating countdown to 58002
[16:03:12.613] [SEVERE ] updating countdown to 57979
[16:03:12.639] [SEVERE ] updating countdown to 57952
[16:03:12.661] [SEVERE ] updating countdown to 57930
[16:03:12.684] [SEVERE ] updating countdown to 57907
[16:03:12.707] [SEVERE ] updating countdown to 57884
[16:03:12.732] [SEVERE ] updating countdown to 57859
[16:03:12.758] [SEVERE ] updating countdown to 57833
[16:03:12.784] [SEVERE ] updating countdown to 57807
[16:03:12.810] [SEVERE ] updating countdown to 57781
[16:03:12.836] [SEVERE ] updating countdown to 57755
[16:03:12.862] [SEVERE ] updating countdown to 57729
[16:03:12.883] [SEVERE ] updating countdown to 57708
[16:03:12.910] [SEVERE ] updating countdown to 57681
[16:03:12.935] [SEVERE ] updating countdown to 57656
[16:03:12.961] [SEVERE ] updating countdown to 57630
[16:03:12.986] [SEVERE ] updating countdown to 57605
[16:03:13.008] [SEVERE ] updating countdown to 57583
[16:03:13.032] [SEVERE ] updating countdown to 57559
[16:03:13.058] [SEVERE ] updating countdown to 57533
[16:03:13.081] [SEVERE ] updating countdown to 57510
[16:03:13.105] [SEVERE ] updating countdown to 57486
[16:03:13.127] [SEVERE ] updating countdown to 57464
[16:03:13.153] [SEVERE ] updating countdown to 57438
[16:03:13.176] [SEVERE ] updating countdown to 57415
[16:03:13.200] [SEVERE ] updating countdown to 57391
[16:03:13.222] [SEVERE ] updating countdown to 57369
[16:03:13.243] [SEVERE ] updating countdown to 57348
[16:03:13.263] [SEVERE ] updating countdown to 57328
[16:03:13.285] [SEVERE ] updating countdown to 57306
[16:03:13.306] [SEVERE ] updating countdown to 57285
[16:03:13.328] [SEVERE ] updating countdown to 57263
[16:03:13.349] [SEVERE ] updating countdown to 57242
[16:03:13.372] [SEVERE ] updating countdown to 57219
[16:03:13.394] [SEVERE ] updating countdown to 57197
[16:03:13.417] [SEVERE ] updating countdown to 57174
[16:03:13.440] [SEVERE ] updating countdown to 57151
[16:03:13.462] [SEVERE ] updating countdown to 57129
[16:03:13.486] [SEVERE ] updating countdown to 57105
[16:03:13.511] [SEVERE ] updating countdown to 57080
[16:03:13.533] [SEVERE ] updating countdown to 57058
[16:03:13.558] [SEVERE ] updating countdown to 57033
[16:03:13.581] [SEVERE ] updating countdown to 57010
[16:03:13.604] [SEVERE ] updating countdown to 56987
[16:03:13.628] [SEVERE ] updating countdown to 56963
[16:03:13.652] [SEVERE ] updating countdown to 56939
[16:03:13.674] [SEVERE ] updating countdown to 56917
[16:03:13.700] [SEVERE ] updating countdown to 56891
[16:03:13.726] [SEVERE ] updating countdown to 56865
[16:03:13.752] [SEVERE ] updating countdown to 56839
[16:03:13.778] [SEVERE ] updating countdown to 56813
[16:03:13.803] [SEVERE ] updating countdown to 56788
[16:03:13.827] [SEVERE ] updating countdown to 56764
[16:03:13.853] [SEVERE ] updating countdown to 56738
[16:03:13.874] [SEVERE ] updating countdown to 56717
[16:03:13.895] [SEVERE ] updating countdown to 56696
[16:03:13.920] [SEVERE ] updating countdown to 56671
[16:03:13.942] [SEVERE ] updating countdown to 56649
[16:03:13.967] [SEVERE ] updating countdown to 56624
[16:03:13.991] [SEVERE ] updating countdown to 56600
[16:03:14.012] [SEVERE ] updating countdown to 56579
[16:03:14.035] [SEVERE ] updating countdown to 56556
[16:03:14.057] [SEVERE ] updating countdown to 56535
