[16:54:47.628] [INFO   ] thread main starting.
[16:54:47.635] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:54:47.638] [SEVERE ] configuration file was loaded from resources directory.
[16:54:48.012] [INFO   ] thread dealer starting.
[16:54:48.013] [INFO   ] thread playerID: 0 starting.
[16:54:48.013] [INFO   ] thread dealer starting.
[16:54:48.013] [INFO   ] thread playerID: 1 starting.
[16:54:48.016] [SEVERE ] updating countdown to 60000
[16:54:48.119] [SEVERE ] placing card 7 in slot 6
[16:54:48.222] [SEVERE ] placing card 23 in slot 3
[16:54:48.323] [SEVERE ] placing card 66 in slot 5
[16:54:48.425] [SEVERE ] placing card 24 in slot 9
[16:54:48.531] [SEVERE ] placing card 68 in slot 11
[16:54:48.635] [SEVERE ] placing card 9 in slot 4
[16:54:48.737] [SEVERE ] placing card 26 in slot 7
[16:54:48.839] [SEVERE ] placing card 22 in slot 1
[16:54:48.941] [SEVERE ] placing card 70 in slot 8
[16:54:49.042] [SEVERE ] placing card 73 in slot 10
[16:54:49.145] [SEVERE ] placing card 34 in slot 2
[16:54:49.248] [SEVERE ] placing card 0 in slot 0
[16:54:49.271] [SEVERE ] updating countdown to 58745
[16:54:49.295] [SEVERE ] updating countdown to 58721
[16:54:49.319] [SEVERE ] updating countdown to 58697
[16:54:49.341] [SEVERE ] updating countdown to 58675
[16:54:49.365] [SEVERE ] updating countdown to 58651
[16:54:49.387] [SEVERE ] updating countdown to 58629
[16:54:49.409] [SEVERE ] updating countdown to 58607
[16:54:49.430] [SEVERE ] updating countdown to 58586
[16:54:49.452] [SEVERE ] updating countdown to 58564
[16:54:49.474] [SEVERE ] updating countdown to 58542
[16:54:49.496] [SEVERE ] updating countdown to 58520
[16:54:49.517] [SEVERE ] updating countdown to 58499
[16:54:49.540] [SEVERE ] updating countdown to 58476
[16:54:49.562] [SEVERE ] updating countdown to 58454
[16:54:49.583] [SEVERE ] updating countdown to 58434
[16:54:49.608] [SEVERE ] updating countdown to 58408
[16:54:49.634] [SEVERE ] updating countdown to 58382
[16:54:49.660] [SEVERE ] updating countdown to 58356
[16:54:49.683] [SEVERE ] updating countdown to 58333
[16:54:49.706] [SEVERE ] updating countdown to 58310
[16:54:49.731] [SEVERE ] updating countdown to 58285
[16:54:49.757] [SEVERE ] updating countdown to 58259
[16:54:49.779] [SEVERE ] updating countdown to 58237
[16:54:49.805] [SEVERE ] updating countdown to 58211
[16:54:49.831] [SEVERE ] updating countdown to 58185
[16:54:49.855] [SEVERE ] updating countdown to 58161
[16:54:49.880] [SEVERE ] updating countdown to 58136
[16:54:49.902] [SEVERE ] updating countdown to 58114
[16:54:49.925] [SEVERE ] updating countdown to 58091
[16:54:49.947] [SEVERE ] updating countdown to 58069
[16:54:49.970] [SEVERE ] updating countdown to 58046
[16:54:49.992] [SEVERE ] updating countdown to 58024
[16:54:50.015] [SEVERE ] updating countdown to 58001
[16:54:50.040] [SEVERE ] updating countdown to 57976
[16:54:50.067] [SEVERE ] updating countdown to 57949
[16:54:50.090] [SEVERE ] updating countdown to 57926
[16:54:50.114] [SEVERE ] updating countdown to 57902
[16:54:50.135] [SEVERE ] updating countdown to 57881
[16:54:50.160] [SEVERE ] updating countdown to 57856
[16:54:50.182] [SEVERE ] updating countdown to 57834
[16:54:50.204] [SEVERE ] updating countdown to 57812
[16:54:50.226] [SEVERE ] updating countdown to 57790
[16:54:50.250] [SEVERE ] updating countdown to 57766
[16:54:50.271] [SEVERE ] updating countdown to 57745
[16:54:50.294] [SEVERE ] updating countdown to 57722
[16:54:50.315] [SEVERE ] updating countdown to 57701
[16:54:50.339] [SEVERE ] updating countdown to 57677
[16:54:50.360] [SEVERE ] updating countdown to 57656
[16:54:50.382] [SEVERE ] updating countdown to 57634
[16:54:50.403] [SEVERE ] updating countdown to 57613
[16:54:50.424] [SEVERE ] updating countdown to 57592
[16:54:50.450] [SEVERE ] updating countdown to 57566
[16:54:50.476] [SEVERE ] updating countdown to 57540
[16:54:50.501] [SEVERE ] updating countdown to 57515
[16:54:50.527] [SEVERE ] updating countdown to 57489
[16:54:50.550] [SEVERE ] updating countdown to 57466
[16:54:50.574] [SEVERE ] updating countdown to 57442
[16:54:50.601] [SEVERE ] updating countdown to 57415
[16:54:50.625] [SEVERE ] updating countdown to 57391
[16:54:50.650] [SEVERE ] updating countdown to 57366
[16:54:50.671] [SEVERE ] updating countdown to 57345
[16:54:50.694] [SEVERE ] updating countdown to 57322
[16:54:50.715] [SEVERE ] updating countdown to 57301
[16:54:50.737] [SEVERE ] updating countdown to 57279
[16:54:50.763] [SEVERE ] updating countdown to 57253
[16:54:50.787] [SEVERE ] updating countdown to 57229
[16:54:50.811] [SEVERE ] updating countdown to 57205
[16:54:50.835] [SEVERE ] updating countdown to 57181
[16:54:50.860] [SEVERE ] updating countdown to 57156
[16:54:50.881] [SEVERE ] updating countdown to 57135
[16:54:50.908] [SEVERE ] updating countdown to 57108
[16:54:50.930] [SEVERE ] updating countdown to 57086
[16:54:50.953] [SEVERE ] updating countdown to 57063
[16:54:50.977] [SEVERE ] updating countdown to 57040
[16:54:50.997] [SEVERE ] updating countdown to 57019
[16:54:51.019] [SEVERE ] updating countdown to 56997
[16:54:51.042] [SEVERE ] updating countdown to 56974
[16:54:51.066] [SEVERE ] updating countdown to 56950
[16:54:51.088] [SEVERE ] updating countdown to 56928
[16:54:51.111] [SEVERE ] updating countdown to 56905
[16:54:51.135] [SEVERE ] updating countdown to 56881
[16:54:51.156] [SEVERE ] updating countdown to 56860
[16:54:51.177] [SEVERE ] updating countdown to 56839
[16:54:51.199] [SEVERE ] updating countdown to 56817
[16:54:51.220] [SEVERE ] updating countdown to 56796
[16:54:51.241] [SEVERE ] updating countdown to 56775
[16:54:51.264] [SEVERE ] updating countdown to 56752
[16:54:51.286] [SEVERE ] updating countdown to 56730
[16:54:51.307] [SEVERE ] updating countdown to 56709
[16:54:51.328] [SEVERE ] updating countdown to 56688
[16:54:51.349] [SEVERE ] updating countdown to 56667
[16:54:51.371] [SEVERE ] updating countdown to 56645
[16:54:51.393] [SEVERE ] updating countdown to 56623
[16:54:51.415] [SEVERE ] updating countdown to 56601
[16:54:51.437] [SEVERE ] updating countdown to 56579
[16:54:51.458] [SEVERE ] updating countdown to 56558
[16:54:51.480] [SEVERE ] updating countdown to 56536
[16:54:51.500] [SEVERE ] updating countdown to 56516
[16:54:51.522] [SEVERE ] updating countdown to 56494
[16:54:51.542] [SEVERE ] updating countdown to 56474
[16:54:51.564] [SEVERE ] updating countdown to 56452
[16:54:51.584] [SEVERE ] updating countdown to 56432
[16:54:51.607] [SEVERE ] updating countdown to 56409
[16:54:51.628] [SEVERE ] updating countdown to 56388
[16:54:51.648] [SEVERE ] updating countdown to 56368
[16:54:51.672] [SEVERE ] updating countdown to 56344
[16:54:51.694] [SEVERE ] updating countdown to 56322
[16:54:51.718] [SEVERE ] updating countdown to 56298
[16:54:51.743] [SEVERE ] updating countdown to 56273
[16:54:51.765] [SEVERE ] updating countdown to 56251
[16:54:51.787] [SEVERE ] updating countdown to 56229
[16:54:51.807] [SEVERE ] updating countdown to 56209
[16:54:51.829] [SEVERE ] updating countdown to 56187
[16:54:51.850] [SEVERE ] updating countdown to 56166
[16:54:51.872] [SEVERE ] updating countdown to 56144
[16:54:51.892] [SEVERE ] updating countdown to 56124
[16:54:51.913] [SEVERE ] updating countdown to 56103
[16:54:51.934] [SEVERE ] updating countdown to 56082
[16:54:51.956] [SEVERE ] updating countdown to 56060
[16:54:51.978] [SEVERE ] updating countdown to 56038
[16:54:52.000] [SEVERE ] updating countdown to 56016
[16:54:52.020] [SEVERE ] updating countdown to 55996
[16:54:52.041] [SEVERE ] updating countdown to 55975
[16:54:52.062] [SEVERE ] updating countdown to 55954
[16:54:52.086] [SEVERE ] updating countdown to 55930
[16:54:52.109] [SEVERE ] updating countdown to 55907
[16:54:52.132] [SEVERE ] updating countdown to 55884
[16:54:52.157] [SEVERE ] updating countdown to 55859
[16:54:52.179] [SEVERE ] updating countdown to 55837
[16:54:52.204] [SEVERE ] updating countdown to 55812
[16:54:52.230] [SEVERE ] updating countdown to 55786
[16:54:52.257] [SEVERE ] updating countdown to 55759
[16:54:52.284] [SEVERE ] updating countdown to 55732
[16:54:52.306] [SEVERE ] updating countdown to 55710
[16:54:52.332] [SEVERE ] updating countdown to 55684
[16:54:52.358] [SEVERE ] updating countdown to 55658
[16:54:52.382] [SEVERE ] updating countdown to 55634
[16:54:52.408] [SEVERE ] updating countdown to 55608
[16:54:52.431] [SEVERE ] updating countdown to 55585
[16:54:52.457] [SEVERE ] updating countdown to 55559
[16:54:52.483] [SEVERE ] updating countdown to 55533
[16:54:52.507] [SEVERE ] updating countdown to 55509
[16:54:52.529] [SEVERE ] updating countdown to 55487
[16:54:52.550] [SEVERE ] updating countdown to 55466
[16:54:52.571] [SEVERE ] updating countdown to 55445
[16:54:52.592] [SEVERE ] updating countdown to 55424
[16:54:52.613] [SEVERE ] updating countdown to 55403
[16:54:52.634] [SEVERE ] updating countdown to 55382
[16:54:52.656] [SEVERE ] updating countdown to 55360
[16:54:52.678] [SEVERE ] updating countdown to 55338
[16:54:52.703] [SEVERE ] updating countdown to 55313
[16:54:52.729] [SEVERE ] updating countdown to 55287
[16:54:52.755] [SEVERE ] updating countdown to 55261
[16:54:52.781] [SEVERE ] updating countdown to 55235
[16:54:52.807] [SEVERE ] updating countdown to 55209
[16:54:52.833] [SEVERE ] updating countdown to 55183
[16:54:52.859] [SEVERE ] updating countdown to 55157
[16:54:52.880] [SEVERE ] updating countdown to 55136
[16:54:52.901] [SEVERE ] updating countdown to 55115
[16:54:52.922] [SEVERE ] updating countdown to 55094
[16:54:52.944] [SEVERE ] updating countdown to 55072
[16:54:52.966] [SEVERE ] updating countdown to 55050
[16:54:52.986] [SEVERE ] updating countdown to 55030
[16:54:53.007] [SEVERE ] updating countdown to 55009
[16:54:53.029] [SEVERE ] updating countdown to 54987
[16:54:53.049] [SEVERE ] updating countdown to 54967
[16:54:53.075] [SEVERE ] updating countdown to 54941
[16:54:53.101] [SEVERE ] updating countdown to 54915
[16:54:53.122] [SEVERE ] updating countdown to 54894
[16:54:53.145] [SEVERE ] updating countdown to 54871
[16:54:53.166] [SEVERE ] updating countdown to 54850
[16:54:53.188] [SEVERE ] updating countdown to 54828
[16:54:53.209] [SEVERE ] updating countdown to 54807
[16:54:53.234] [SEVERE ] updating countdown to 54782
[16:54:53.255] [SEVERE ] updating countdown to 54761
[16:54:53.277] [SEVERE ] updating countdown to 54739
[16:54:53.299] [SEVERE ] updating countdown to 54717
[16:54:53.321] [SEVERE ] updating countdown to 54695
[16:54:53.341] [SEVERE ] updating countdown to 54675
[16:54:53.363] [SEVERE ] updating countdown to 54653
[16:54:53.384] [SEVERE ] updating countdown to 54632
[16:54:53.406] [SEVERE ] updating countdown to 54610
[16:54:53.428] [SEVERE ] updating countdown to 54588
[16:54:53.449] [SEVERE ] updating countdown to 54567
[16:54:53.471] [SEVERE ] updating countdown to 54545
[16:54:53.492] [SEVERE ] updating countdown to 54524
[16:54:53.513] [SEVERE ] updating countdown to 54503
[16:54:53.536] [SEVERE ] updating countdown to 54480
[16:54:53.557] [SEVERE ] updating countdown to 54459
[16:54:53.579] [SEVERE ] updating countdown to 54437
[16:54:53.601] [SEVERE ] updating countdown to 54415
[16:54:53.626] [SEVERE ] updating countdown to 54390
[16:54:53.650] [SEVERE ] updating countdown to 54366
[16:54:53.672] [SEVERE ] updating countdown to 54344
[16:54:53.693] [SEVERE ] updating countdown to 54323
[16:54:53.714] [SEVERE ] updating countdown to 54302
[16:54:53.740] [SEVERE ] updating countdown to 54276
[16:54:53.762] [SEVERE ] updating countdown to 54254
[16:54:53.783] [SEVERE ] updating countdown to 54233
[16:54:53.805] [SEVERE ] updating countdown to 54211
[16:54:53.826] [SEVERE ] updating countdown to 54190
[16:54:53.847] [SEVERE ] updating countdown to 54169
[16:54:53.869] [SEVERE ] updating countdown to 54147
[16:54:53.890] [SEVERE ] updating countdown to 54126
[16:54:53.911] [SEVERE ] updating countdown to 54105
[16:54:53.933] [SEVERE ] updating countdown to 54083
[16:54:53.954] [SEVERE ] updating countdown to 54062
[16:54:53.976] [SEVERE ] updating countdown to 54040
[16:54:53.998] [SEVERE ] updating countdown to 54018
[16:54:54.019] [SEVERE ] updating countdown to 53997
[16:54:54.040] [SEVERE ] updating countdown to 53976
[16:54:54.061] [SEVERE ] updating countdown to 53955
[16:54:54.083] [SEVERE ] updating countdown to 53933
[16:54:54.105] [SEVERE ] updating countdown to 53911
[16:54:54.125] [SEVERE ] updating countdown to 53891
[16:54:54.146] [SEVERE ] updating countdown to 53870
[16:54:54.167] [SEVERE ] updating countdown to 53849
[16:54:54.188] [SEVERE ] updating countdown to 53828
[16:54:54.210] [SEVERE ] updating countdown to 53807
[16:54:54.231] [SEVERE ] updating countdown to 53785
[16:54:54.252] [SEVERE ] updating countdown to 53764
[16:54:54.274] [SEVERE ] updating countdown to 53742
[16:54:54.296] [SEVERE ] updating countdown to 53720
[16:54:54.316] [SEVERE ] updating countdown to 53700
[16:54:54.337] [SEVERE ] updating countdown to 53679
[16:54:54.358] [SEVERE ] updating countdown to 53658
[16:54:54.379] [SEVERE ] updating countdown to 53637
[16:54:54.400] [SEVERE ] updating countdown to 53616
[16:54:54.422] [SEVERE ] updating countdown to 53594
[16:54:54.444] [SEVERE ] updating countdown to 53572
[16:54:54.465] [SEVERE ] updating countdown to 53551
[16:54:54.486] [SEVERE ] updating countdown to 53530
[16:54:54.508] [SEVERE ] updating countdown to 53508
[16:54:54.530] [SEVERE ] updating countdown to 53486
[16:54:54.552] [SEVERE ] updating countdown to 53464
[16:54:54.572] [SEVERE ] updating countdown to 53444
[16:54:54.593] [SEVERE ] updating countdown to 53423
[16:54:54.614] [SEVERE ] updating countdown to 53402
[16:54:54.635] [SEVERE ] updating countdown to 53381
[16:54:54.656] [SEVERE ] updating countdown to 53360
[16:54:54.678] [SEVERE ] updating countdown to 53338
[16:54:54.699] [SEVERE ] updating countdown to 53317
[16:54:54.720] [SEVERE ] updating countdown to 53296
[16:54:54.742] [SEVERE ] updating countdown to 53274
[16:54:54.764] [SEVERE ] updating countdown to 53252
[16:54:54.784] [SEVERE ] updating countdown to 53232
[16:54:54.806] [SEVERE ] updating countdown to 53210
[16:54:54.828] [SEVERE ] updating countdown to 53188
[16:54:54.848] [SEVERE ] updating countdown to 53168
[16:54:54.870] [SEVERE ] updating countdown to 53146
[16:54:54.890] [SEVERE ] updating countdown to 53126
[16:54:54.911] [SEVERE ] updating countdown to 53105
[16:54:54.932] [SEVERE ] updating countdown to 53084
[16:54:54.955] [SEVERE ] updating countdown to 53061
[16:54:54.978] [SEVERE ] updating countdown to 53038
[16:54:54.998] [SEVERE ] updating countdown to 53018
[16:54:55.019] [SEVERE ] updating countdown to 52997
[16:54:55.041] [SEVERE ] updating countdown to 52975
[16:54:55.061] [SEVERE ] updating countdown to 52955
[16:54:55.083] [SEVERE ] updating countdown to 52933
[16:54:55.103] [SEVERE ] updating countdown to 52913
[16:54:55.125] [SEVERE ] updating countdown to 52891
[16:54:55.145] [SEVERE ] updating countdown to 52871
[16:54:55.166] [SEVERE ] updating countdown to 52850
[16:54:55.187] [SEVERE ] updating countdown to 52829
[16:54:55.209] [SEVERE ] updating countdown to 52807
[16:54:55.231] [SEVERE ] updating countdown to 52785
[16:54:55.252] [SEVERE ] updating countdown to 52764
[16:54:55.274] [SEVERE ] updating countdown to 52742
[16:54:55.296] [SEVERE ] updating countdown to 52720
[16:54:55.316] [SEVERE ] updating countdown to 52700
[16:54:55.337] [SEVERE ] updating countdown to 52679
[16:54:55.359] [SEVERE ] updating countdown to 52657
[16:54:55.380] [SEVERE ] updating countdown to 52636
[16:54:55.402] [SEVERE ] updating countdown to 52614
[16:54:55.423] [SEVERE ] updating countdown to 52593
[16:54:55.445] [SEVERE ] updating countdown to 52571
[16:54:55.465] [SEVERE ] updating countdown to 52551
[16:54:55.488] [SEVERE ] updating countdown to 52528
[16:54:55.509] [SEVERE ] updating countdown to 52507
[16:54:55.530] [SEVERE ] updating countdown to 52486
[16:54:55.551] [SEVERE ] updating countdown to 52465
[16:54:55.571] [SEVERE ] updating countdown to 52445
[16:54:55.592] [SEVERE ] updating countdown to 52424
[16:54:55.614] [SEVERE ] updating countdown to 52402
[16:54:55.635] [SEVERE ] updating countdown to 52381
[16:54:55.656] [SEVERE ] updating countdown to 52360
[16:54:55.679] [SEVERE ] updating countdown to 52337
[16:54:55.699] [SEVERE ] updating countdown to 52317
[16:54:55.720] [SEVERE ] updating countdown to 52296
[16:54:55.742] [SEVERE ] updating countdown to 52274
[16:54:55.763] [SEVERE ] updating countdown to 52253
[16:54:55.784] [SEVERE ] updating countdown to 52232
[16:54:55.806] [SEVERE ] updating countdown to 52210
[16:54:55.827] [SEVERE ] updating countdown to 52189
[16:54:55.848] [SEVERE ] updating countdown to 52168
[16:54:55.871] [SEVERE ] updating countdown to 52145
[16:54:55.891] [SEVERE ] updating countdown to 52125
[16:54:55.912] [SEVERE ] updating countdown to 52104
[16:54:55.934] [SEVERE ] updating countdown to 52082
[16:54:55.954] [SEVERE ] updating countdown to 52062
[16:54:55.976] [SEVERE ] updating countdown to 52040
[16:54:55.998] [SEVERE ] updating countdown to 52018
[16:54:56.018] [SEVERE ] updating countdown to 51998
[16:54:56.039] [SEVERE ] updating countdown to 51977
[16:54:56.061] [SEVERE ] updating countdown to 51955
[16:54:56.084] [SEVERE ] updating countdown to 51932
[16:54:56.105] [SEVERE ] updating countdown to 51911
[16:54:56.127] [SEVERE ] updating countdown to 51889
[16:54:56.148] [SEVERE ] updating countdown to 51868
[16:54:56.168] [SEVERE ] updating countdown to 51848
[16:54:56.189] [SEVERE ] updating countdown to 51827
[16:54:56.210] [SEVERE ] updating countdown to 51806
[16:54:56.231] [SEVERE ] updating countdown to 51785
[16:54:56.252] [SEVERE ] updating countdown to 51764
[16:54:56.273] [SEVERE ] updating countdown to 51743
[16:54:56.295] [SEVERE ] updating countdown to 51721
[16:54:56.316] [SEVERE ] updating countdown to 51700
[16:54:56.338] [SEVERE ] updating countdown to 51678
[16:54:56.358] [SEVERE ] updating countdown to 51658
[16:54:56.383] [SEVERE ] updating countdown to 51633
[16:54:56.408] [SEVERE ] updating countdown to 51608
[16:54:56.430] [SEVERE ] updating countdown to 51586
[16:54:56.452] [SEVERE ] updating countdown to 51564
[16:54:56.473] [SEVERE ] updating countdown to 51543
[16:54:56.495] [SEVERE ] updating countdown to 51521
[16:54:56.517] [SEVERE ] updating countdown to 51499
[16:54:56.542] [SEVERE ] updating countdown to 51474
[16:54:56.562] [SEVERE ] updating countdown to 51454
[16:54:56.585] [SEVERE ] updating countdown to 51431
[16:54:56.608] [SEVERE ] updating countdown to 51408
[16:54:56.629] [SEVERE ] updating countdown to 51387
[16:54:56.650] [SEVERE ] updating countdown to 51366
[16:54:56.673] [SEVERE ] updating countdown to 51343
[16:54:56.695] [SEVERE ] updating countdown to 51321
[16:54:56.718] [SEVERE ] updating countdown to 51298
[16:54:56.738] [SEVERE ] updating countdown to 51278
[16:54:56.760] [SEVERE ] updating countdown to 51256
[16:54:56.781] [SEVERE ] updating countdown to 51235
[16:54:56.806] [SEVERE ] updating countdown to 51210
[16:54:56.827] [SEVERE ] updating countdown to 51189
[16:54:56.848] [SEVERE ] updating countdown to 51168
[16:54:56.870] [SEVERE ] updating countdown to 51146
[16:54:56.890] [SEVERE ] updating countdown to 51126
[16:54:56.912] [SEVERE ] updating countdown to 51104
[16:54:56.934] [SEVERE ] updating countdown to 51082
[16:54:56.955] [SEVERE ] updating countdown to 51061
[16:54:56.977] [SEVERE ] updating countdown to 51039
[16:54:56.999] [SEVERE ] updating countdown to 51017
[16:54:57.020] [SEVERE ] updating countdown to 50996
[16:54:57.041] [SEVERE ] updating countdown to 50975
[16:54:57.063] [SEVERE ] updating countdown to 50953
[16:54:57.084] [SEVERE ] updating countdown to 50932
[16:54:57.105] [SEVERE ] updating countdown to 50911
[16:54:57.127] [SEVERE ] updating countdown to 50889
[16:54:57.148] [SEVERE ] updating countdown to 50868
[16:54:57.169] [SEVERE ] updating countdown to 50847
[16:54:57.190] [SEVERE ] updating countdown to 50826
[16:54:57.211] [SEVERE ] updating countdown to 50805
[16:54:57.233] [SEVERE ] updating countdown to 50783
[16:54:57.254] [SEVERE ] updating countdown to 50762
[16:54:57.276] [SEVERE ] updating countdown to 50740
[16:54:57.297] [SEVERE ] updating countdown to 50719
[16:54:57.318] [SEVERE ] updating countdown to 50698
[16:54:57.340] [SEVERE ] updating countdown to 50676
[16:54:57.362] [SEVERE ] updating countdown to 50654
[16:54:57.383] [SEVERE ] updating countdown to 50633
[16:54:57.405] [SEVERE ] updating countdown to 50611
[16:54:57.427] [SEVERE ] updating countdown to 50589
[16:54:57.447] [SEVERE ] updating countdown to 50569
[16:54:57.468] [SEVERE ] updating countdown to 50548
[16:54:57.494] [SEVERE ] updating countdown to 50522
[16:54:57.518] [SEVERE ] updating countdown to 50498
[16:54:57.544] [SEVERE ] updating countdown to 50472
