[11:19:19.564] [INFO   ] thread main starting.
[11:19:31.390] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:19:31.396] [SEVERE ] configuration file was loaded from resources directory.
[11:19:31.777] [INFO   ] thread dealer starting.
[11:19:38.248] [INFO   ] thread playerID: 0 starting.
[11:19:40.263] [INFO   ] thread playerID: 1 starting.
[11:19:40.264] [INFO   ] thread dealer starting.
[11:19:40.286] [SEVERE ] updating countdown to 60000
[11:19:40.395] [SEVERE ] placing card 10 in slot 0
[11:19:40.501] [SEVERE ] placing card 18 in slot 4
[11:19:40.604] [SEVERE ] placing card 58 in slot 6
[11:19:40.709] [SEVERE ] placing card 14 in slot 9
[11:19:40.813] [SEVERE ] placing card 39 in slot 7
[11:19:40.917] [SEVERE ] placing card 12 in slot 10
[11:19:41.024] [SEVERE ] placing card 36 in slot 5
[11:19:41.126] [SEVERE ] placing card 31 in slot 1
[11:19:41.230] [SEVERE ] placing card 4 in slot 2
[11:19:41.332] [SEVERE ] placing card 16 in slot 3
[11:19:41.435] [SEVERE ] placing card 62 in slot 11
[11:19:41.539] [SEVERE ] placing card 13 in slot 8
[11:19:41.568] [SEVERE ] updating countdown to 58717
[11:19:41.600] [SEVERE ] updating countdown to 58685
[11:19:41.630] [SEVERE ] updating countdown to 58655
[11:19:41.662] [SEVERE ] updating countdown to 58624
[11:19:41.689] [SEVERE ] updating countdown to 58596
[11:19:41.717] [SEVERE ] updating countdown to 58568
[11:19:41.752] [SEVERE ] updating countdown to 58533
[11:19:41.787] [SEVERE ] updating countdown to 58499
[11:19:41.817] [SEVERE ] updating countdown to 58468
[11:19:41.848] [SEVERE ] updating countdown to 58437
[11:19:41.878] [SEVERE ] updating countdown to 58407
[11:19:41.907] [SEVERE ] updating countdown to 58378
[11:19:41.937] [SEVERE ] updating countdown to 58348
[11:19:41.967] [SEVERE ] updating countdown to 58318
[11:19:41.996] [SEVERE ] updating countdown to 58289
[11:19:42.028] [SEVERE ] updating countdown to 58257
[11:19:42.063] [SEVERE ] updating countdown to 58222
[11:19:42.093] [SEVERE ] updating countdown to 58192
[11:19:42.121] [SEVERE ] updating countdown to 58164
[11:19:42.150] [SEVERE ] updating countdown to 58135
[11:19:42.182] [SEVERE ] updating countdown to 58103
[11:19:42.210] [SEVERE ] updating countdown to 58075
[11:19:42.240] [SEVERE ] updating countdown to 58045
[11:19:42.269] [SEVERE ] updating countdown to 58016
[11:19:42.298] [SEVERE ] updating countdown to 57987
[11:19:42.333] [SEVERE ] updating countdown to 57952
[11:19:42.367] [SEVERE ] updating countdown to 57918
[11:19:42.400] [SEVERE ] updating countdown to 57885
[11:19:42.430] [SEVERE ] updating countdown to 57855
[11:19:42.464] [SEVERE ] updating countdown to 57821
[11:19:42.493] [SEVERE ] updating countdown to 57792
[11:19:42.523] [SEVERE ] updating countdown to 57762
[11:19:42.553] [SEVERE ] updating countdown to 57732
[11:19:42.583] [SEVERE ] updating countdown to 57702
[11:19:42.613] [SEVERE ] updating countdown to 57672
[11:19:42.643] [SEVERE ] updating countdown to 57642
[11:19:42.671] [SEVERE ] updating countdown to 57614
[11:19:42.701] [SEVERE ] updating countdown to 57584
[11:19:42.732] [SEVERE ] updating countdown to 57553
[11:19:42.767] [SEVERE ] updating countdown to 57518
[11:19:42.798] [SEVERE ] updating countdown to 57487
[11:19:42.832] [SEVERE ] updating countdown to 57453
[11:19:42.866] [SEVERE ] updating countdown to 57419
[11:19:42.899] [SEVERE ] updating countdown to 57386
[11:19:42.933] [SEVERE ] updating countdown to 57352
[11:19:42.966] [SEVERE ] updating countdown to 57319
[11:19:42.996] [SEVERE ] updating countdown to 57289
[11:19:43.026] [SEVERE ] updating countdown to 57259
[11:19:43.059] [SEVERE ] updating countdown to 57226
[11:19:43.089] [SEVERE ] updating countdown to 57196
[11:19:43.123] [SEVERE ] updating countdown to 57162
[11:19:43.150] [SEVERE ] updating countdown to 57135
[11:19:43.179] [SEVERE ] updating countdown to 57106
[11:19:43.207] [SEVERE ] updating countdown to 57078
[11:19:43.236] [SEVERE ] updating countdown to 57049
[11:19:43.266] [SEVERE ] updating countdown to 57019
[11:19:43.295] [SEVERE ] updating countdown to 56990
[11:19:43.324] [SEVERE ] updating countdown to 56961
[11:19:43.352] [SEVERE ] updating countdown to 56933
[11:19:43.382] [SEVERE ] updating countdown to 56903
[11:19:43.412] [SEVERE ] updating countdown to 56873
[11:19:43.441] [SEVERE ] updating countdown to 56844
[11:19:43.472] [SEVERE ] updating countdown to 56813
[11:19:43.502] [SEVERE ] updating countdown to 56783
[11:19:43.535] [SEVERE ] updating countdown to 56750
[11:19:43.565] [SEVERE ] updating countdown to 56720
[11:19:43.596] [SEVERE ] updating countdown to 56689
[11:19:43.627] [SEVERE ] updating countdown to 56658
[11:19:43.656] [SEVERE ] updating countdown to 56629
[11:19:43.684] [SEVERE ] updating countdown to 56601
[11:19:43.717] [SEVERE ] updating countdown to 56568
[11:19:43.746] [SEVERE ] updating countdown to 56539
[11:19:43.779] [SEVERE ] updating countdown to 56506
[11:19:43.813] [SEVERE ] updating countdown to 56472
[11:19:43.844] [SEVERE ] updating countdown to 56441
[11:19:43.874] [SEVERE ] updating countdown to 56411
[11:19:43.905] [SEVERE ] updating countdown to 56380
[11:19:43.938] [SEVERE ] updating countdown to 56347
[11:19:43.965] [SEVERE ] updating countdown to 56320
[11:19:43.996] [SEVERE ] updating countdown to 56289
[11:19:44.027] [SEVERE ] updating countdown to 56258
[11:19:44.061] [SEVERE ] updating countdown to 56224
[11:19:44.092] [SEVERE ] updating countdown to 56194
[11:19:44.121] [SEVERE ] updating countdown to 56164
[11:19:44.151] [SEVERE ] updating countdown to 56134
[11:19:44.182] [SEVERE ] updating countdown to 56103
[11:19:44.213] [SEVERE ] updating countdown to 56072
[11:19:44.247] [SEVERE ] updating countdown to 56038
[11:19:44.280] [SEVERE ] updating countdown to 56005
[11:19:44.312] [SEVERE ] updating countdown to 55973
[11:19:44.341] [SEVERE ] updating countdown to 55944
[11:19:44.369] [SEVERE ] updating countdown to 55916
[11:19:44.397] [SEVERE ] updating countdown to 55888
[11:19:44.431] [SEVERE ] updating countdown to 55854
[11:19:44.465] [SEVERE ] updating countdown to 55820
[11:19:44.496] [SEVERE ] updating countdown to 55789
[11:19:44.524] [SEVERE ] updating countdown to 55761
[11:19:44.553] [SEVERE ] updating countdown to 55732
[11:19:44.587] [SEVERE ] updating countdown to 55698
[11:19:44.615] [SEVERE ] updating countdown to 55670
[11:19:44.649] [SEVERE ] updating countdown to 55636
[11:19:44.681] [SEVERE ] updating countdown to 55604
[11:19:44.710] [SEVERE ] updating countdown to 55575
[11:19:44.744] [SEVERE ] updating countdown to 55541
[11:19:44.775] [SEVERE ] updating countdown to 55511
[11:19:44.804] [SEVERE ] updating countdown to 55482
[11:19:44.838] [SEVERE ] updating countdown to 55448
[11:19:44.867] [SEVERE ] updating countdown to 55418
[11:19:44.898] [SEVERE ] updating countdown to 55387
[11:19:44.927] [SEVERE ] updating countdown to 55358
[11:19:44.956] [SEVERE ] updating countdown to 55329
[11:19:44.985] [SEVERE ] updating countdown to 55300
[11:19:45.015] [SEVERE ] updating countdown to 55270
[11:19:45.044] [SEVERE ] updating countdown to 55241
[11:19:45.073] [SEVERE ] updating countdown to 55213
[11:19:45.102] [SEVERE ] updating countdown to 55183
[11:19:45.131] [SEVERE ] updating countdown to 55154
[11:19:45.171] [SEVERE ] updating countdown to 55114
[11:19:45.200] [SEVERE ] updating countdown to 55085
[11:19:45.230] [SEVERE ] updating countdown to 55055
[11:19:45.266] [SEVERE ] updating countdown to 55019
[11:19:45.294] [SEVERE ] updating countdown to 54991
[11:19:45.325] [SEVERE ] updating countdown to 54960
[11:19:45.358] [SEVERE ] updating countdown to 54927
[11:19:45.391] [SEVERE ] updating countdown to 54894
[11:19:45.421] [SEVERE ] updating countdown to 54864
[11:19:45.452] [SEVERE ] updating countdown to 54834
[11:19:45.482] [SEVERE ] updating countdown to 54803
[11:19:45.513] [SEVERE ] updating countdown to 54772
[11:19:45.545] [SEVERE ] updating countdown to 54741
[11:19:45.577] [SEVERE ] updating countdown to 54708
[11:19:45.607] [SEVERE ] updating countdown to 54678
[11:19:45.637] [SEVERE ] updating countdown to 54648
[11:19:45.667] [SEVERE ] updating countdown to 54618
[11:19:45.697] [SEVERE ] updating countdown to 54588
[11:19:45.730] [SEVERE ] updating countdown to 54555
[11:19:45.766] [SEVERE ] updating countdown to 54519
[11:19:45.795] [SEVERE ] updating countdown to 54490
[11:19:45.824] [SEVERE ] updating countdown to 54461
[11:19:45.853] [SEVERE ] updating countdown to 54432
[11:19:45.886] [SEVERE ] updating countdown to 54399
[11:19:45.915] [SEVERE ] updating countdown to 54370
[11:19:45.970] [SEVERE ] updating countdown to 54315
[11:19:46.005] [SEVERE ] updating countdown to 54280
[11:19:46.040] [SEVERE ] updating countdown to 54246
[11:19:46.072] [SEVERE ] updating countdown to 54213
[11:19:46.105] [SEVERE ] updating countdown to 54181
[11:19:46.136] [SEVERE ] updating countdown to 54149
[11:19:46.166] [SEVERE ] updating countdown to 54119
[11:19:46.196] [SEVERE ] updating countdown to 54090
[11:19:46.231] [SEVERE ] updating countdown to 54054
[11:19:46.263] [SEVERE ] updating countdown to 54022
[11:19:46.299] [SEVERE ] updating countdown to 53987
[11:19:46.329] [SEVERE ] updating countdown to 53956
[11:19:46.364] [SEVERE ] updating countdown to 53921
[11:19:46.399] [SEVERE ] updating countdown to 53886
[11:19:46.434] [SEVERE ] updating countdown to 53851
[11:19:46.465] [SEVERE ] updating countdown to 53820
[11:19:46.500] [SEVERE ] updating countdown to 53785
[11:19:46.531] [SEVERE ] updating countdown to 53754
[11:19:46.563] [SEVERE ] updating countdown to 53722
[11:19:46.593] [SEVERE ] updating countdown to 53692
[11:19:46.623] [SEVERE ] updating countdown to 53662
[11:19:46.654] [SEVERE ] updating countdown to 53631
[11:19:46.685] [SEVERE ] updating countdown to 53600
[11:19:46.713] [SEVERE ] updating countdown to 53572
[11:19:46.743] [SEVERE ] updating countdown to 53542
[11:19:46.770] [SEVERE ] updating countdown to 53515
[11:19:46.805] [SEVERE ] updating countdown to 53480
[11:19:46.839] [SEVERE ] updating countdown to 53446
[11:19:46.873] [SEVERE ] updating countdown to 53412
[11:19:46.906] [SEVERE ] updating countdown to 53379
[11:19:46.939] [SEVERE ] updating countdown to 53346
[11:19:46.972] [SEVERE ] updating countdown to 53313
[11:19:47.006] [SEVERE ] updating countdown to 53279
[11:19:47.040] [SEVERE ] updating countdown to 53245
[11:19:47.073] [SEVERE ] updating countdown to 53212
[11:19:47.108] [SEVERE ] updating countdown to 53177
[11:19:47.138] [SEVERE ] updating countdown to 53147
[11:19:47.171] [SEVERE ] updating countdown to 53114
[11:19:47.205] [SEVERE ] updating countdown to 53080
[11:19:47.233] [SEVERE ] updating countdown to 53052
[11:19:47.266] [SEVERE ] updating countdown to 53019
[11:19:47.299] [SEVERE ] updating countdown to 52986
[11:19:47.328] [SEVERE ] updating countdown to 52957
[11:19:47.357] [SEVERE ] updating countdown to 52928
[11:19:47.387] [SEVERE ] updating countdown to 52898
[11:19:47.418] [SEVERE ] updating countdown to 52867
[11:19:47.447] [SEVERE ] updating countdown to 52838
[11:19:47.476] [SEVERE ] updating countdown to 52809
[11:19:47.503] [SEVERE ] updating countdown to 52782
[11:19:47.532] [SEVERE ] updating countdown to 52753
[11:19:47.560] [SEVERE ] updating countdown to 52725
[11:19:47.586] [SEVERE ] updating countdown to 52699
[11:19:47.615] [SEVERE ] updating countdown to 52670
[11:19:47.643] [SEVERE ] updating countdown to 52642
