[13:15:59.488] [INFO   ] thread main starting.
[13:15:59.493] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:15:59.495] [SEVERE ] configuration file was loaded from resources directory.
[13:15:59.819] [INFO   ] thread dealer starting.
[13:15:59.820] [INFO   ] thread playerID: 1 starting.
[13:15:59.820] [INFO   ] thread dealer starting.
[13:15:59.820] [INFO   ] thread playerID: 0 starting.
[13:15:59.826] [SEVERE ] updating countdown to 60000
[13:15:59.928] [SEVERE ] placing card 61 in slot 7
[13:16:00.033] [SEVERE ] placing card 36 in slot 4
[13:16:00.140] [SEVERE ] placing card 54 in slot 3
[13:16:00.246] [SEVERE ] placing card 10 in slot 8
[13:16:00.352] [SEVERE ] placing card 8 in slot 0
[13:16:00.455] [SEVERE ] placing card 46 in slot 10
[13:16:00.561] [SEVERE ] placing card 72 in slot 11
[13:16:00.664] [SEVERE ] placing card 28 in slot 9
[13:16:00.770] [SEVERE ] placing card 23 in slot 5
[13:16:00.876] [SEVERE ] placing card 67 in slot 2
[13:16:00.977] [SEVERE ] placing card 2 in slot 6
[13:16:01.081] [SEVERE ] placing card 34 in slot 1
[13:16:01.107] [SEVERE ] updating countdown to 58719
[13:16:01.132] [SEVERE ] updating countdown to 58694
[13:16:01.159] [SEVERE ] updating countdown to 58667
[13:16:01.181] [SEVERE ] updating countdown to 58645
[13:16:01.206] [SEVERE ] updating countdown to 58620
[13:16:01.228] [SEVERE ] updating countdown to 58598
[13:16:01.251] [SEVERE ] updating countdown to 58575
[13:16:01.277] [SEVERE ] updating countdown to 58549
[13:16:01.302] [SEVERE ] updating countdown to 58524
[13:16:01.328] [SEVERE ] updating countdown to 58498
[13:16:01.352] [SEVERE ] updating countdown to 58474
[13:16:01.376] [SEVERE ] updating countdown to 58450
[13:16:01.402] [SEVERE ] updating countdown to 58424
[13:16:01.423] [SEVERE ] updating countdown to 58403
[13:16:01.445] [SEVERE ] updating countdown to 58381
[13:16:01.466] [SEVERE ] updating countdown to 58360
[13:16:01.488] [SEVERE ] updating countdown to 58338
[13:16:01.509] [SEVERE ] updating countdown to 58317
[13:16:01.534] [SEVERE ] updating countdown to 58292
[13:16:01.556] [SEVERE ] updating countdown to 58270
[13:16:01.577] [SEVERE ] updating countdown to 58249
[13:16:01.598] [SEVERE ] updating countdown to 58228
[13:16:01.623] [SEVERE ] updating countdown to 58203
[13:16:01.644] [SEVERE ] updating countdown to 58182
[13:16:01.667] [SEVERE ] updating countdown to 58159
