[14:49:42.897] [INFO   ] thread main starting.
[14:49:42.902] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:49:42.903] [SEVERE ] configuration file was loaded from resources directory.
[14:49:47.334] [INFO   ] thread dealer starting.
[14:49:47.335] [INFO   ] thread playerID: 0 starting.
[14:49:47.335] [INFO   ] thread dealer starting.
[14:49:47.335] [INFO   ] thread playerID: 1 starting.
[14:49:47.337] [SEVERE ] updating countdown to 60000
[14:49:47.440] [SEVERE ] placing card 47 in slot 3
[14:49:47.541] [SEVERE ] placing card 4 in slot 1
[14:49:47.647] [SEVERE ] placing card 13 in slot 2
[14:49:47.748] [SEVERE ] placing card 78 in slot 4
[14:49:47.850] [SEVERE ] placing card 72 in slot 9
[14:49:47.952] [SEVERE ] placing card 51 in slot 7
[14:49:48.057] [SEVERE ] placing card 17 in slot 0
[14:49:48.162] [SEVERE ] placing card 77 in slot 5
[14:49:48.264] [SEVERE ] placing card 30 in slot 11
[14:49:48.365] [SEVERE ] placing card 43 in slot 10
[14:49:48.467] [SEVERE ] placing card 28 in slot 8
[14:49:48.568] [SEVERE ] placing card 38 in slot 6
[14:49:48.591] [SEVERE ] updating countdown to 60000
[14:49:48.616] [SEVERE ] updating countdown to 60000
[14:49:48.641] [SEVERE ] updating countdown to 60000
[14:49:48.663] [SEVERE ] updating countdown to 60000
[14:49:48.686] [SEVERE ] updating countdown to 60000
[14:49:48.712] [SEVERE ] updating countdown to 60000
[14:49:48.734] [SEVERE ] updating countdown to 60000
[14:49:48.757] [SEVERE ] updating countdown to 60000
[14:49:48.783] [SEVERE ] updating countdown to 60000
[14:49:48.809] [SEVERE ] updating countdown to 60000
[14:49:48.829] [SEVERE ] updating countdown to 60000
[14:49:48.851] [SEVERE ] updating countdown to 60000
[14:49:48.875] [SEVERE ] updating countdown to 60000
[14:49:48.899] [SEVERE ] updating countdown to 60000
[14:49:48.924] [SEVERE ] updating countdown to 60000
[14:49:48.946] [SEVERE ] updating countdown to 60000
[14:49:48.969] [SEVERE ] updating countdown to 60000
[14:49:48.990] [SEVERE ] updating countdown to 60000
[14:49:49.010] [SEVERE ] updating countdown to 60000
[14:49:49.035] [SEVERE ] updating countdown to 60000
[14:49:49.057] [SEVERE ] updating countdown to 60000
[14:49:49.080] [SEVERE ] updating countdown to 60000
[14:49:49.106] [SEVERE ] updating countdown to 60000
[14:49:49.132] [SEVERE ] updating countdown to 60000
[14:49:49.158] [SEVERE ] updating countdown to 60000
[14:49:49.184] [SEVERE ] updating countdown to 60000
[14:49:49.210] [SEVERE ] updating countdown to 60000
[14:49:49.232] [SEVERE ] updating countdown to 60000
[14:49:49.254] [SEVERE ] updating countdown to 60000
[14:49:49.276] [SEVERE ] updating countdown to 60000
[14:49:49.300] [SEVERE ] updating countdown to 60000
[14:49:49.323] [SEVERE ] updating countdown to 60000
[14:49:49.347] [SEVERE ] updating countdown to 60000
[14:49:49.373] [SEVERE ] updating countdown to 60000
[14:49:49.399] [SEVERE ] updating countdown to 60000
[14:49:49.425] [SEVERE ] updating countdown to 60000
[14:49:49.451] [SEVERE ] updating countdown to 60000
[14:49:49.473] [SEVERE ] updating countdown to 60000
[14:49:49.494] [SEVERE ] updating countdown to 60000
[14:49:49.517] [SEVERE ] updating countdown to 60000
[14:49:49.538] [SEVERE ] updating countdown to 60000
[14:49:49.559] [SEVERE ] updating countdown to 60000
[14:49:49.581] [SEVERE ] updating countdown to 60000
[14:49:49.602] [SEVERE ] updating countdown to 60000
[14:49:49.622] [SEVERE ] updating countdown to 60000
[14:49:49.644] [SEVERE ] updating countdown to 60000
[14:49:49.667] [SEVERE ] updating countdown to 60000
[14:49:49.688] [SEVERE ] updating countdown to 60000
[14:49:49.714] [SEVERE ] updating countdown to 60000
[14:49:49.739] [SEVERE ] updating countdown to 60000
[14:49:49.765] [SEVERE ] updating countdown to 60000
[14:49:49.789] [SEVERE ] updating countdown to 60000
[14:49:49.815] [SEVERE ] updating countdown to 60000
[14:49:49.837] [SEVERE ] updating countdown to 60000
[14:49:49.857] [SEVERE ] updating countdown to 60000
[14:49:49.879] [SEVERE ] updating countdown to 60000
[14:49:49.901] [SEVERE ] updating countdown to 60000
[14:49:49.921] [SEVERE ] updating countdown to 60000
[14:49:49.943] [SEVERE ] updating countdown to 60000
[14:49:49.963] [SEVERE ] updating countdown to 60000
[14:49:49.984] [SEVERE ] updating countdown to 60000
[14:49:50.006] [SEVERE ] updating countdown to 60000
[14:49:50.027] [SEVERE ] updating countdown to 60000
[14:49:50.047] [SEVERE ] updating countdown to 60000
[14:49:50.069] [SEVERE ] updating countdown to 60000
[14:49:50.089] [SEVERE ] updating countdown to 60000
[14:49:50.112] [SEVERE ] updating countdown to 60000
[14:49:50.133] [SEVERE ] updating countdown to 60000
[14:49:50.154] [SEVERE ] updating countdown to 60000
[14:49:50.176] [SEVERE ] updating countdown to 60000
[14:49:50.197] [SEVERE ] updating countdown to 60000
[14:49:50.217] [SEVERE ] updating countdown to 60000
[14:49:50.240] [SEVERE ] updating countdown to 60000
[14:49:50.261] [SEVERE ] updating countdown to 60000
[14:49:50.283] [SEVERE ] updating countdown to 60000
[14:49:50.303] [SEVERE ] updating countdown to 60000
[14:49:50.329] [SEVERE ] updating countdown to 60000
[14:49:50.351] [SEVERE ] updating countdown to 60000
[14:49:50.376] [SEVERE ] updating countdown to 60000
[14:49:50.400] [SEVERE ] updating countdown to 60000
[14:49:50.424] [SEVERE ] updating countdown to 60000
[14:49:50.449] [SEVERE ] updating countdown to 60000
[14:49:50.470] [SEVERE ] updating countdown to 60000
[14:49:50.491] [SEVERE ] updating countdown to 60000
[14:49:50.513] [SEVERE ] updating countdown to 60000
[14:49:50.534] [SEVERE ] updating countdown to 60000
[14:49:50.557] [SEVERE ] updating countdown to 60000
[14:49:50.578] [SEVERE ] updating countdown to 60000
[14:49:50.602] [SEVERE ] updating countdown to 60000
[14:49:50.628] [SEVERE ] updating countdown to 60000
[14:49:50.653] [SEVERE ] updating countdown to 60000
[14:49:50.677] [SEVERE ] updating countdown to 60000
[14:49:50.701] [SEVERE ] updating countdown to 60000
[14:49:50.723] [SEVERE ] updating countdown to 60000
[14:49:50.744] [SEVERE ] updating countdown to 60000
[14:49:50.770] [SEVERE ] updating countdown to 60000
[14:49:50.792] [SEVERE ] updating countdown to 60000
[14:49:50.818] [SEVERE ] updating countdown to 60000
[14:49:50.841] [SEVERE ] updating countdown to 60000
[14:49:50.863] [SEVERE ] updating countdown to 60000
[14:49:50.886] [SEVERE ] updating countdown to 60000
[14:49:50.910] [SEVERE ] updating countdown to 60000
[14:49:50.936] [SEVERE ] updating countdown to 60000
[14:49:50.960] [SEVERE ] updating countdown to 60000
[14:49:50.984] [SEVERE ] updating countdown to 60000
[14:49:51.010] [SEVERE ] updating countdown to 60000
[14:49:51.033] [SEVERE ] updating countdown to 60000
[14:49:51.054] [SEVERE ] updating countdown to 60000
[14:49:51.074] [SEVERE ] updating countdown to 60000
[14:49:51.100] [SEVERE ] updating countdown to 60000
[14:49:51.126] [SEVERE ] updating countdown to 60000
[14:49:51.152] [SEVERE ] updating countdown to 60000
[14:49:51.174] [SEVERE ] updating countdown to 60000
[14:49:51.196] [SEVERE ] updating countdown to 60000
[14:49:51.221] [SEVERE ] updating countdown to 60000
[14:49:51.243] [SEVERE ] updating countdown to 60000
[14:49:51.267] [SEVERE ] updating countdown to 60000
[14:49:51.289] [SEVERE ] updating countdown to 60000
[14:49:51.311] [SEVERE ] updating countdown to 60000
[14:49:51.337] [SEVERE ] updating countdown to 60000
[14:49:51.361] [SEVERE ] updating countdown to 60000
[14:49:51.385] [SEVERE ] updating countdown to 60000
[14:49:51.408] [SEVERE ] updating countdown to 60000
[14:49:51.429] [SEVERE ] updating countdown to 60000
[14:49:51.451] [SEVERE ] updating countdown to 60000
[14:49:51.475] [SEVERE ] updating countdown to 60000
[14:49:51.496] [SEVERE ] updating countdown to 60000
[14:49:51.522] [SEVERE ] updating countdown to 60000
[14:49:51.544] [SEVERE ] updating countdown to 60000
[14:49:51.569] [SEVERE ] updating countdown to 60000
[14:49:51.593] [SEVERE ] updating countdown to 60000
[14:49:51.615] [SEVERE ] updating countdown to 60000
[14:49:51.637] [SEVERE ] updating countdown to 60000
[14:49:51.661] [SEVERE ] updating countdown to 60000
[14:49:51.684] [SEVERE ] updating countdown to 60000
[14:49:51.709] [SEVERE ] updating countdown to 60000
[14:49:51.732] [SEVERE ] updating countdown to 60000
[14:49:51.758] [SEVERE ] updating countdown to 60000
[14:49:51.783] [SEVERE ] updating countdown to 60000
[14:49:51.809] [SEVERE ] updating countdown to 60000
[14:49:51.833] [SEVERE ] updating countdown to 60000
[14:49:51.855] [SEVERE ] updating countdown to 60000
[14:49:51.880] [SEVERE ] updating countdown to 60000
[14:49:51.903] [SEVERE ] updating countdown to 60000
[14:49:51.929] [SEVERE ] updating countdown to 60000
[14:49:51.950] [SEVERE ] updating countdown to 60000
[14:49:51.973] [SEVERE ] updating countdown to 60000
[14:49:51.996] [SEVERE ] updating countdown to 60000
[14:49:52.016] [SEVERE ] updating countdown to 60000
[14:49:52.042] [SEVERE ] updating countdown to 60000
[14:49:52.066] [SEVERE ] updating countdown to 60000
[14:49:52.086] [SEVERE ] updating countdown to 60000
[14:49:52.112] [SEVERE ] updating countdown to 60000
[14:49:52.138] [SEVERE ] updating countdown to 60000
[14:49:52.164] [SEVERE ] updating countdown to 60000
[14:49:52.187] [SEVERE ] updating countdown to 60000
[14:49:52.212] [SEVERE ] updating countdown to 60000
[14:49:52.238] [SEVERE ] updating countdown to 60000
[14:49:52.262] [SEVERE ] updating countdown to 60000
[14:49:52.285] [SEVERE ] updating countdown to 60000
[14:49:52.310] [SEVERE ] updating countdown to 60000
[14:49:52.336] [SEVERE ] updating countdown to 60000
[14:49:52.362] [SEVERE ] updating countdown to 60000
[14:49:52.384] [SEVERE ] updating countdown to 60000
[14:49:52.409] [SEVERE ] updating countdown to 60000
[14:49:52.434] [SEVERE ] updating countdown to 60000
[14:49:52.459] [SEVERE ] updating countdown to 60000
[14:49:52.485] [SEVERE ] updating countdown to 60000
[14:49:52.510] [SEVERE ] updating countdown to 60000
[14:49:52.535] [SEVERE ] updating countdown to 60000
[14:49:52.561] [SEVERE ] updating countdown to 60000
[14:49:52.583] [SEVERE ] updating countdown to 60000
[14:49:52.605] [SEVERE ] updating countdown to 60000
[14:49:52.631] [SEVERE ] updating countdown to 60000
[14:49:52.657] [SEVERE ] updating countdown to 60000
[14:49:52.683] [SEVERE ] updating countdown to 60000
[14:49:52.708] [SEVERE ] updating countdown to 60000
[14:49:52.733] [SEVERE ] updating countdown to 60000
[14:49:52.753] [SEVERE ] updating countdown to 60000
[14:49:52.778] [SEVERE ] updating countdown to 60000
[14:49:52.803] [SEVERE ] updating countdown to 60000
[14:49:52.824] [SEVERE ] updating countdown to 60000
[14:49:52.846] [SEVERE ] updating countdown to 60000
[14:49:52.866] [SEVERE ] updating countdown to 60000
[14:49:52.888] [SEVERE ] updating countdown to 60000
