[11:52:03.046] [INFO   ] thread main starting.
[11:52:03.051] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:52:03.052] [SEVERE ] configuration file was loaded from resources directory.
[11:52:03.385] [INFO   ] thread dealer starting.
[11:52:03.386] [INFO   ] thread playerID: 0 starting.
[11:52:03.386] [INFO   ] thread playerID: 1 starting.
[11:52:03.386] [INFO   ] thread dealer starting.
[11:52:03.394] [SEVERE ] updating countdown to 60000
[11:52:03.497] [SEVERE ] placing card 56 in slot 3
[11:52:03.600] [SEVERE ] placing card 23 in slot 0
[11:52:03.701] [SEVERE ] placing card 68 in slot 8
[11:52:03.808] [SEVERE ] placing card 70 in slot 4
[11:52:03.910] [SEVERE ] placing card 24 in slot 7
[11:52:04.012] [SEVERE ] placing card 66 in slot 1
[11:52:04.118] [SEVERE ] placing card 38 in slot 5
[11:52:04.221] [SEVERE ] placing card 71 in slot 10
[11:52:04.323] [SEVERE ] placing card 42 in slot 9
[11:52:04.428] [SEVERE ] placing card 27 in slot 2
[11:52:04.529] [SEVERE ] placing card 19 in slot 11
[11:52:04.631] [SEVERE ] placing card 44 in slot 6
[11:52:04.652] [SEVERE ] updating countdown to 58741
[11:52:04.675] [SEVERE ] updating countdown to 58719
[11:52:04.696] [SEVERE ] updating countdown to 58697
[11:52:04.719] [SEVERE ] updating countdown to 58674
[11:52:04.740] [SEVERE ] updating countdown to 58653
[11:52:04.762] [SEVERE ] updating countdown to 58631
[11:52:04.783] [SEVERE ] updating countdown to 58610
[11:52:04.804] [SEVERE ] updating countdown to 58589
[11:52:04.825] [SEVERE ] updating countdown to 58568
[11:52:04.846] [SEVERE ] updating countdown to 58547
[11:52:04.867] [SEVERE ] updating countdown to 58526
[11:52:04.888] [SEVERE ] updating countdown to 58505
[11:52:04.909] [SEVERE ] updating countdown to 58484
[11:52:04.932] [SEVERE ] updating countdown to 58461
[11:52:04.953] [SEVERE ] updating countdown to 58440
[11:52:04.975] [SEVERE ] updating countdown to 58418
[11:52:04.996] [SEVERE ] updating countdown to 58397
[11:52:05.019] [SEVERE ] updating countdown to 58374
[11:52:05.040] [SEVERE ] updating countdown to 58353
[11:52:05.062] [SEVERE ] updating countdown to 58331
