[16:08:33.144] [INFO   ] thread main starting.
[16:08:33.151] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:08:33.153] [SEVERE ] configuration file was loaded from resources directory.
[16:08:33.529] [INFO   ] thread dealer starting.
[16:08:33.530] [INFO   ] thread dealer starting.
[16:08:33.530] [INFO   ] thread playerID: 0 starting.
[16:08:33.530] [INFO   ] thread playerID: 1 starting.
[16:08:33.534] [SEVERE ] updating countdown to 60000
[16:08:33.636] [SEVERE ] placing card 45 in slot 2
[16:08:33.740] [SEVERE ] placing card 68 in slot 9
[16:08:33.842] [SEVERE ] placing card 69 in slot 4
[16:08:33.957] [SEVERE ] placing card 29 in slot 5
[16:08:34.060] [SEVERE ] placing card 13 in slot 11
[16:08:34.161] [SEVERE ] placing card 9 in slot 6
[16:08:34.264] [SEVERE ] placing card 21 in slot 0
[16:08:34.365] [SEVERE ] placing card 78 in slot 3
[16:08:34.466] [SEVERE ] placing card 47 in slot 1
[16:08:34.569] [SEVERE ] placing card 31 in slot 10
[16:08:34.670] [SEVERE ] placing card 14 in slot 8
[16:08:34.771] [SEVERE ] placing card 74 in slot 7
[16:08:34.793] [SEVERE ] updating countdown to 58741
[16:08:34.817] [SEVERE ] updating countdown to 58717
[16:08:34.843] [SEVERE ] updating countdown to 58691
[16:08:34.867] [SEVERE ] updating countdown to 58667
[16:08:34.892] [SEVERE ] updating countdown to 58642
[16:08:34.917] [SEVERE ] updating countdown to 58617
[16:08:34.942] [SEVERE ] updating countdown to 58592
[16:08:34.968] [SEVERE ] updating countdown to 58566
[16:08:34.994] [SEVERE ] updating countdown to 58540
[16:08:35.018] [SEVERE ] updating countdown to 58516
[16:08:35.039] [SEVERE ] updating countdown to 58495
[16:08:35.060] [SEVERE ] updating countdown to 58474
[16:08:35.082] [SEVERE ] updating countdown to 58452
[16:08:35.104] [SEVERE ] updating countdown to 58430
[16:08:35.126] [SEVERE ] updating countdown to 58408
[16:08:35.147] [SEVERE ] updating countdown to 58387
[16:08:35.168] [SEVERE ] updating countdown to 58366
[16:08:35.190] [SEVERE ] updating countdown to 58344
[16:08:35.211] [SEVERE ] updating countdown to 58323
[16:08:35.232] [SEVERE ] updating countdown to 58302
[16:08:35.253] [SEVERE ] updating countdown to 58281
[16:08:35.276] [SEVERE ] updating countdown to 58258
[16:08:35.297] [SEVERE ] updating countdown to 58237
[16:08:35.318] [SEVERE ] updating countdown to 58216
[16:08:35.341] [SEVERE ] updating countdown to 58193
[16:08:35.364] [SEVERE ] updating countdown to 58170
[16:08:35.386] [SEVERE ] updating countdown to 58148
[16:08:35.409] [SEVERE ] updating countdown to 58125
[16:08:35.431] [SEVERE ] updating countdown to 58103
[16:08:35.452] [SEVERE ] updating countdown to 58082
[16:08:35.475] [SEVERE ] updating countdown to 58059
[16:08:35.496] [SEVERE ] updating countdown to 58038
[16:08:35.519] [SEVERE ] updating countdown to 58015
[16:08:35.541] [SEVERE ] updating countdown to 57993
[16:08:35.564] [SEVERE ] updating countdown to 57970
[16:08:35.586] [SEVERE ] updating countdown to 57948
[16:08:35.608] [SEVERE ] updating countdown to 57926
[16:08:35.629] [SEVERE ] updating countdown to 57905
[16:08:35.651] [SEVERE ] updating countdown to 57883
[16:08:35.677] [SEVERE ] updating countdown to 57857
[16:08:35.700] [SEVERE ] updating countdown to 57834
[16:08:35.724] [SEVERE ] updating countdown to 57810
[16:08:35.745] [SEVERE ] updating countdown to 57789
[16:08:35.766] [SEVERE ] updating countdown to 57768
[16:08:35.789] [SEVERE ] updating countdown to 57745
[16:08:35.812] [SEVERE ] updating countdown to 57722
[16:08:35.834] [SEVERE ] updating countdown to 57700
[16:08:35.855] [SEVERE ] updating countdown to 57679
[16:08:35.876] [SEVERE ] updating countdown to 57658
[16:08:35.902] [SEVERE ] updating countdown to 57632
[16:08:35.923] [SEVERE ] updating countdown to 57611
[16:08:35.946] [SEVERE ] updating countdown to 57588
[16:08:35.970] [SEVERE ] updating countdown to 57564
[16:08:35.993] [SEVERE ] updating countdown to 57542
[16:08:36.015] [SEVERE ] updating countdown to 57519
[16:08:36.037] [SEVERE ] updating countdown to 57497
[16:08:36.060] [SEVERE ] updating countdown to 57474
[16:08:36.085] [SEVERE ] updating countdown to 57449
[16:08:36.108] [SEVERE ] updating countdown to 57426
[16:08:36.132] [SEVERE ] updating countdown to 57402
[16:08:36.157] [SEVERE ] updating countdown to 57377
[16:08:36.186] [SEVERE ] updating countdown to 57348
[16:08:36.211] [SEVERE ] updating countdown to 57323
[16:08:36.236] [SEVERE ] updating countdown to 57298
[16:08:36.262] [SEVERE ] updating countdown to 57272
[16:08:36.284] [SEVERE ] updating countdown to 57250
[16:08:36.310] [SEVERE ] updating countdown to 57224
[16:08:36.331] [SEVERE ] updating countdown to 57203
[16:08:36.353] [SEVERE ] updating countdown to 57181
[16:08:36.377] [SEVERE ] updating countdown to 57157
[16:08:36.399] [SEVERE ] updating countdown to 57135
[16:08:36.421] [SEVERE ] updating countdown to 57113
[16:08:36.442] [SEVERE ] updating countdown to 57092
