[11:01:52.083] [INFO   ] thread main starting.
[11:01:52.088] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:01:52.090] [SEVERE ] configuration file was loaded from resources directory.
[11:01:52.431] [INFO   ] thread dealer starting.
[11:01:52.432] [INFO   ] thread playerID: 0 starting.
[11:01:52.432] [INFO   ] thread playerID: 1 starting.
[11:01:52.432] [INFO   ] thread dealer starting.
[11:01:52.435] [SEVERE ] updating countdown to 60000
[11:01:52.537] [SEVERE ] placing card 72 in slot 11
[11:01:52.638] [SEVERE ] placing card 61 in slot 1
[11:01:52.739] [SEVERE ] placing card 66 in slot 9
[11:01:52.845] [SEVERE ] placing card 33 in slot 2
[11:01:52.948] [SEVERE ] placing card 70 in slot 8
[11:01:53.054] [SEVERE ] placing card 13 in slot 7
[11:01:53.156] [SEVERE ] placing card 48 in slot 5
[11:01:53.267] [SEVERE ] placing card 24 in slot 3
[11:01:53.371] [SEVERE ] placing card 57 in slot 6
[11:01:53.473] [SEVERE ] placing card 15 in slot 0
[11:01:53.574] [SEVERE ] placing card 45 in slot 10
[11:01:53.680] [SEVERE ] placing card 6 in slot 4
[11:01:53.705] [SEVERE ] updating countdown to 58730
[11:01:53.730] [SEVERE ] updating countdown to 58705
[11:01:53.756] [SEVERE ] updating countdown to 58679
[11:01:53.778] [SEVERE ] updating countdown to 58657
[11:01:53.799] [SEVERE ] updating countdown to 58636
[11:01:53.824] [SEVERE ] updating countdown to 58611
[11:01:53.850] [SEVERE ] updating countdown to 58585
[11:01:53.872] [SEVERE ] updating countdown to 58563
[11:01:53.893] [SEVERE ] updating countdown to 58542
[11:01:53.915] [SEVERE ] updating countdown to 58520
[11:01:53.937] [SEVERE ] updating countdown to 58498
[11:01:53.958] [SEVERE ] updating countdown to 58477
[11:01:53.984] [SEVERE ] updating countdown to 58451
[11:01:54.010] [SEVERE ] updating countdown to 58425
[11:01:54.033] [SEVERE ] updating countdown to 58402
[11:01:54.059] [SEVERE ] updating countdown to 58376
[11:01:54.081] [SEVERE ] updating countdown to 58354
[11:01:54.105] [SEVERE ] updating countdown to 58330
[11:01:54.129] [SEVERE ] updating countdown to 58306
[11:01:54.152] [SEVERE ] updating countdown to 58283
[11:01:54.173] [SEVERE ] updating countdown to 58262
[11:01:54.195] [SEVERE ] updating countdown to 58240
[11:01:54.219] [SEVERE ] updating countdown to 58216
[11:01:54.240] [SEVERE ] updating countdown to 58195
[11:01:54.264] [SEVERE ] updating countdown to 58171
[11:01:54.288] [SEVERE ] updating countdown to 58147
[11:01:54.314] [SEVERE ] updating countdown to 58121
[11:01:54.336] [SEVERE ] updating countdown to 58099
[11:01:54.358] [SEVERE ] updating countdown to 58077
[11:01:54.379] [SEVERE ] updating countdown to 58056
[11:01:54.405] [SEVERE ] updating countdown to 58030
[11:01:54.426] [SEVERE ] updating countdown to 58009
[11:01:54.452] [SEVERE ] updating countdown to 57983
[11:01:54.478] [SEVERE ] updating countdown to 57957
[11:01:54.504] [SEVERE ] updating countdown to 57931
[11:01:54.527] [SEVERE ] updating countdown to 57908
[11:01:54.549] [SEVERE ] updating countdown to 57886
[11:01:54.571] [SEVERE ] updating countdown to 57864
[11:01:54.594] [SEVERE ] updating countdown to 57841
[11:01:54.617] [SEVERE ] updating countdown to 57818
[11:01:54.642] [SEVERE ] updating countdown to 57793
[11:01:54.664] [SEVERE ] updating countdown to 57771
[11:01:54.689] [SEVERE ] updating countdown to 57746
[11:01:54.711] [SEVERE ] updating countdown to 57724
[11:01:54.737] [SEVERE ] updating countdown to 57698
[11:01:54.758] [SEVERE ] updating countdown to 57677
[11:01:54.780] [SEVERE ] updating countdown to 57655
[11:01:54.802] [SEVERE ] updating countdown to 57633
[11:01:54.827] [SEVERE ] updating countdown to 57608
[11:01:54.849] [SEVERE ] updating countdown to 57586
[11:01:54.871] [SEVERE ] updating countdown to 57564
[11:01:54.893] [SEVERE ] updating countdown to 57542
[11:01:54.915] [SEVERE ] updating countdown to 57520
[11:01:54.936] [SEVERE ] updating countdown to 57499
[11:01:54.961] [SEVERE ] updating countdown to 57474
[11:01:54.987] [SEVERE ] updating countdown to 57448
[11:01:55.011] [SEVERE ] updating countdown to 57424
[11:01:55.036] [SEVERE ] updating countdown to 57399
[11:01:55.060] [SEVERE ] updating countdown to 57375
[11:01:55.084] [SEVERE ] updating countdown to 57351
[11:01:55.105] [SEVERE ] updating countdown to 57330
[11:01:55.130] [SEVERE ] updating countdown to 57305
[11:01:55.152] [SEVERE ] updating countdown to 57283
[11:01:55.178] [SEVERE ] updating countdown to 57257
[11:01:55.200] [SEVERE ] updating countdown to 57235
[11:01:55.222] [SEVERE ] updating countdown to 57213
[11:01:55.246] [SEVERE ] updating countdown to 57189
[11:01:55.270] [SEVERE ] updating countdown to 57165
[11:01:55.295] [SEVERE ] updating countdown to 57140
[11:01:55.320] [SEVERE ] updating countdown to 57115
[11:01:55.342] [SEVERE ] updating countdown to 57093
[11:01:55.367] [SEVERE ] updating countdown to 57068
[11:01:55.390] [SEVERE ] updating countdown to 57045
[11:01:55.412] [SEVERE ] updating countdown to 57023
[11:01:55.435] [SEVERE ] updating countdown to 57000
[11:01:55.458] [SEVERE ] updating countdown to 56977
[11:01:55.481] [SEVERE ] updating countdown to 56954
[11:01:55.504] [SEVERE ] updating countdown to 56931
[11:01:55.526] [SEVERE ] updating countdown to 56909
[11:01:55.547] [SEVERE ] updating countdown to 56888
[11:01:55.569] [SEVERE ] updating countdown to 56866
[11:01:55.590] [SEVERE ] updating countdown to 56845
[11:01:55.612] [SEVERE ] updating countdown to 56823
[11:01:55.634] [SEVERE ] updating countdown to 56801
[11:01:55.656] [SEVERE ] updating countdown to 56779
[11:01:55.678] [SEVERE ] updating countdown to 56757
[11:01:55.699] [SEVERE ] updating countdown to 56736
[11:01:55.722] [SEVERE ] updating countdown to 56713
[11:01:55.743] [SEVERE ] updating countdown to 56692
[11:01:55.763] [SEVERE ] updating countdown to 56672
[11:01:55.785] [SEVERE ] updating countdown to 56650
[11:01:55.807] [SEVERE ] updating countdown to 56628
[11:01:55.829] [SEVERE ] updating countdown to 56606
[11:01:55.850] [SEVERE ] updating countdown to 56585
[11:01:55.874] [SEVERE ] updating countdown to 56561
[11:01:55.895] [SEVERE ] updating countdown to 56540
[11:01:55.916] [SEVERE ] updating countdown to 56519
[11:01:55.937] [SEVERE ] updating countdown to 56498
[11:01:55.964] [SEVERE ] updating countdown to 56471
[11:01:55.989] [SEVERE ] updating countdown to 56446
[11:01:56.013] [SEVERE ] updating countdown to 56422
